feature_name,feature_importance,rank
ela_meta.lin_w_interact.adj_r2,0.2264261554764456,1
pca.expl_var.cov_init,0.1406577430813619,2
ela_distr.skewness,0.1390169588684903,3
ela_meta.lin_simple.coef.min,0.0958936134088834,4
ela_level.lda_qda_50,0.083689852228231,5
ela_meta.quad_simple.cond,0.0809607172667099,6
ic.eps.ratio,0.0785772113390022,7
pca.expl_var_PC1.cor_x,0.0683421153453522,8
nbc.nb_fitness.cor,0.0623002714109611,9
ela_meta.lin_simple.coef.max_by_min,0.0605057253595524,10
ela_level.lda_mda_10,0.0589122871585754,11
ela_distr.number_of_peaks,0.0434749542015369,12
ela_level.lda_mda_25,0.0393757156403772,13
ela_level.lda_mda_50,0.0352405462691466,14
pca.expl_var_PC1.cor_init,0.0331878388974431,15
ela_level.qda_mda_25,0.0194267303066384,16
disp.ratio_mean_10,0.0183303674900518,17
ela_level.qda_mda_10,0.0175879163360974,18
ic.m0,0.0153198839986529,19
ela_level.qda_mda_50,0.0136986958717878,20
ela_level.mmce_lda_50,0.0118911021223022,21
ela_level.mmce_lda_25,0.0065289052142491,22
nbc.nn_nb.cor,0.006487877204035,23
ela_level.mmce_mda_10,0.0047919982366976,24
ela_level.lda_qda_25,0.0046986106511307,25
pca.expl_var.cor_init,0.0003393858607111,26
