feature_name,feature_importance,rank
ela_meta.lin_w_interact.adj_r2,0.14754249875680606,1
pca.expl_var.cov_init,0.10552591173717814,2
ela_meta.lin_simple.coef.min,0.10121735326160734,3
disp.ratio_median_02,0.09848799285952431,4
ela_distr.skewness,0.07778375654492137,5
ic.eps.ratio,0.07444523528943926,6
ic.m0,0.054708429079560895,7
ela_meta.quad_simple.cond,0.0471266046869865,8
ela_distr.number_of_peaks,0.045946593114356296,9
ela_level.qda_mda_25,0.044926458300431966,10
pca.expl_var_PC1.cor_init,0.04435818059876043,11
ela_level.lda_mda_10,0.03775052291128849,12
nbc.nb_fitness.cor,0.03571522600320033,13
ela_level.lda_qda_50,0.0314064115389492,14
nbc.nn_nb.cor,0.02644884319389087,15
pca.expl_var_PC1.cor_x,0.02358083232259126,16
ela_meta.lin_simple.coef.max_by_min,0.022659095508785122,17
ela_level.mmce_lda_50,0.022233564881630027,18
ela_level.lda_mda_25,0.019592477389031922,19
ela_level.lda_mda_50,0.017931039134709427,20
ela_level.qda_mda_50,0.014305736733960416,21
ela_level.mmce_mda_10,0.010538986237584959,22
ela_level.qda_mda_10,0.01002915149130913,23
ela_level.lda_qda_25,0.00778589074742006,24
ela_level.mmce_lda_25,0.007281729134391441,25
pca.expl_var.cor_init,0.0029796146025609237,26
