feature_name,feature_importance,rank
ela_meta.lin_simple.coef.min,0.2727321734274358,1
pca.expl_var.cov_init,0.1290994411584231,2
disp.ratio_mean_10,0.126229961965153,3
ic.eps.ratio,0.1015938362205732,4
ela_meta.quad_simple.cond,0.050643134043515,5
pca.expl_var_PC1.cor_init,0.0446154150871687,6
ela_level.lda_qda_10,0.0431759118683956,7
ela_level.qda_mda_50,0.0391977860323141,8
ela_level.mmce_mda_50,0.0356231298878073,9
ela_distr.number_of_peaks,0.0323447843524546,10
nbc.nn_nb.cor,0.0311268733562515,11
nbc.nb_fitness.cor,0.0299763134635859,12
pca.expl_var_PC1.cor_x,0.0271448614750655,13
ela_meta.lin_w_interact.adj_r2,0.0256058117207906,14
ela_level.lda_mda_50,0.0215515743282453,15
ela_level.mmce_lda_25,0.0207822323246151,16
ela_distr.skewness,0.0199168430038104,17
ela_level.lda_qda_50,0.0197135847569167,18
ela_level.qda_mda_25,0.0184125543013683,19
ela_level.lda_qda_25,0.0165576825815584,20
ela_level.mmce_lda_50,0.0144701585740011,21
ela_level.mmce_mda_10,0.0084790216840923,22
ela_meta.lin_simple.coef.max_by_min,0.005590203448409,23
ela_level.lda_mda_10,0.0024455760717332,24
pca.expl_var.cor_init,0.0014613968110516,25
ela_level.lda_mda_25,0.0006871777219729,26
