f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.mmce_mda_50,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x
1.0,1.0,0.05209945628004632,0.018672728812396636,-0.04397228922563392,0.0897324651025017,0.022414748952023673,-0.012603495828994693,0.10261391903457939,0.0030825194789507225,0.05481043454374574,0.018051729741857026,0.011850007641884108,0.01684025324085066,0.027247434833936244,0.024150765636077022,0.006107776021756653,-0.018436664868997345,0.3955060377239577,0.6038880281324294,0.10787956383024527,0.14109267208052617,-0.042926420492325965,0.03061806240828411,0.0027519994379370406,0.14105766207603657,-0.030819033281658116,0.03277673366892558
2.0,1.0,-0.036750147349471185,0.03264032466772859,-0.11286417439099757,-0.07439372216401104,0.007478007305877787,0.011007888259138713,0.0010622548419247757,0.010241755482653603,-0.01577809823091745,0.020893715904408007,-0.018138036649761297,0.006679728903786278,-0.007444513452205127,0.1353803424159938,-0.0020952537745304403,0.07310082157493118,0.3180750004788579,0.022076053844771352,0.07073590477632918,0.19525768029381305,-0.056418838115849176,0.020353749997317712,-0.00041866949853194016,0.1452926486325333,-0.03976570184128761,0.03315875088004256
3.0,1.0,0.058516516913972014,-0.010460732556101407,-0.015161314421284764,0.015386858487522075,-0.003589914026875971,-0.019478404744389465,-0.03707289289177287,-0.017253976751318026,0.06271579500894524,-0.00680362696928653,0.038350876333575035,-0.005787305333588285,0.04110090785746973,-0.00037963864348653176,-0.0006002423705842525,-0.0021995442871733826,0.16319535428196064,0.008716368093995501,0.04798732304446939,0.0877877968776084,-0.009063753417310225,-0.02667914570934773,-0.00041629036861039084,0.11302753165147125,0.01427698380252483,-0.015077715941065805
4.0,1.0,-0.0831114068328971,0.013011255064576493,-0.072896476903609,-0.024910161078715954,-0.04005514193342883,-0.028993415636994497,-0.04097337153074216,9.38909211600981e-05,0.06944796284538235,0.023432521213530212,-0.009940912668893133,0.007848129274468643,-0.01231992339597152,-0.02157472406390195,0.003912027108525933,-0.0076989934367493644,-0.03610577318617052,-0.1469449713000241,0.062041585934601046,-0.006418942179003249,-0.06989970216987994,-0.011424723666158786,0.00035575470461548955,0.12301034369288719,0.04144462845266701,-0.02110797865841524
5.0,1.0,0.08992424679797636,0.019707882803150105,-0.038988420922509884,0.024612296586612153,0.01533528501300748,-0.0054501935871489994,0.007966472957147117,0.001365066103053602,-0.02163544994407472,-0.013086036851822974,0.028533632019155937,-0.0025045589664987886,-0.009223755390440055,-0.011170146197931113,0.000978065067494237,-0.016157119888462523,-0.09888877581996086,-0.11863068679703871,0.04550460502993864,-0.09796459629563357,0.05252074198007191,-0.009960701481147652,0.0007039848946436126,-0.21168089197184162,0.036088701218212435,-0.028338797319702475
6.0,1.0,0.014754067194312385,0.008588943062241816,-0.14421837448716943,0.030773442273765807,0.011274906645822319,-0.012841509300012748,-0.004020114104716069,3.0510318219751753e-06,-0.028213089268968785,-0.015539736622131407,-0.006432165679500071,-0.00247670414025833,-0.0080255250929906,-0.024183029825758096,-0.005375452767522628,-0.026324453793795957,-0.13333958286398118,-0.1457046957309714,-0.013181311926592918,-0.09930138598260839,-0.08977779050830734,-0.019240518876483304,0.00043415612678267355,-0.2579118303902596,0.022073891213163197,-0.0249399673005181
7.0,1.0,-0.13718937888793092,0.007470105820049417,-0.21279508262492466,-0.0882171748548723,-0.006709014700685582,-0.0095209983085608,-0.042368330663879544,-0.005903499193634353,-0.03521460946110145,-0.030903960752182952,-0.017811391260718228,0.010421625600479817,-0.01148659857106925,-0.0035534816315642473,-0.007815474795623417,-0.03360369964779425,-0.14897039993926317,0.12465645860284284,-0.08586328350361681,-0.0702075291583942,-0.09310278038358097,-0.00890873304229089,9.998786019275595e-06,-0.12198798156962999,-0.07696143674949363,-0.008657983464511647
8.0,1.0,-0.10115836609562384,0.006664243503385279,-0.13679050314537863,-0.031347157939107084,0.014402255348940992,-0.010703848501764503,0.007781309955054962,0.009262107494192559,-0.024249729153938433,0.005830042328526417,-0.009004487006215353,0.001450793565454655,-0.004440798923980821,-0.03867902810335033,-0.0006871711477818439,0.055761797926598786,-0.11845142127136536,-0.1426013259570889,-0.03472570035285523,-0.07716749528376829,-0.06945673947660702,0.017341591642940888,-0.00027263239144434284,-0.21718525541075748,-0.04376189360168101,-0.01307889724056916
9.0,1.0,-0.10113920177724116,0.005258955716513432,-0.15710396896626927,-0.02687034678871723,0.009656171635552624,-0.007303815402244263,0.006387269202460862,0.007780817858001986,-0.01925519857649258,-0.010600585958201283,-0.006066442259767142,-0.0010642627726816056,0.0005874588487422801,-0.022048466343446805,0.008961267215833514,0.06868109363560183,-0.11818606824949729,-0.12541907137396147,-0.05190280635932748,-0.06286949057783252,-0.0626209492185648,0.016880405613398673,0.00182715975875578,-0.20615364863834718,0.03242404740309866,0.0256271630897914
10.0,1.0,0.09895375079181448,0.01559179671461045,-0.0532321238967434,0.029547204493495904,0.021301718490907118,0.06241361918009443,0.008527262845146277,0.0010282270825257595,-0.005256446584211056,-0.007895948831227526,-0.0017656879322766558,-0.0025571136491352826,0.0044121743751599435,-0.0106968490558081,0.0036480398263344766,-0.02493291712611829,-0.09281274770373528,-0.10198630752982306,-0.0004574513786762917,0.0015321734999760377,0.0325826923815013,-0.01288463350299936,0.0008462418730757187,0.1276455030549591,0.05004551856418851,-0.027059643220866497
