feature_name,feature_importance,rank
pca.expl_var.cov_init,0.2159387402491651,1
ela_meta.lin_w_interact.adj_r2,0.1188904735798601,2
ela_distr.number_of_peaks,0.0899673883880067,3
ela_meta.lin_simple.coef.min,0.0658072153483583,4
ela_level.lda_mda_10,0.0504554572838322,5
ic.eps.ratio,0.0495373432456366,6
ela_level.lda_qda_10,0.0324712738679072,7
nbc.nb_fitness.cor,0.0320350863705371,8
ela_level.lda_mda_25,0.0300629793583202,9
pca.expl_var_PC1.cor_x,0.0251763142877242,10
ela_meta.lin_simple.coef.max_by_min,0.0242863432526145,11
ela_meta.quad_simple.cond,0.0241725334769873,12
ela_level.lda_qda_25,0.0217646268757493,13
ela_meta.lin_simple.adj_r2,0.0161743275982302,14
ela_distr.skewness,0.0145894055093783,15
ela_level.mmce_mda_50,0.0107445416371886,16
disp.ratio_median_02,0.0093619296917884,17
ela_level.mmce_lda_50,0.0090266043372671,18
ela_level.lda_qda_50,0.0069988626535924,19
ela_level.qda_mda_50,0.0069652406084307,20
ela_level.mmce_lda_25,0.0056850655697794,21
ela_level.mmce_lda_10,0.0041540978994957,22
ela_level.lda_mda_50,0.0036062424565639,23
ela_level.qda_mda_25,0.0021339376197797,24
nbc.nn_nb.cor,0.0008870568199531,25
pca.expl_var.cor_init,0.0004387091362166,26
