feature_name,feature_importance,rank
pca.expl_var.cov_init,0.2918252108436771,1
ela_meta.lin_w_interact.adj_r2,0.14234940236055,2
ic.eps.ratio,0.1338441858684782,3
ela_meta.lin_simple.coef.min,0.1295808556596658,4
ela_distr.skewness,0.0860517237723904,5
disp.diff_median_25,0.0688436946757899,6
ela_meta.quad_simple.cond,0.0618244623249931,7
ela_level.lda_qda_25,0.0585671882670788,8
ela_distr.number_of_peaks,0.0394976965519011,9
pca.expl_var_PC1.cor_x,0.0386013046436504,10
pca.expl_var_PC1.cor_init,0.0340390294439172,11
ela_level.mmce_lda_50,0.0273167889150219,12
nbc.nn_nb.cor,0.0248767350091658,13
ela_level.lda_mda_10,0.0216034073080657,14
ela_level.lda_qda_50,0.0209332499438186,15
ela_level.qda_mda_50,0.0160530204782208,16
nbc.nb_fitness.cor,0.013820117428551,17
ela_level.lda_mda_25,0.0066656077171675,18
ic.m0,0.0042226310011063,19
ela_level.lda_mda_50,0.0038103076205233,20
ela_level.qda_mda_25,0.0035761313248268,21
ela_level.mmce_mda_10,0.0034190892355008,22
ela_level.qda_mda_10,0.0031142001247898,23
ela_meta.lin_simple.coef.max_by_min,0.0023082192962247,24
pca.expl_var.cor_init,0.0015211480799017,25
ela_level.mmce_lda_25,0.0011418121490031,26
