f_id,i_id,disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.mmce_mda_50,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x
1.0,1.0,0.06007358143737984,0.04805641792261361,-0.03913300188308293,0.31356047467652504,-0.055063235642445946,-0.010565261318255782,0.31281812879537385,-0.021939234680241726,0.05224998808969858,0.058054915871612954,0.036666422613129086,0.005568316030518524,0.009845368709647934,-0.056718791656435584,0.04023969453591234,-0.03724806122729949,0.32394965172321105,0.255968619347174,0.036970994217945405,0.09256318926144838,0.026123474892037517,0.003544804399603245,0.000623553477332864,0.16353164624998792,0.008410712520898204,0.031013146020453682
2.0,1.0,-0.1330182968944802,0.04839725836358153,-0.0654486882177567,-0.060250509551714834,0.03197616864155045,0.00832145722316313,-0.0071675359692429125,0.019949554588124987,-0.01731690925060978,0.061893249111310944,0.027588267337452434,0.01847935701598597,0.00665854285717542,0.20465766284788106,0.00195063551678646,0.03388319129814546,0.33016857065860405,0.03467104767251025,0.05198845444880438,0.14694327975395166,-0.0424742654125067,-0.00045724269511960387,0.004690928158657633,0.18222979006395879,-0.04836262672001527,0.05297947397016295
3.0,1.0,0.10563847489998078,-0.006855838121278753,0.011479281009780278,-0.007230786400115859,-0.06445581269380893,-0.0177944309448842,-0.027848591208892423,0.0006749559595383545,0.03562804341845144,-0.06710214366741751,-0.034603562376391395,-0.01524699033607034,0.0013028565237487464,-0.0197341796672046,0.033190050424314284,0.015439211932180598,0.11608804244021446,0.044477237666872615,0.03385642869731419,0.07522853870139289,0.0016259982027798437,-0.01965865047727644,-0.0015148232203252223,0.12812214580438933,0.0373835869073744,-0.021000253327102158
4.0,1.0,-0.0721730297910952,0.034983247590475074,-0.08541722807021514,-0.04272839904439486,-0.05555103504433613,-0.029106247022628436,-0.02430979934245496,-0.026430070421747963,0.039941494569806404,0.04912307130355663,-0.039271975902198594,0.029972540593394444,-0.0013320016916482497,-0.02390009238047581,0.009061417806771582,0.020836551574360665,0.003977559781516495,-0.06164893847780012,0.04225043862268906,0.04035912559554068,-0.053637274464162284,-0.014131217546484663,-0.0015047175171546258,0.151007731566827,0.06108491403581859,-0.030750391206831134
5.0,1.0,0.08238500756587745,0.02450096629340713,-0.06801297553359617,0.00617183487020994,0.02552637892286907,0.006673523690608581,-0.0049460217322381955,0.0028902023234781693,-0.0007749233284010953,-0.03307567340225223,-0.009254034410176557,-0.012287006129209632,0.02345596317124182,-0.050498348827203304,0.022597533193462593,-0.004616914469813972,-0.07287057455713722,-0.052618999954022604,0.03560443213199264,-0.115426579633744,0.031069684514882945,0.012380901586591043,-0.001350817507115581,-0.29169379227307635,0.01768222350513115,-0.023974301478721656
6.0,1.0,0.026129402395635683,0.018997468458534138,-0.10920850259367641,0.005062432405619904,0.02467589810486777,-0.009582850211266127,-0.03560579212538247,0.002170919381107108,-0.015005149662498,-0.03486890559769917,-0.0208544154527291,-0.015731730464637984,-0.0014554891036691016,-0.054693376574864686,0.0018561632829723783,-0.020424055640317504,-0.0840113456208996,-0.06699949062408933,-0.02218339666038617,-0.13746255769970234,-0.05871405335597549,0.006916767432844732,-0.0017008932275659474,-0.3309428010657303,0.02678796206452945,-0.021519037430378554
7.0,1.0,-0.17120259595201712,0.024688825669865917,-0.19281567478522296,-0.1002014795805492,0.0027752981759401325,-0.012510403668769897,-0.02889228104557239,-0.006280827725752635,-0.03338054703106422,0.04995624293477661,0.01545238661811313,-0.005063081475966639,-0.016663775187911064,-0.015265889310178537,-0.004088053606222058,0.005603874191833795,-0.11979225894438769,0.02475440278372364,-0.09342585712345938,-0.03905144183590611,-0.07624012532178658,-0.019147424184339748,0.001098517409564859,-0.13621304900206332,-0.04017236730382093,-0.02342080444657601
8.0,1.0,-0.1281512563242137,0.017154152019379837,-0.14857181885751589,-0.003519803891948387,0.02751873112204215,0.0019533594096276053,-0.00726337293250622,0.00652578219479611,-0.014304446770417025,0.03661172277937449,-0.026320943454941712,-0.005934627329466371,0.016229285443127996,-0.04836775789196888,0.01637903807013663,0.04337787995439971,-0.08694028703820543,-0.04268875645229584,-0.010870011834757687,-0.10836427193285107,-0.060017783300505285,0.02177853324964073,0.0017579219711535835,-0.3014649679441127,-0.034485805766180135,-0.01060079989574787
9.0,1.0,-0.10920822461168893,0.020475821526469717,-0.14900956259295822,0.0012150055008197883,0.025435252716834892,-0.008164156109668363,-0.0007640048948492394,-0.00042331165647633336,-0.008375382863650662,0.01165908570677406,-0.02842986329127222,-0.007246487034704028,0.01612284768967481,-0.036229458145001336,0.00840245561607379,0.05936358687931742,-0.07901830574211659,-0.02965851229371936,-0.023313701082816045,-0.07900671370531283,-0.04334803336414354,0.011179052847852899,-0.0013319357030036531,-0.29295896296234386,0.04602425182623743,0.03273811343003477
10.0,1.0,0.07409121248019349,0.04040381822639077,-0.0783788215081492,0.0035806635457444023,0.03421525463624326,0.14718833100868503,-0.0065216381050098235,0.008800180591854691,-0.009257638444208235,-0.04078099374560118,-0.011033249358783068,-0.008935913277783708,-0.004321850367604383,-0.045160730986155494,0.009887898833693102,0.0022294417962590435,-0.06766710124490283,-0.055352212200271325,-0.02946621703422248,0.04827110926441723,0.023069731637455355,0.015313827774973837,-0.00014346310235034037,0.15911573715683847,0.04192206526220786,-0.03666096877995459
