f_id,i_id,disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.qda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.ratio,ic.m0,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x
2.0,1.0,-0.1537942517961732,0.022210920944095918,-0.13961934243693389,-0.05722674535361355,-0.0037544657805032534,0.01795449891104092,-0.0074292443533567724,-0.014937922596412797,0.005704019333985215,-0.008998843396668751,0.0019096226067257457,0.01904539336027451,0.16615819667173176,0.005175697268338084,0.06920970921223538,0.12189189104551938,0.05960321230647097,0.09624162099631688,0.14035098987015496,0.015919289757124328,-0.04290424778650487,-0.053135012059839684,0.003529319884388457,0.18532387391136948,-0.033333629805208806,0.05802024780654727
3.0,1.0,0.10030492675030238,0.013913993095077024,-0.04758832426844204,0.018546366029493305,-0.028844492829103976,-0.024670654282627335,-0.00638951643679129,0.07221542061258764,-0.005808552403551487,0.012343333001036256,0.0018624141784186542,-0.013581450475613077,-0.002640023339863778,-0.004240781195371353,-0.011292680934168017,0.06726668530811374,0.10641051368723822,-0.0009245341522625143,0.08025772816751177,-0.02564777447118975,-0.03145490882352791,0.0035218828634073587,0.0014695843439070915,0.1517208529230804,0.02518475796472687,-0.03401970757549288
4.0,1.0,-0.13141691782929868,0.046572864236043364,-0.12764543443647014,-0.04963244250489008,-0.03511786016114134,-0.01761212132733922,-0.007255888254510548,0.11607006319318783,0.008261078540155146,-0.01427070268523445,0.016604508657440696,-0.01859221149125734,-0.012211683982362678,0.01228690823632167,0.0028093917665716487,-0.0002914689056990272,-0.09165269217168905,0.060882468392622305,0.032349090495428126,0.02560652117856295,-0.05710959350849968,-0.04604323520568232,0.0005471788817006201,0.14848877093651425,0.04579355666906453,-0.025877459837703638
5.0,1.0,0.10546092981644216,0.016427949821069585,-0.09990686689071128,0.023170482554969344,0.015290504554124873,0.00586722201102473,-0.00013974947958100744,-0.023242327191362273,-0.002469623310206843,0.014738419308727348,0.0009013747634714962,0.011674251626369274,-0.012997547724865815,0.01607444896102646,-0.005877144030671051,-0.03105006694852828,-0.07113637061123369,0.04853218290368859,-0.12385174330868916,-0.020397264645669554,-0.012533529599903321,0.022937397609923228,-0.0005992006867813003,-0.2640517747058577,0.013455773578077436,-0.04204707051825577
6.0,1.0,0.061474930386256746,0.015416188070654051,-0.12371111856178706,0.023809435654269868,0.014405932045875983,-0.00875691546966091,-0.0035994527855561227,-0.039928167931029615,-0.002602811350669486,-0.0023839881236294436,-0.0013918590694562546,0.004903232289970271,-0.023960788611415554,-0.0063956559971886,-0.011478633655819128,-0.03264723377578345,-0.08023875827902223,-0.009422966291617667,-0.1303924581492802,-0.016707586021355355,-0.06465624828512707,0.02113281943447998,-0.0006724728794783486,-0.2925622256220045,0.029954666114517893,-0.035062075708282237
7.0,1.0,-0.19450784223553744,0.003578083965182414,-0.22374116814181222,-0.0783014197465056,-0.011251198286244407,-0.008944094503584283,-0.006753851514203425,-0.03841647085260088,-0.0016710654853035927,-0.01920362781743947,-0.011851666493317474,-0.022453569703621692,0.03609221624941399,-0.004573673173535869,0.006694963729531919,-0.033681301886427546,0.11074502737113001,-0.12407034179238517,-0.02356928283049812,-0.005754231617299737,-0.06612951189980215,-0.05193509376353977,0.0020357172967581504,-0.19401067647420314,-0.07935337319861796,-0.015019318733127085
8.0,1.0,-0.14496810567521864,0.012123468441117256,-0.1217634525124927,0.010077484891158658,0.017063877567320335,-0.008139848496474995,-0.008359142635897245,-0.038698082338258714,0.0012547867571141966,-0.006417150127495277,-0.0010529780014757375,0.012325865097090466,-0.022374723741935523,-0.004982241064232867,0.041773695988208806,-0.029163386680723203,-0.06834824498186837,-0.041711181088737566,-0.0787615522866298,-0.004228138882152551,-0.05735495764152728,0.03944469053622396,0.0052606130721832645,-0.28343736189113083,-0.03353446895272371,-0.017106690501792803
9.0,1.0,-0.1474218527752368,0.016518142426248803,-0.16012730568848743,0.011908571712957663,0.021261930273577916,-0.009965755747285853,-0.006472644422970781,-0.024673094468374936,0.004619856448377624,-0.008950015881269554,-0.0016347473043283193,0.01800286094289422,-0.01358095289304812,-0.0046554680782583385,0.06466134252514011,-0.026611596158098955,-0.0636505333077794,-0.06066613904593864,-0.06756748283809821,-0.0038612377368515216,-0.04366099036598615,0.006572480669495681,-0.00016432602574086908,-0.2775314237200934,0.04011235911527041,0.05319119280592241
10.0,1.0,0.07635311565884619,0.02197884205403331,-0.10479572852597548,0.02430239425413532,0.02471756293715242,0.12583361229974083,-0.00314632157585098,-0.025416169465103493,-0.006883344845011548,0.0059217877078963,-0.0002489757090702155,0.01128972950959664,-0.019425969298729806,-0.0025167666539236714,-0.005908767900971425,-0.024516131639145497,-0.07365027336551969,0.014166832181307442,0.03478992632771497,-0.04316430591827148,-0.02137203583609518,0.026310234401245587,-0.0003872659025868375,0.15446861225907133,0.05129528665935895,-0.041377836869380916
11.0,1.0,0.14875898503526347,0.034419678074991314,-0.09018905860358385,0.02824460831831831,0.029307703470484284,0.17112030776346704,0.060909600751503375,-0.029195835655915322,-0.0005590360690879541,0.009630159534648183,-0.0011872046279528348,0.010276001958520064,-0.00842068824148745,-0.0041779432262493525,0.059202910648236656,-0.022694770478684657,-0.053831621079284825,0.06645768554247973,0.05342495800817437,0.012791735244470333,0.002181461740570734,0.032807251934069866,-0.00020683318120991498,0.17255417395938644,0.043879458175672154,0.11718985855529215
