feature_name,feature_importance,rank
ela_distr.skewness,0.1222446477238004,1
pca.expl_var.cov_init,0.0962550526078474,2
ela_meta.lin_simple.coef.min,0.0776150372267406,3
ela_meta.quad_simple.cond,0.0699689420314962,4
ela_level.lda_mda_10,0.0554120090707953,5
ic.eps.ratio,0.0537142871407353,6
disp.ratio_mean_10,0.0452017925045565,7
pca.expl_var_PC1.cor_x,0.044071440335584,8
ela_meta.lin_w_interact.adj_r2,0.0427326589779288,9
ela_level.qda_mda_25,0.0316235557807067,10
pca.expl_var_PC1.cor_init,0.0299293887710374,11
ela_meta.lin_simple.coef.max_by_min,0.0295873238189088,12
nbc.nb_fitness.cor,0.0272173662474962,13
ela_level.lda_mda_50,0.0266424275048425,14
ela_level.lda_qda_50,0.0248865694311406,15
ela_level.mmce_mda_50,0.0244110094686603,16
nbc.nn_nb.cor,0.0211908659834432,17
ela_distr.number_of_peaks,0.0191398567043058,18
ela_level.mmce_lda_50,0.0176124234915811,19
ela_level.lda_mda_25,0.016382610307215,20
ela_level.mmce_lda_25,0.0136189544291608,21
ela_level.mmce_mda_10,0.0104427765518218,22
ela_level.qda_mda_50,0.0099981594150724,23
ela_level.qda_mda_10,0.0055951458172864,24
ela_level.lda_qda_25,0.0035163830836521,25
pca.expl_var.cor_init,0.0016901055179961,26
ela_level.mmce_qda_10,0.0005090052056953,27
