f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,0.07308692912736946,0.09351880920427101,0.04318933739793477,0.2619792088183132,0.021614369931088107,0.011331326215922312,0.03463867563881103,0.00031158852490811536,0.016495249326543858,0.008700405686399472,0.02060468843385949,-0.004288615053197634,0.07156056340090289,0.03592887562395416,0.0082902601669897,-0.003423944975908067,-0.011033020365570826,0.25856054104707676,0.48959305143221876,0.03850590309634101,0.15607402745136878,0.0014007532235268826,0.014735003835982582,0.0036128575803265153,0.24620336642142376,0.01606351815109591
2.0,1.0,-0.057204286021576914,0.09483400445213784,-0.00874932595907771,-0.05045463050016813,0.015077259333550388,0.0007714070114789655,0.012759613987445687,-0.003307750793592308,0.0035521128891593343,-0.003323647438583049,0.026413514316193834,-0.003849260385509677,-0.005943939695381303,0.06680793169265713,0.0010915523445099856,-0.01769556516382091,0.030794970368807857,0.21963164161611845,0.04119428007251167,0.05706838223255884,0.14508771208492904,-0.03064221344162505,0.001973481391938462,0.003630057207501399,0.23753921628591584,0.02454571370380741
3.0,1.0,0.06586132134640876,0.036869316189403506,0.03371139534397009,-0.018591921127720772,0.0070168929881387065,0.0013833115463676266,-0.03867914009036092,-0.007496939654314379,0.021074700714705838,-0.0077467196139552,-0.006822970000111113,-0.0023989467676731884,0.06341239895086352,0.0027737254131680066,-0.0047225224874918,0.016909471898034607,-0.0062294459871562475,0.11476890058624467,0.027689943440868985,0.017642161845742074,0.10276501332289932,-0.01051518449471462,-0.0263037423145497,-0.007733684110669289,0.19231231325351483,-0.010541199241868863
4.0,1.0,-0.012814447244070435,0.07951244177410297,0.012013572604683645,-0.04494525385663951,-0.030594705291325755,-0.0045570284183611975,-0.051457654010048114,-0.030561553301861423,0.034066930456992994,0.0037239377830055815,0.02622432769412386,-0.014185923720321283,-0.013534696786547687,-0.0019288918282811267,-0.0017672661689739101,0.01767773388496155,-0.028879663650702495,-0.058802017722555194,-0.12283070199561388,0.040771201792564396,0.03520200682977393,-0.04034581146085514,-0.001645132237631194,1.57992633773548e-05,0.20404884063828252,-0.01590509535924046
5.0,1.0,0.08579326380267568,0.031965057901036306,-0.10442584897571466,-0.008494684773031612,0.014559927080799636,0.0036636055116124567,0.013528597224099864,0.0008250515455634305,0.017638538221286356,-0.009892670045460244,-0.0025559537815842857,0.003441467024303156,-0.0021706664099997433,-0.015976461014447007,0.021868841163288702,0.027724870113272557,-0.016829678176044013,-0.06653067405101293,-0.1023525601221199,0.03140782324013503,-0.1337022998190136,0.030404655395332696,-0.0100800960902915,-0.00023920450967256828,-0.4192367720551115,-0.011623643266197243
6.0,1.0,0.023724537712068876,0.03050622647245519,-0.1536481450035351,-0.008973999322446432,0.014673617852631526,-0.015824216961483686,-0.008646487461091156,0.0018078928869717397,-0.020930960868810352,-0.010273948769493836,-0.0034998770195228106,-0.004285964198610147,-0.02268140149535113,-0.011343077416574058,0.0070227050972845395,0.0023913803985174923,-0.027440144291891122,-0.06890401150805578,-0.11272464844888955,0.014021027640202658,-0.16821556442332913,-0.04954445009352834,-0.01202325840296044,-0.0009323394966500346,-0.45252577484813405,-0.013951905954194774
7.0,1.0,-0.15775410399537007,0.04271549160165225,-0.2640727019093088,-0.06474475974282737,-0.005096429070721907,-0.01525023440720217,-0.0324773519732061,-0.004424333082221299,-0.023753322685058396,-0.009782911909511473,-0.028145794194614125,-0.0017735075906099634,-0.013066942695677035,0.005502801535839623,-0.011683971543993582,-0.05553884570392869,-0.03294257594356199,-0.07496107918129481,0.08217712109826114,-0.005282589900020716,-0.01575822985727186,-0.05249159914466139,-0.0035027209024192226,-0.006763652035246222,-0.2444344381418995,-0.008545304612409623
8.0,1.0,-0.06692175914732025,0.034744281623301405,-0.1691220696820784,-0.02496990692929237,0.016551476887553176,-0.005545636874266748,0.011040990352784885,0.015586430828787062,-0.019645816381823385,-0.003873749264885376,0.008656144634093529,-0.007882219980859514,-0.023692368274787098,-0.009065441219975413,-0.004383746206513972,-0.01748230647563398,0.05281977364816312,-0.06876508972715616,-0.10242050920955749,0.0071280974564573605,-0.15757828917414946,-0.04877328133225604,0.02662889896582415,-0.0032198053716248386,-0.4333641867436339,-0.002664297897984588
9.0,1.0,-0.041551321318821825,0.03669240061921347,-0.18665065525967703,-0.02428171561109965,0.007303126874525692,-0.0025204266249779744,0.012477440837320265,0.011349616131980916,-0.005888003071659665,-0.0038725193583661888,6.482984399873014e-05,-0.007801103046638048,-0.0224475776243095,-0.009813926993296068,0.006418439514344342,0.013827183655580551,0.06976673685284912,-0.06225498808531874,-0.09788260363952184,0.004134786319260504,-0.1092547753706463,-0.03967770759688274,0.00505995099983758,0.0002985638129027479,-0.4127155375908701,0.012806663405783028
10.0,1.0,0.08410560212196429,0.06319564241251799,-0.13068040285082835,-0.0069239659494513325,0.01820561369280641,0.07034109955993792,0.016279872851645612,-0.006146109265268929,-0.0116880571934971,-0.010328358197171593,-0.005225214097879155,-0.002098319566767791,-0.026078515519729905,-0.0018892608924394954,0.012303493716675917,0.023067505576775154,-0.019855261300985312,-0.06413134771679206,-0.09767913436591523,0.004516190555368629,0.04016185380043073,0.03052288321408776,-0.011596876712429349,-0.00019483823626984258,0.20089739002201498,-0.021396120363021603
