feature_name,feature_importance,rank,fold_number
ela_meta.lin_w_interact.adj_r2,0.2264261554764456,1,1
pca.expl_var.cov_init,0.1406577430813619,2,1
ela_distr.skewness,0.1390169588684903,3,1
ela_meta.lin_simple.coef.min,0.0958936134088834,4,1
ela_level.lda_qda_50,0.083689852228231,5,1
ela_meta.quad_simple.cond,0.0809607172667099,6,1
ic.eps.ratio,0.0785772113390022,7,1
pca.expl_var_PC1.cor_x,0.0683421153453522,8,1
nbc.nb_fitness.cor,0.0623002714109611,9,1
ela_meta.lin_simple.coef.max_by_min,0.0605057253595524,10,1
ela_level.lda_mda_10,0.0589122871585754,11,1
ela_distr.number_of_peaks,0.0434749542015369,12,1
ela_level.lda_mda_25,0.0393757156403772,13,1
ela_level.lda_mda_50,0.0352405462691466,14,1
pca.expl_var_PC1.cor_init,0.0331878388974431,15,1
ela_level.qda_mda_25,0.0194267303066384,16,1
disp.ratio_mean_10,0.0183303674900518,17,1
ela_level.qda_mda_10,0.0175879163360974,18,1
ic.m0,0.0153198839986529,19,1
ela_level.qda_mda_50,0.0136986958717878,20,1
ela_level.mmce_lda_50,0.0118911021223022,21,1
ela_level.mmce_lda_25,0.0065289052142491,22,1
nbc.nn_nb.cor,0.006487877204035,23,1
ela_level.mmce_mda_10,0.0047919982366976,24,1
ela_level.lda_qda_25,0.0046986106511307,25,1
pca.expl_var.cor_init,0.0003393858607111,26,1
nbc.nn_nb.mean_ratio,0.2618879265948801,1,2
ela_distr.skewness,0.1738590196957249,2,2
ela_meta.lin_w_interact.adj_r2,0.1640866001064258,3,2
disp.ratio_median_02,0.159731890612802,4,2
ela_meta.lin_simple.coef.min,0.1519023870621619,5,2
pca.expl_var.cov_init,0.0961527927727819,6,2
pca.expl_var_PC1.cor_init,0.083513522914689,7,2
ic.eps.ratio,0.0672264691677981,8,2
nbc.nb_fitness.cor,0.0642132755702934,9,2
ela_level.lda_mda_10,0.0627680507723462,10,2
nbc.nn_nb.cor,0.0615090057211336,11,2
pca.expl_var_PC1.cor_x,0.0607971242690448,12,2
ela_level.qda_mda_25,0.048858093157754,13,2
ela_meta.quad_simple.cond,0.0478787323956056,14,2
ela_level.lda_qda_50,0.025386208545457,15,2
ela_level.mmce_lda_50,0.0185548893438291,16,2
ela_level.mmce_qda_10,0.018427401477982,17,2
ela_level.lda_mda_25,0.0161578860507202,18,2
ela_level.lda_mda_50,0.014565381465493,19,2
ela_level.mmce_lda_25,0.0132300803321767,20,2
ela_level.lda_qda_25,0.0106458861626494,21,2
ela_level.qda_mda_10,0.0098693437101983,22,2
ela_level.mmce_mda_50,0.0085381864378673,23,2
ela_distr.number_of_peaks,0.0062559552017062,24,2
ela_meta.lin_simple.coef.max_by_min,0.0057263013409095,25,2
ela_level.qda_mda_50,0.0027012304776969,26,2
pca.expl_var.cor_init,0.0015015909701417,27,2
ela_level.mmce_lda_10,6.997065004184633e-05,28,2
ela_meta.lin_simple.coef.min,0.2727321734274358,1,3
pca.expl_var.cov_init,0.1290994411584231,2,3
disp.ratio_mean_10,0.126229961965153,3,3
ic.eps.ratio,0.1015938362205732,4,3
ela_meta.quad_simple.cond,0.050643134043515,5,3
pca.expl_var_PC1.cor_init,0.0446154150871687,6,3
ela_level.lda_qda_10,0.0431759118683956,7,3
ela_level.qda_mda_50,0.0391977860323141,8,3
ela_level.mmce_mda_50,0.0356231298878073,9,3
ela_distr.number_of_peaks,0.0323447843524546,10,3
nbc.nn_nb.cor,0.0311268733562515,11,3
nbc.nb_fitness.cor,0.0299763134635859,12,3
pca.expl_var_PC1.cor_x,0.0271448614750655,13,3
ela_meta.lin_w_interact.adj_r2,0.0256058117207906,14,3
ela_level.lda_mda_50,0.0215515743282453,15,3
ela_level.mmce_lda_25,0.0207822323246151,16,3
ela_distr.skewness,0.0199168430038104,17,3
ela_level.lda_qda_50,0.0197135847569167,18,3
ela_level.qda_mda_25,0.0184125543013683,19,3
ela_level.lda_qda_25,0.0165576825815584,20,3
ela_level.mmce_lda_50,0.0144701585740011,21,3
ela_level.mmce_mda_10,0.0084790216840923,22,3
ela_meta.lin_simple.coef.max_by_min,0.005590203448409,23,3
ela_level.lda_mda_10,0.0024455760717332,24,3
pca.expl_var.cor_init,0.0014613968110516,25,3
ela_level.lda_mda_25,0.0006871777219729,26,3
ic.eps.s,0.1792368324333549,1,4
ela_meta.lin_w_interact.adj_r2,0.1689265460633597,2,4
disp.ratio_median_02,0.1515136799244705,3,4
ela_level.lda_mda_10,0.132228629675055,4,4
pca.expl_var.cov_init,0.0755579266333764,5,4
