f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.qda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,0.05949533056366202,0.06792383722004297,-0.04501198039006003,0.07256400651050314,-0.01174698418436476,-0.007956782065680271,0.006721000171691803,0.030672177350315112,-0.0016884444131547805,0.022119137500916798,0.006659993042007405,0.0016190505441954456,0.019968850017746145,0.02310208854904105,-0.03534430793878445,-0.015044069657033744,-0.030618845480182746,0.45671369585184973,0.6464694769654032,0.07441367749086752,0.2183294121921609,-0.008175260961709592,0.04552397758571579,-0.0004731420684029555,0.08984099125050549,0.04828037460215762
2.0,1.0,-0.06822877011417028,0.053573157871183406,-0.03907924932149972,-0.09105352320038865,0.020217063198395252,-0.007503313784322237,-0.013504775136227496,-0.008005571566396344,0.026233363212980223,0.017742116425130867,0.0012755914843516764,0.0006982913703236022,-3.977146216075083e-05,0.1272971608170064,0.014170416533941728,-0.008097138294004857,0.07343344345398813,0.4066822324728771,0.014400564411661392,0.0589989089558199,0.24450332064584623,-0.02685956508964795,-0.025763082043388025,0.001467675788335333,0.09503490105157944,0.042719867901365886
3.0,1.0,0.08441406349161641,-0.022472374159999715,-0.0120953735983876,0.015910724000240302,-0.025221230901335805,-0.007775633693488432,-0.0036560113397157475,0.023027596141477112,-0.00229133408752705,-0.02310227013219903,-0.003318016222343108,0.00598929300128332,-0.02965814726896996,-0.030750435950112683,-0.019328410921090132,0.01611982307662879,0.024858176444338784,0.18645647625569273,-0.01681703406109775,0.008105890373369364,0.1860896069732084,0.023551881104118527,-0.017845210040022177,0.004196358821755689,0.07687861258797273,-0.017247043927742654
5.0,1.0,0.09206424090271653,0.018881506628073134,0.00019403339218596006,0.019825224818628046,0.023192170422870226,-0.001988334677383539,0.0029806242147582115,-0.0003458237267521334,-0.008074570270474247,-0.00901625660777972,-0.006065577439270894,0.014233981372268582,0.012434467847185432,-0.002992838393141514,0.005339426106141789,0.009214975813290187,-0.006869424810960251,-0.13505183629428755,-0.1223116785641896,0.03203602051909031,-0.3313636362134666,0.007844995823666405,0.02282285062026568,0.0013072073115360755,-0.13589713094826353,-0.02398837471395609
6.0,1.0,0.023256486640079684,0.018729831090388442,-0.019909315468780456,0.01879579982889876,0.015057783023977136,-0.014599150502083503,0.006146473899427991,-0.01633812184692434,-0.009315889384373157,-0.01790915888005432,0.003714914560547766,-0.010230373183176943,0.004427732276451407,-0.00493561120909467,-0.00794995065955397,0.010560332954371886,-0.010888525835961654,-0.15548654362860626,-0.14205079279438296,0.004458850985576396,-0.3890954446745321,-0.04441128839701559,-0.001516788774906634,0.001258080002904435,-0.15291346085776855,-0.024613087773605942
7.0,1.0,-0.12157340342330522,0.02336324611555337,-0.09634744617880156,-0.14627786780008106,-0.007306458520851298,-0.013380750421562154,-0.008404929242952205,-0.029459387166458084,0.028639752963268296,0.014001222762029756,-0.013137993489287224,-0.004361694842870995,-0.033556999878049915,0.019905956107151488,0.00918898889613121,-0.04418940397077325,-0.004968598214777974,-0.18049134205609282,-0.00968164969003817,-0.04369290376740234,-0.3577646735175617,-0.058377771286642476,-0.048134408327596974,0.00012745770753795296,-0.06887360930326483,-0.007110560027927447
8.0,1.0,-0.09467647308427111,0.021960472582874053,-0.026325850191341642,-0.011877370742806818,0.021314243401931526,-0.013383189629594883,0.008116611819966426,-0.014093656133055417,0.0034773831545042164,0.011764514680632741,-0.01816496303945282,-0.0016855661379919728,0.015921718952783,-0.024015340748347908,0.005306414623375534,-0.00893650485936301,0.016939554769113564,-0.1514857400227139,-0.12915661075358426,-0.030247721910028266,-0.3740544400348281,-0.03669733221983294,0.05635806203447041,0.001263966613566936,-0.14952911245388434,-0.007953829687031025
9.0,1.0,-0.10160236353437407,0.02144658989115275,-0.0871798507573989,-0.002815271233828529,0.030728111101712516,-0.014743699195135667,0.0025889008392784734,-0.015603351156299386,0.0035908770900797936,-0.002057453276630857,-0.007800942194614658,0.0005872012375986314,0.019657748944556495,-0.016378435735256595,0.005959712131616134,0.00623864763302534,0.026758046685843143,-0.1431753322825852,-0.12367226552786469,-0.024190296050717312,-0.34327358219270654,-0.03215675978065022,0.030455525849471907,0.0011131909195256759,-0.16013837376722864,0.03279576309268107
10.0,1.0,0.0859323313661684,0.03263981795213214,-0.05197540876625204,0.021546010931903663,0.039641925331638336,0.08381189881076906,-0.0006518096260417957,-0.006537333045183279,-0.00564176962259776,-0.02077885968950825,-0.0036814094169723877,-0.007043768629006223,0.017445985164934882,-0.013865861689362958,0.0053609825983304445,0.009570575276041654,0.0020550510818317614,-0.12486143267175881,-0.1094114266919922,0.0031961439356439354,0.1530984247582299,0.0013582301166135146,0.0088753440160937,0.0012024074472098477,0.078252628552768,-0.03196831077142588
11.0,1.0,0.11926065942766263,0.04076125779049151,-0.0060704217234859885,0.03262452682841274,0.04853054140250777,0.12187231645219618,0.036873348399175075,-0.008463479625434714,0.0005831301001475603,-0.012147835633559178,0.0019526834020344107,0.0054138149065654905,0.025775323929586803,-0.0029750098886579227,0.015360631097172095,0.013621848086553078,0.08265067938134085,-0.10606770770827804,-0.10033678732044686,0.04793493612788396,0.20438788870473207,0.01267459938181553,0.020387827603602318,0.0007350456413075723,0.09157554461544337,0.1079240752660109
