feature_name,feature_importance,rank
disp.ratio_mean_10,0.1623487997952616,1
ela_level.lda_mda_50,0.1541077464729316,2
ic.eps.s,0.1301168565613581,3
ela_meta.lin_w_interact.adj_r2,0.1157303616110104,4
pca.expl_var.cov_init,0.083767046181148,5
ela_meta.lin_simple.coef.min,0.0688855569655846,6
ela_level.lda_mda_25,0.0600066901530489,7
ela_distr.skewness,0.0436194937419842,8
ela_distr.number_of_peaks,0.0246556655044073,9
ela_meta.quad_simple.cond,0.0246545700213316,10
ela_level.lda_qda_50,0.0216332525370584,11
ela_level.qda_mda_25,0.0189715343626309,12
pca.expl_var_PC1.cor_init,0.0145180220486042,13
ela_level.lda_qda_25,0.0143898520262606,14
ic.m0,0.013556069403758,15
pca.expl_var_PC1.cor_x,0.0124671542942595,16
nbc.nb_fitness.cor,0.0099658795483225,17
nbc.nn_nb.cor,0.0087863557602226,18
ela_level.lda_mda_10,0.0086758871405537,19
ela_level.qda_mda_50,0.0071539584398484,20
ela_level.lda_qda_10,0.0053931802399027,21
ela_meta.lin_simple.coef.max_by_min,0.0043257890623217,22
ela_level.mmce_lda_50,0.0042256112998841,23
ela_level.mmce_mda_10,0.0022467176279669,24
pca.expl_var.cor_init,0.0011234337928995,25
ela_level.mmce_lda_25,0.0010801534512537,26
