feature_name,feature_importance,rank,fold_number
pca.expl_var.cov_init,0.19347653575867893,1,1
ela_distr.skewness,0.12913326366121974,2,1
ela_meta.lin_w_interact.adj_r2,0.10659759972526572,3,1
disp.ratio_mean_10,0.10430549108377997,4,1
ic.eps.ratio,0.06599111892720341,5,1
nbc.nb_fitness.cor,0.05703557103036375,6,1
ela_level.qda_mda_25,0.049372403957415816,7,1
ela_meta.quad_simple.cond,0.045400612733554786,8,1
ela_distr.number_of_peaks,0.044076003637531336,9,1
ela_level.lda_qda_50,0.04137684446472447,10,1
ela_meta.lin_simple.coef.min,0.038083727199730424,11,1
ela_meta.lin_simple.coef.max_by_min,0.037232988529330054,12,1
pca.expl_var_PC1.cor_x,0.036889772764151875,13,1
pca.expl_var_PC1.cor_init,0.03265610494378869,14,1
ela_level.lda_mda_10,0.03198655727745703,15,1
nbc.nn_nb.cor,0.028675088740953453,16,1
ela_level.lda_mda_50,0.024203871548893828,17,1
ela_level.lda_mda_25,0.02308669981465956,18,1
ic.m0,0.018257919354037953,19,1
ela_level.mmce_lda_50,0.010727350992065107,20,1
ela_level.qda_mda_10,0.009974553900412327,21,1
ela_level.lda_qda_25,0.009351700609914698,22,1
ela_level.qda_mda_50,0.007751288943129156,23,1
ela_level.mmce_lda_25,0.0070966388326473276,24,1
ela_level.mmce_mda_10,0.003963971526928233,25,1
pca.expl_var.cor_init,0.0016488594965660677,26,1
ela_meta.lin_w_interact.adj_r2,0.19560722425381513,1,2
pca.expl_var.cov_init,0.1579567029226318,2,2
ela_distr.skewness,0.1514954040262663,3,2
nbc.nn_nb.mean_ratio,0.1041616588178609,4,2
disp.ratio_median_02,0.06659727200165763,5,2
nbc.nb_fitness.cor,0.0663303195508878,6,2
pca.expl_var_PC1.cor_init,0.04697306744109383,7,2
ic.eps.ratio,0.04026300557902464,8,2
ela_meta.lin_simple.coef.min,0.03739825056799133,9,2
ela_level.lda_qda_50,0.03437798743598524,10,2
pca.expl_var_PC1.cor_x,0.032996533086977725,11,2
ela_distr.number_of_peaks,0.029048940837263674,12,2
nbc.nn_nb.cor,0.02781886492135134,13,2
ela_level.qda_mda_25,0.027026326658630025,14,2
ela_level.lda_mda_50,0.025654995323754416,15,2
ela_meta.quad_simple.cond,0.02181156638226633,16,2
ela_level.lda_mda_10,0.021275031424078637,17,2
ela_level.qda_mda_10,0.018780087010236826,18,2
ela_level.mmce_qda_10,0.017413097605292107,19,2
ela_meta.lin_simple.coef.max_by_min,0.014972346404941867,20,2
ela_level.mmce_mda_50,0.014735034570404237,21,2
ela_level.mmce_lda_50,0.014147768661425936,22,2
ela_level.mmce_lda_25,0.012548682347521212,23,2
ela_level.qda_mda_50,0.01208684533189046,24,2
ela_level.lda_mda_25,0.011978750208765198,25,2
ela_level.lda_qda_25,0.011268203943009116,26,2
ela_level.mmce_lda_10,0.007149129086560426,27,2
pca.expl_var.cor_init,0.001964721266617641,28,2
pca.expl_var.cov_init,0.16250897572192724,1,3
ela_meta.lin_simple.coef.min,0.1581303583389043,2,3
ela_meta.lin_w_interact.adj_r2,0.15615575841032805,3,3
disp.ratio_mean_10,0.10910775304104453,4,3
ela_distr.skewness,0.07551390653703324,5,3
ela_level.qda_mda_25,0.06456104479007287,6,3
ic.eps.ratio,0.062494301036304434,7,3
pca.expl_var_PC1.cor_x,0.05405514062419827,8,3
