f_id,i_id,disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,0.08227701814872224,0.05400200047664452,-0.039458244120614876,0.11774235275808588,-0.02557781854077245,-0.018932564761754363,0.08935657320277803,0.020321781510582188,0.06918429657682434,0.01388648678051385,0.027192151429990617,-0.0006296439762003909,0.03667487340754713,-0.03220807091238522,-0.02090321700114281,0.047890780254463916,-0.0926492982066257,0.3232317766718005,0.5624301556138155,0.07082261648096072,0.23451515429226455,-0.01445351133417236,0.039517598984324706,0.006593306599082905,0.09308511641843732,0.04122325440889744
2.0,1.0,-0.167683159602296,0.029105175434739887,-0.03173079617309479,-0.06732100231569675,0.03938353651178705,-0.004876525968680598,0.010118605790226153,-0.0037254788223466755,-0.012277019401202975,0.010631601627863863,0.020752179859089066,-0.006947860623994848,0.0078047279170661565,0.17177484292559586,0.018563743548472577,-0.01104898787399533,0.06755017945338447,0.32783030107976674,0.03799130982679694,0.07129456070830509,0.2616105281901373,-0.02803653537832801,0.0034747236297321153,0.0017945218191944825,0.10400989141626969,0.06143194399608929
3.0,1.0,0.11828667673533566,0.002619252791255792,-0.026469866908002463,0.004483253744838663,-0.040950772648338414,-0.016901313958454314,-0.04255067994518805,-0.002340495759688744,0.03831498205154526,0.002549173176243468,-0.031201184491066798,0.004615652247200364,0.02037846704307863,-0.015295707379851425,-0.004986274152575115,-0.012189454866199548,0.03215084895114885,0.14076251602725398,0.022817876337376173,0.024005494615731204,0.13510263057557553,-0.016734489877182387,-0.04826932936366388,0.002688423747935745,0.08815837580314656,-0.0251464262936256
4.0,1.0,-0.13030860412662282,0.03365374472319454,-0.05992853338505962,-0.019166190067139887,-0.03961955063590546,-0.018288050712153465,-0.03297071397465738,-0.013002795013678051,0.10162005188538162,0.023436776720513045,0.036312638722157044,-0.025882563074515735,-0.01502719149171445,-0.03520832231863746,0.004396376676246133,0.006900911299552223,0.028589404479841558,-0.01848203969374975,-0.16102757658006342,0.05168091462870724,0.10894857269087575,-0.0407265873864469,-0.02329599625302494,0.0001719532835061828,0.09038056301649533,-0.02534486986141647
5.0,1.0,0.1250197905815275,0.011896843589024821,0.014884626593524148,0.006931138027434389,0.02275533086001593,-0.010040740809554275,-0.00369055190987974,0.0043201682493132654,-0.0006522783485520661,-0.0021902215572036166,-0.017374633001529256,-0.001705546016402506,0.012695843416237135,-0.006509501193979979,0.008713192367985411,-0.0034236895855914037,0.0008359255855844304,-0.08371907092529696,-0.12953739550544024,0.0367789395355979,-0.34461333364273267,0.011796814597585808,-0.00749646698128203,0.000511110985014615,-0.17642851799723744,-0.026071414696883732
6.0,1.0,0.0258955637512705,0.00886213095075209,-0.011509104748657673,0.008816675921141645,0.02319442210989117,-0.015481246034784587,-0.014165627999879202,0.007139043795413404,-0.016631370161015607,-0.006127760066701434,-0.024198960895402608,-0.007833551685342442,-0.009577223915474524,-0.013521218703414469,0.005635603443383535,0.011166092245400829,0.0018509631094077725,-0.10035403037207692,-0.16191227119686116,-0.006665753027633753,-0.3802674202664519,-0.0402786860795531,-0.01642127258172684,0.0009025273157206933,-0.20784819778600966,-0.024117156630879943
7.0,1.0,-0.16532769232933245,0.0034837177717366307,-0.10644029211322262,-0.07951534424133516,0.012381295102633558,-0.024815846611527578,-0.02172967320677425,-0.007127411967405458,-0.02934076411756213,0.019225539534403646,0.024932741244696185,0.0061944986748629464,-0.016683230899889687,0.03572403343463706,0.004567619511225498,-0.024106043493175244,0.004398288721707895,-0.11013124767644575,0.102518766944045,-0.11788034071232231,-0.40344307089856046,-0.04377020692632748,-0.025469903888371132,-6.192547415941101e-05,-0.09275420440558424,-0.007636065067358069
8.0,1.0,-0.14167453621717918,0.004993510873141111,-0.0359551044902805,-0.018840535279271958,0.021925773020105555,-0.006447501712990244,0.0024436336254626658,0.016786188327995832,-0.017800685749812757,-0.002675023697305264,0.020506210385174962,-0.018165954093049996,-0.0067295809439079195,-0.029941965736605992,0.011475858239944688,-0.0034602313833738364,0.03291199541024719,-0.09315268264717919,-0.14277494123275306,-0.06899183382183909,-0.36622248104262,-0.045952990340416555,0.028312299769598405,0.0022052695070574014,-0.19460287510729282,-0.008449944943635292
10.0,1.0,0.12946989828603164,0.013618551621536724,-0.03692649255647974,0.010301042438165603,0.03948562272476423,0.07124821316592604,-0.005118961045644217,0.005686186127678667,0.0005098229977818797,-0.0010403021819056213,-0.019455161887227942,0.003975335527172471,-0.012778240422079843,-0.018031721683101347,0.004132733406524957,0.01269208859180909,0.00949611679830991,-0.07905889343021504,-0.12637031494511375,-0.0067539344642507096,0.12026462388165904,-0.007119877926522442,-0.014068302377302602,-0.00013520828607100515,0.07955482762270881,-0.029423340170476178
11.0,1.0,0.18234740015206524,0.021215544121775228,0.0017943638057805536,0.020152895816568202,0.057098495659566074,0.10646557963016237,0.003972300048928762,0.023852752412053927,0.00037619987948976923,0.0024522087063613748,-0.015482567750516466,0.016995749890264207,0.009373282188778252,-0.002581217627963997,0.042913378762132505,0.02284648017231237,0.07186833559535434,-0.06139511855519209,-0.09597817066260474,0.04872065629073679,0.1453129606586908,0.0017082928247396073,0.00039636198583101656,-0.00046330850683135765,0.09783693154423138,0.11139495312184507
12.0,1.0,0.12134148693377399,0.003149477890707292,-0.07560226466244081,0.005825880255488947,0.023699297808297364,-0.012595512096011655,-0.0032566118940822674,0.005178777459450754,-0.018675073833311004,-0.003832476697764671,-0.015735336147137062,-0.018349670532321498,-0.01320999901355091,-0.01991603838099225,-0.010384112008738433,-0.00703998423572302,-0.004671330434885471,-0.09880436164565762,-0.14247244501402023,-0.008630068966205315,-0.39622142815807787,-0.04260323260913086,-0.022760245552050293,0.00062897965771709,-0.20394185669205886,-0.020601052126044638
13.0,1.0,-0.16197158654629812,0.002697770214823146,-0.10015025919974645,-0.06629325141954776,0.012370152289793207,-0.014896521207445203,-0.026033269166000236,-0.007388138616357395,-0.03641159311404598,0.00829330448330395,0.030946247219669144,0.029148604430466095,-0.015000725056617443,-0.04085612897915693,0.0037805965877969654,-0.03039431246628534,-0.01863682643324296,-0.1083336353546406,0.10718170155756622,-0.12703273944411897,-0.3882639473174391,-0.03888044273006821,-0.021715056143375017,0.00022740033942371672,-0.22688921221442604,0.021740138065073744
