feature_name,feature_importance,rank
pca.expl_var.cov_init,0.2868251542473968,1
ela_meta.lin_w_interact.adj_r2,0.126993695651732,2
ic.eps.ratio,0.0981710340583201,3
ela_distr.skewness,0.0979940960721318,4
ela_meta.lin_simple.coef.min,0.0968159304439635,5
disp.ratio_mean_10,0.0871938256842559,6
nbc.nn_nb.mean_ratio,0.0512588602417042,7
pca.expl_var_PC1.cor_init,0.0374288315925011,8
ela_level.qda_mda_50,0.0299870177608417,9
ela_level.lda_mda_25,0.0252402601601308,10
nbc.nb_fitness.cor,0.0251496826669182,11
ela_level.lda_mda_10,0.0244442719817558,12
pca.expl_var_PC1.cor_x,0.0223666892063357,13
ela_level.qda_mda_25,0.0192711963324447,14
ela_level.lda_qda_50,0.017492714337489,15
ela_level.mmce_lda_25,0.0172052713317517,16
ela_level.mmce_mda_50,0.0171453719085366,17
ela_meta.quad_simple.cond,0.0159451914471416,18
ela_level.lda_mda_50,0.0143377391891397,19
ela_distr.number_of_peaks,0.0111804861602458,20
ela_level.mmce_mda_10,0.0075128460295892,21
ela_meta.lin_simple.coef.max_by_min,0.0042639152513115,22
ela_level.qda_mda_10,0.0032516833829696,23
ela_level.lda_qda_25,0.0012802193769629,24
ela_level.mmce_lda_50,0.0003950858661978,25
pca.expl_var.cor_init,0.000355438320567,26
