index,times_better,times_equal,times_worse,mean,median,calibration_method,weights_method,algorithm_name
RF,,,,1.023077099658337,0.737202534800664,weighted,shap,DE3
0.9,4.0,20.0,6.0,1.0446026241888138,0.737202534800664,weighted,shap,DE3
0.7,7.0,11.0,12.0,1.0532423078564261,0.7065690520017425,weighted,shap,DE3
0.5,11.0,3.0,16.0,1.0868193259707297,0.831730752628011,weighted,shap,DE3
