fold_number,mae_train,mae_test,mdae_train,mdae_test,r2_train,r2_test
1.0,0.3477972558468624,3.810071752044304,0.18552326976692668,3.810071752044304,0.8012016992885053,
2.0,0.2709865019383352,6.716326346316011,0.19312081509012735,6.716326346316011,0.8883738369767791,
3.0,0.39001113595679376,0.8853472516988732,0.18452808641715057,0.8853472516988732,0.8491975304279011,
4.0,0.38263288063198925,0.24284962455943715,0.18392525137954063,0.24284962455943715,0.8698937042476234,
5.0,0.38440498619074287,0.6273342518798574,0.20994362243401854,0.6273342518798574,0.856587856388601,
6.0,0.3883436129653442,0.2143826782185011,0.20083729065781653,0.2143826782185011,0.8589369175495846,
7.0,0.4082107496156566,0.41037147441434985,0.2327710423817062,0.41037147441434985,0.8631106401909572,
8.0,0.433768255305225,0.4260858425824825,0.27555406558880025,0.4260858425824825,0.8512751526077565,
9.0,0.3836410380103546,0.6980694628724851,0.2216555011312824,0.6980694628724851,0.8617889430194909,
10.0,0.42621399499588475,0.20737970262914773,0.27504865137054146,0.20737970262914773,0.8511365991956519,
11.0,0.4083159628439083,0.4595708098053084,0.2839286246896695,0.4595708098053084,0.8594412600854509,
12.0,0.3887664849584763,0.9982536616012876,0.1775644871036084,0.9982536616012876,0.8466228036246599,
13.0,0.4054845478297335,1.289157554880812,0.20055419459683943,1.289157554880812,0.8403149675508728,
14.0,0.3799203633360251,1.5657452293682008,0.2091406231408881,1.5657452293682008,0.8665029904967365,
15.0,0.3827440381857926,1.7085753258412213,0.22301693767969244,1.7085753258412213,0.8594074040363232,
16.0,0.40372008841112933,0.6556592766718821,0.24305334705928638,0.6556592766718821,0.8555453030915653,
17.0,0.4130947868053192,0.9706035945667257,0.2718505356216512,0.9706035945667257,0.8539943690817946,
18.0,0.4009840774214643,1.294647719701775,0.25592811630264856,1.294647719701775,0.8609667622284146,
19.0,0.3592575760703214,1.9420204079775276,0.21483306963885895,1.9420204079775276,0.8770950116463109,
20.0,0.3290615163833477,2.959727028163258,0.1878586153956574,2.959727028163258,0.9006191349456819,
21.0,0.3812203925589465,0.2758674014407765,0.20480904701420632,0.2758674014407765,0.8754391662066745,
22.0,0.3695787959683998,0.3240248033231683,0.19694582847728848,0.3240248033231683,0.8850896353774115,
23.0,0.3786629463624218,0.31187006897185077,0.21727458760765694,0.31187006897185077,0.8731265997595202,
24.0,0.37773861216694854,0.861941157650526,0.23993339558765037,0.861941157650526,0.8751800300789158,
25.0,0.37702196828334145,0.862077276584061,0.24786802887008808,0.862077276584061,0.8896148209819976,
26.0,0.3938900362926351,0.030933320002968223,0.24429552594011184,0.030933320002968223,0.8775739960765014,
27.0,0.38450084600858625,0.37148706358528516,0.2639825326081837,0.37148706358528516,0.8781414319715135,
28.0,0.3713525815316026,0.3728141485982892,0.20984149252914608,0.3728141485982892,0.8788907663784626,
29.0,0.4018842856485322,0.3227515713058824,0.25343897024619455,0.3227515713058824,0.859177999000698,
30.0,0.39908633168346036,0.497931008794243,0.22657544212956182,0.497931008794243,0.8667206556807315,
