index,times_better,times_equal,times_worse,mean,median,calibration_method,weights_method,algorithm_name
RF,,,,1.0771292272016832,0.6414967642758698,weighted,clus,DE2
0.9,8.0,14.0,8.0,1.0720021763925813,0.7644348520029388,weighted,clus,DE2
0.7,13.0,5.0,12.0,1.1209359933218521,0.8677021007007791,weighted,clus,DE2
0.5,15.0,1.0,14.0,1.0785833732471546,0.8320163935840496,weighted,clus,DE2
