model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
RF,3.810071752044304,6.716326346316011,0.8853472516988732,0.24284962455943715,0.6273342518798574,0.2143826782185011,0.41037147441434985,0.4260858425824825,0.6980694628724851,0.20737970262914773,0.4595708098053084,0.9982536616012876,1.289157554880812,1.5657452293682008,1.7085753258412213,0.6556592766718821,0.9706035945667257,1.294647719701775,1.9420204079775276,2.959727028163258,0.2758674014407765,0.3240248033231683,0.31187006897185077,0.861941157650526,0.862077276584061,0.030933320002968223,0.37148706358528516,0.3728141485982892,0.3227515713058824,0.497931008794243
0.9,3.810071752044304,6.716326346316011,0.8430473829334604,0.24284962455943715,0.7174110016929673,0.05036899432389352,0.41037147441434985,0.4260858425824825,0.6980694628724851,0.013015835835089362,0.3204594203821389,0.8866206464719804,1.289157554880812,1.5657452293682008,1.7085753258412213,0.4054763691572003,0.8175814031011424,1.294647719701775,1.9420204079775276,2.959727028163258,0.2758674014407765,0.3240248033231683,0.31187006897185077,0.861941157650526,0.862077276584061,0.030933320002968223,0.37148706358528516,0.3728141485982892,0.3227515713058824,0.497931008794243
0.7,3.436915518090404,6.261906974284818,0.8430473829334604,0.3897933263176694,0.5021019411123107,0.05036899432389352,0.249605818623148,0.225151657121899,0.7109296981158184,0.795876977939012,0.9219467532994998,1.0765771051829545,0.9925444838271915,1.0378035340660714,1.5036081640945764,0.6023599088050806,0.8175814031011424,1.294647719701775,1.9420204079775276,2.2261607623405273,0.05421642372273494,0.81133290283555,0.31187006897185077,0.861941157650526,0.862077276584061,0.030933320002968223,0.37148706358528516,0.3728141485982892,0.3227515713058824,0.497931008794243
0.5,3.5361013589896606,5.636018370034016,0.9634636129910321,0.2935256107588122,0.34347008630736187,0.37180289463018135,0.1754924724438458,0.5736024802199654,0.704618424555115,0.8402266989410099,1.0588720846756572,1.2049475177526374,1.0549923239687586,1.233313384293281,1.5036081640945764,0.7302720067995665,0.8965644649696198,1.294647719701775,1.8223188398609222,2.01678932653426,0.05421642372273494,0.6170126282139665,0.44127126405307626,0.4811219088338148,0.9951071263201854,0.1612072525605419,0.1919717611105174,1.1415270139802014,0.08014867250684565,0.33019261754321727
