disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,fold_number,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_10,ic.eps.ratio,pca.expl_var_PC1.cor_init,nbc.nn_nb.sd_ratio,disp.diff_mean_10,ela_meta.lin_simple.coef.min,ic.h.max,disp.diff_median_25,ic.eps.max,disp.diff_median_10,pca.expl_var.cov_init,ela_distr.kurtosis
0.1,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.1,0.05,0.0,0.1,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.0,1,,,,,,,,,,,,,,
0.0423728813559322,0.0847457627118644,0.0423728813559322,0.05084745762711865,0.0423728813559322,0.0,0.0,0.0423728813559322,0.0423728813559322,0.0423728813559322,0.05084745762711865,0.0,0.0,0.0423728813559322,0.0,0.0423728813559322,,0.0847457627118644,0.0423728813559322,0.0423728813559322,,0.0423728813559322,0.09322033898305085,0.0423728813559322,0.0,0.0,0.0423728813559322,2,0.0423728813559322,0.0423728813559322,,,,,,,,,,,,
0.1568627450980392,0.0,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,,0.0,0.0,0.0,0.0,0.0,0.0,0.1568627450980392,0.0,0.0,0.0,0.1568627450980392,0.1568627450980392,0.0,0.0,0.1568627450980392,0.0,0.0,3,,,0.0,,,,,,,,,,,
0.0,0.0,0.22388059701492538,0.0,0.0,0.0,0.0,0.0,0.1044776119402985,,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538,0.0,0.0,4,,,0.22388059701492538,,,,,,,,,,,
0.08040201005025126,0.08040201005025126,0.08040201005025126,0.0,0.0,0.0,0.0,0.0,0.035175879396984924,0.08040201005025126,0.08040201005025126,0.08040201005025126,0.0,0.0,0.0,0.0,0.08040201005025126,0.0,0.0,0.0,0.08040201005025126,0.08040201005025126,0.08040201005025126,0.0,0.08040201005025126,0.08040201005025126,0.0,5,,,,,,,,,,,,,,
0.10596026490066225,0.10596026490066225,0.10596026490066225,0.0,0.0,0.0,0.0,0.0,0.046357615894039736,0.0,0.0,0.10596026490066225,0.0,0.0,0.0,0.0,0.10596026490066225,0.0,0.0,0.0,0.10596026490066225,0.10596026490066225,0.10596026490066225,,0.10596026490066225,0.0,0.0,6,,,,,,,,,,,,,,
0.0,0.28846153846153844,0.28846153846153844,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28846153846153844,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7,,,,0.0,,,,,,,,,,
0.0,0.0,0.28846153846153844,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28846153846153844,0.0,0.0,8,,,0.0,,0.28846153846153844,,,,,,,,,
,0.1056338028169014,0.1056338028169014,0.0,0.0,0.0,0.0,0.0,0.04929577464788732,0.0,0.0,0.1056338028169014,0.0,0.1056338028169014,0.0,0.0,0.1056338028169014,0.0,0.0,0.0,0.1056338028169014,0.0,0.1056338028169014,,0.0,0.1056338028169014,0.0,9,,,,,,0.1056338028169014,,,,,,,,
0.10126582278481013,0.14556962025316456,0.10126582278481013,0.0,0.0,0.0,0.0,0.0,0.04430379746835443,0.0,0.0,0.10126582278481013,0.0,0.0,0.0,0.0,0.10126582278481013,0.0,0.0,0.0,0.10126582278481013,0.10126582278481013,0.10126582278481013,0.0,0.10126582278481013,0.0,0.0,10,,,,,,,,,,,,,,
