f_id,i_id,disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.max,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,0.04609599919579391,0.04134591123682789,-0.027467142890012893,0.0599283773567665,0.002358784633692344,-0.013719014702397076,0.21002186023698832,0.030772633788699176,-0.011162733716743901,0.019919809533887882,0.005786266397856665,-0.027444831714697984,0.004319400822269056,0.21187806224934572,0.006650186379021149,0.00012467220366236674,-0.04273794378848367,-0.017043813299897112,0.012866519093332906,-0.010586060103092834,0.297333263237071,0.9989466834300283,0.017533899640875556,0.04150894373878533,-0.02097376802089164,-0.0008177495634747317,0.1609661675334409
2.0,1.0,-0.18689749934022654,0.04294682513813655,-0.02608119513426582,0.033088021750015933,0.017117335088840526,-0.0005701701821275733,-0.028229794396309453,-0.0026528336617925308,-0.014527774497835926,0.013268178691296997,0.02320891680312138,0.020375066260194623,0.03352535497991014,0.0006603132703101246,0.006187500444443346,0.028167156271954524,-0.01569511170995746,-0.0047356504802468415,0.0042848875874007715,-0.021635219941630503,1.4365207233248118,2.1872312945330648,0.01869578091150246,0.09326846624757182,-0.00977891987181826,0.0012757926722797828,0.11743984829246804
3.0,1.0,0.12283504056615585,0.008256047785629711,0.0072093162558467955,-0.006038053841923066,-0.009180776270269066,-0.003796287032858422,0.09710213657288791,0.23059963070659084,0.06357976861713288,-0.011515923355437217,0.0019697918285592197,0.012582575226315194,0.027563518271855707,-0.0015958929383352355,0.01334719200951706,0.012435634495328026,0.017891273488038213,0.004225910375061726,0.004182661032788719,0.006029705557378695,0.1482277070390498,0.5113718096795908,0.0021738229938886525,-0.017438020424409936,0.0038469264850275234,-0.0005918277019916426,0.1901426060716838
4.0,1.0,-0.06836726523748965,0.024954003851888947,-0.06451475941895797,-0.012921606197523135,-0.015925691035966725,-0.022206630955503626,0.0009649869807127065,-0.05385591214628094,-0.0029489719301164464,-0.004958659968337737,0.004004374781301813,-0.004016846503831399,-0.0036801735906901514,-0.019635794723958773,-0.005387337058121495,-0.0005502436614288703,0.005807563861090581,-0.009679780190585742,0.013519724111625398,0.024216698298258513,-0.13460226502541567,-0.12374820975924,0.015087197087379904,0.029996794359625868,0.009184627910733633,-0.004526508086916188,0.18434205869221706
5.0,1.0,0.11709262973769796,0.005993355122837446,0.004731659544129687,0.0020726672927415045,0.009655193976100582,0.0017480140191434826,-0.026006040089966136,-0.03411513835774549,0.0032410011496606366,-0.004874628411432232,-0.0013876631356010772,0.009115978015330836,0.0013384839173963812,-0.013378013330772962,0.0002905738662285916,0.015578831210393157,0.00724138914362031,-0.01173247441535679,0.006191028677715107,0.017219815745419944,-0.24486126893457377,-0.7270504412709725,-0.005788110741216029,0.007460861881217702,0.002780260140817761,-0.004297215787632592,-0.3776068779524856
6.0,1.0,0.03693468996090016,0.005448871739843783,0.0004565562260224115,0.0031045671146083527,0.00916790728047374,-0.0032781252968880036,-0.030186132775719184,-0.03137895007804343,-0.0075651474790129816,-0.0065140607549995936,-0.0028980817289466407,-0.009303869063432115,0.0001206562863489539,-0.013737790963564544,0.0017219490217478075,-0.010302903018912742,0.005699993819633555,-0.028267239609569065,-0.004634175816705588,0.019846976054946622,-0.24805410256387353,-0.7725853577129117,-0.012069012274210287,-0.0007494289525657088,0.0027442509452950503,-0.005677665531347787,-0.39269980898649903
7.0,1.0,-0.28123499445873135,0.00400856355991239,-0.026094760003002093,-0.007962923473634899,0.0032579982261646346,0.0017260781030139774,-0.027458955884919548,-0.03879191102065445,-0.034622066987102726,-0.0058566848936937475,-0.012632563263633032,0.014736277847503672,-0.0005130036366595294,-0.01364961849476412,-0.004488999865379985,0.0024124579247467868,-0.05598885826238653,0.002527637100355708,0.022489413988649152,-0.040434171242791805,-0.2556245469413213,-0.19554349188363318,-0.007502955162831405,0.023777533832151296,-0.020969200918216035,-0.0020065659658268483,-0.08647207624603533
8.0,1.0,-0.19494037539113254,0.0037855210172347453,-0.02277278253328045,0.00206214808384742,0.011937633534184597,-0.007590719414704092,-0.026621664250419248,-0.028555605157723093,-0.0047337840406120255,-0.004235140206078864,0.01048720953389918,0.003759724020054572,0.004061273832690051,-0.004236775272659659,-0.0004194090109891225,-0.0017662372972425207,-0.021708804653739543,0.060786857834346605,0.05334532771649683,0.023415113784405615,-0.24260059928133182,-0.625982529962909,-0.00024460850085229546,0.009896145168082566,-0.0101362963209482,-0.004954410941808847,-0.26812885838467787
9.0,1.0,-0.1600662303930845,0.0009282865030243049,-0.12715074860231523,0.00010180765899886588,0.013447593095893481,-0.003230661465430318,-0.033557563741210994,-0.0303505897437561,-0.025711861446963025,0.0001830454534800871,0.016639784473775513,-0.006943635115605281,0.0016441328529973776,-0.0034010266360410355,-0.004887222870337837,0.009241537027673321,-9.816125439539883e-05,0.06869989521758744,0.03274471359711741,0.0251594048950836,-0.25383235436977264,-0.5458409206285724,-0.00182265557731463,0.028631678944716694,0.007607002781405568,0.007660903575756961,-0.29570923660632703
10.0,1.0,0.1581236117632042,0.009737484918168197,0.0005719487330770453,0.01853187761969182,0.01747452142151124,0.08819765882665774,-0.036787519480098674,-0.040916851288856575,0.014620133610652456,-0.003787939569421968,0.003051484123278679,-0.0029488599248788847,0.008949535376027275,-0.018671827944472953,0.002211064451640902,0.0017972659122031155,0.009345192384916752,0.0074009422649532475,0.018411880219990344,0.01988020494283421,-0.13477204906355023,-0.05362830005126664,0.0013584150998003394,-0.007067736617959152,0.00960666781113796,-0.004472448822756244,0.1942777297426233
