feature_name,feature_importance,rank,fold_number
ela_level.lda_mda_10,0.023128900849531793,10,5
ela_meta.quad_simple.cond,0.02239118035377616,11,5
ela_level.lda_mda_50,0.02177576047194175,12,5
ela_level.mmce_mda_50,0.021190363108927978,13,5
pca.expl_var_PC1.cor_x,0.018910602434726385,14,5
ela_meta.quad_w_interact.adj_r2,0.018767105531850067,15,5
ela_level.mmce_qda_10,0.01736240052820991,16,5
nbc.nn_nb.cor,0.015756639800303708,17,5
ela_distr.skewness,0.013712428403173445,18,5
ela_level.qda_mda_25,0.012553966396172147,19,5
ela_level.lda_mda_25,0.00972277411462255,20,5
ela_level.mmce_lda_50,0.009622455414251576,21,5
ela_level.mmce_lda_25,0.009386492063059172,22,5
nbc.nb_fitness.cor,0.007609794305686528,23,5
ela_level.mmce_lda_10,0.0064860554077871375,24,5
ela_level.qda_mda_50,0.006468976587319684,25,5
ela_meta.lin_simple.adj_r2,0.006348976710715934,26,5
pca.expl_var.cor_init,0.00300415882271897,27,5
ela_meta.lin_simple.intercept,0.38484201866104695,1,6
ic.eps.s,0.23501099087642965,2,6
disp.ratio_mean_10,0.16466261038589322,3,6
pca.expl_var_PC1.cov_init,0.07506020556901849,4,6
ela_level.lda_qda_25,0.07213583731702738,5,6
ela_meta.quad_simple.cond,0.040078085403313105,6,6
ela_distr.number_of_peaks,0.03259504873411536,7,6
ela_level.lda_qda_10,0.03229532494042549,8,6
ela_level.mmce_mda_50,0.03203843891837616,9,6
ela_meta.lin_simple.coef.max_by_min,0.03128889306373615,10,6
ela_distr.skewness,0.026122915046608453,11,6
pca.expl_var_PC1.cor_x,0.025190972339941504,12,6
ela_level.lda_mda_10,0.01825871579946566,13,6
ela_level.mmce_qda_10,0.01781963057780056,14,6
ela_meta.quad_w_interact.adj_r2,0.01726447281488287,15,6
ela_level.lda_qda_50,0.015391918264516457,16,6
ela_level.lda_mda_50,0.01388190849161346,17,6
ela_level.mmce_lda_50,0.01378662645708467,18,6
ela_level.mmce_lda_25,0.01237676167768063,19,6
ela_level.lda_mda_25,0.01151281191791479,20,6
pca.expl_var.cor_init,0.009651085577055612,21,6
ela_level.qda_mda_25,0.00800575035450994,22,6
ela_level.mmce_lda_10,0.00746493756922697,23,6
nbc.nb_fitness.cor,0.007205518146523916,24,6
ela_meta.lin_simple.adj_r2,0.006956163261307052,25,6
ela_level.qda_mda_50,0.006373504400274214,26,6
ic.eps.ratio,0.3256102160388134,1,7
ela_meta.lin_simple.intercept,0.31813355921959546,2,7
pca.expl_var_PC1.cov_init,0.14697139580196822,3,7
disp.ratio_mean_10,0.08309038556842148,4,7
ela_level.lda_qda_25,0.048982076060326694,5,7
ela_distr.number_of_peaks,0.04682037139133251,6,7
ela_level.lda_mda_10,0.04370614737564467,7,7
ela_level.lda_qda_10,0.03396288950437622,8,7
nbc.nn_nb.cor,0.029559091827099128,9,7
ela_distr.skewness,0.028647704392845582,10,7
ela_meta.quad_simple.cond,0.026459295668721704,11,7
ela_meta.lin_simple.adj_r2,0.023381643392269228,12,7
ela_level.mmce_mda_50,0.023242736982094305,13,7
ela_meta.lin_simple.coef.max_by_min,0.023109979774652376,14,7
ela_level.lda_mda_50,0.019222337622135686,15,7
ela_level.mmce_qda_10,0.018599487274116686,16,7
ela_meta.quad_w_interact.adj_r2,0.018058946547477934,17,7
ela_level.lda_qda_50,0.017563470440441955,18,7
ela_level.lda_mda_25,0.013817414555315329,19,7
pca.expl_var_PC1.cor_x,0.010691637538206832,20,7
ela_level.mmce_lda_50,0.009161159207103243,21,7
nbc.nb_fitness.cor,0.007635945253387431,22,7
ela_level.mmce_lda_10,0.006690007455713163,23,7
pca.expl_var.cor_init,0.005667266450556367,24,7
ela_level.qda_mda_50,0.0053178967207127255,25,7
ela_level.qda_mda_25,0.004766440311313321,26,7
ela_level.mmce_lda_25,0.004601840909708135,27,7
ela_meta.lin_simple.intercept,0.3438628556841521,1,8
ic.eps.s,0.34056350364757426,2,8
pca.expl_var_PC1.cov_init,0.1173135252232144,3,8
disp.ratio_mean_10,0.08478912251336865,4,8
ela_level.lda_qda_25,0.06790559663258927,5,8
ela_distr.number_of_peaks,0.05554807602214301,6,8
ela_level.lda_qda_10,0.04365452417127941,7,8
ela_level.lda_mda_10,0.03252830555885915,8,8
ela_distr.skewness,0.02817524621551625,9,8
ela_level.lda_qda_50,0.02451838141231336,10,8
ela_level.lda_mda_50,0.020531860865242734,11,8
nbc.nn_nb.cor,0.019556358872781412,12,8
ela_meta.quad_simple.cond,0.019501317991603383,13,8
ela_level.mmce_mda_50,0.017804525949062077,14,8
pca.expl_var_PC1.cor_x,0.01730247521026863,15,8
ela_meta.lin_simple.coef.max_by_min,0.015720872027996033,16,8
pca.expl_var_PC1.cor_init,0.013753311205157086,17,8
ela_level.mmce_lda_50,0.012416687470023415,18,8
ela_level.lda_mda_25,0.01033004440689157,19,8
ela_level.mmce_lda_25,0.01029801591655659,20,8
ela_level.mmce_qda_10,0.009719194184229406,21,8
ela_level.mmce_mda_10,0.0071355195793446615,22,8
nbc.nb_fitness.cor,0.005510634533874762,23,8
ela_level.qda_mda_25,0.005216771078627329,24,8
ela_meta.quad_w_interact.adj_r2,0.003961967803472173,25,8
ela_level.qda_mda_50,0.003914492167948842,26,8
pca.expl_var.cor_init,0.0025532549428149277,27,8
ela_meta.lin_simple.intercept,0.3845849522538311,1,9
ic.eps.s,0.29950143267860363,2,9
pca.expl_var_PC1.cov_init,0.09657311992352781,3,9
nbc.nn_nb.sd_ratio,0.07649486447069491,4,9
ela_distr.number_of_peaks,0.07615821356225184,5,9
ela_level.lda_qda_25,0.061186694664060855,6,9
ela_level.lda_qda_10,0.04768666345720724,7,9
ela_distr.skewness,0.0438063010794308,8,9
pca.expl_var_PC1.cor_x,0.024472033935169,9,9
ela_level.lda_qda_50,0.02237277098945725,10,9
ela_level.lda_mda_10,0.02211599187212047,11,9
ela_meta.lin_simple.coef.max_by_min,0.020573834640762872,12,9
ela_level.mmce_mda_50,0.019852043971808696,13,9
