f_id,i_id,disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,0.004782138009858746,0.08594088625866628,-0.01476985129059559,0.24879603495637123,-0.0039041182059773518,-0.0136505605531266,0.1553452089089535,-0.030131754202494667,-0.03398086022796123,-0.019239117561962695,-0.0266580655816237,-0.025200976419832544,0.015842192819623103,0.28388345825670636,-0.008076415488242837,0.00022774196154887432,0.04867024998129463,-0.005814279626999837,0.834508226274056,0.009939176614683099,-0.004375410490007593,0.37253582887056785,-0.005800038515878033,-0.032976577469574574,0.01059970401635069,0.021087800582659678,0.07893449719727594
2.0,1.0,-0.24383698451334967,0.08490156184782817,-0.014784586318658399,-0.01669437208850171,-0.001283209416598997,0.017633745247686083,-0.00764354123652832,-0.0023932324594379637,-0.0018489433858426103,0.020177395997245145,0.023613271869475757,-0.005095117227136117,0.0003490884309448619,-0.0069683601352803085,0.0077741944185173726,0.00500995033396603,0.03830344827674444,0.0020477418198626388,2.0367775364598297,0.010179543803803138,-0.005326885552911657,1.6673909933415083,0.0007265124693076835,0.05249679246691987,0.007466712318339527,0.030555997170704605,0.05333809702304672
4.0,1.0,-0.13859983519805918,0.06132317805488301,-0.03299683216576913,-0.026066986534466312,-0.007022148162609134,-0.016134055578486576,-0.0038769828505790856,-0.03353869168978095,-0.03540403065864442,-0.0014647896433994294,0.0055166061393824165,-0.005795412503501259,-0.005817290093231099,-0.02706383537497579,-0.005653279218732036,-0.004339223484419548,-0.004449304872329176,-0.009556549825425165,-0.007360817443232794,0.004591617422430968,0.00013322304799414842,0.0644766749860099,0.002863213644165686,-0.01592664040298054,-0.0040384516857094495,-0.0002763338079700311,0.06617196124316282
5.0,1.0,0.07359122567544395,0.03711435549083197,0.07321285364331673,-0.0022803318803860115,0.006468569411714722,0.011320230125845111,-0.0031266972590604227,-0.011950503270980115,0.021573627143655332,-0.0017670377161305639,-0.00034620890035575293,-0.006666472196777154,-0.035996161201587995,-0.01671394420705494,0.005922659670256481,0.01183563618841946,-0.0006235494477818354,-0.0005516489556059057,-0.6483052068347622,0.005401418853560163,0.001663989790343026,-0.5714206532327705,0.0037434017671958736,0.03330378471655166,-0.005039505306993201,0.004602686769660094,-0.13611454418385854
6.0,1.0,0.07289601223704421,0.036106523652622194,0.06032619029791431,-0.0028104457543567194,0.004739996576940119,-0.0006602915632264454,-0.01583477741814046,-0.012986150295553835,0.011341215441695128,-0.006862387564064676,-0.006130477132409249,-0.007474130850544197,-0.016347486342034846,-0.017697581757984818,0.004898710307271822,-0.00044582850541229757,0.001366289843376211,-0.030065387471663617,-0.6755338128636232,0.00018260733983555422,0.002114451866440365,-0.6017281919789208,0.0002201982315193368,0.017154562273519254,-0.00573034745334004,0.004010621965173359,-0.14594717736543258
7.0,1.0,-0.2399178804332046,0.03766752129487251,0.03300185818819008,-0.01533743029750581,0.004327931885518702,0.015645091593614224,-0.006010326055544203,-0.006715652620570065,-0.014012487145807431,-0.0021000394265926156,-0.006870096436471702,-0.0032912584427834497,0.006126494819178244,-0.01732965064450877,0.006129254271616252,-0.001329076161057376,-0.004168334467307382,0.012925858538649712,-0.5805824100083758,0.009506956098890516,-0.006153785059606006,-0.32333812736765805,0.005404765255219109,0.00335659814805756,0.01006361132942459,0.001586184013211304,0.01620879478065431
8.0,1.0,-0.20178165453509972,0.03790536022339675,0.06772065598720672,-0.003272800196961408,0.005595884256520739,0.01339398424356113,0.0005016266851556087,-0.011308467523570065,0.011864275873848503,0.013470270438369526,0.009993862910853607,-0.00639520845903646,-0.0036830077980542406,-0.011391600198523533,0.019614080145542945,0.0037913865971335174,0.007949072694212038,0.08708189760723449,-0.5663719270555281,0.027213551732387466,0.002547612475535645,-0.4507285242539221,0.0056322913691747275,0.024613095594126926,0.008653688076189426,0.001722646518596444,-0.1007018579486524
9.0,1.0,-0.1464289148713535,0.03530167194820096,-0.11100063834474563,-0.004562291160109356,0.006468817333885497,-0.005379179879583231,-0.000211428581493177,-0.00966407366600784,-0.010974416177275717,0.005591369328514688,-0.0027705780556950407,-0.008343165880970385,-0.004997099533692729,-0.010826970893254417,0.008590575276180557,0.00311649597941486,0.006243555969528776,0.08430739421381771,-0.6305595375921415,0.03159164555899334,0.004298620551525975,-0.4705707386170297,0.004575069296431951,9.924720549396452e-05,-0.0031021106513381734,0.016219507154581682,-0.10551545546403024
10.0,1.0,0.16567756180792212,0.06300268424825796,0.0063106951974783625,-0.007896971183546554,0.005692539433498946,0.027009996795908535,-0.007271402999860296,-0.03317552760219131,0.02390500992594995,0.00024182487446614432,-0.003921675388682031,-0.006951751328715642,-0.020295285444065243,-0.018683439898025254,0.0041729145824949705,-0.0006447420057456436,-0.00349996327255807,-0.005668108106407648,0.027506840761820608,0.011273714993908437,-0.00021448196474212685,0.07023003642069849,-0.0013896925973783426,0.03278085319903639,-0.0074108372773773875,0.003092005215698001,0.069642091758576
11.0,1.0,0.16839093486300052,0.06445319432223154,0.011108362026535312,-0.007805581102670102,0.006174256891004066,0.0346463651470048,-0.006504693478361805,-0.028446956839315835,0.028323005474560497,0.00024718544984908726,-0.0036387780766089684,-0.00691173965622071,-0.01377457813810861,-0.018997419956059792,0.004352429254885206,0.0007127559034813903,-0.0007456112292476499,-0.0032217362728830775,0.0232317666028551,0.016234159698012063,0.0025669183242685045,0.08662930717885807,0.0003380931042629307,0.032499829514642684,-0.006308564933347358,0.019355137162484066,0.07279817897707397
