f_id,i_id,disp.diff_median_25,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,0.01063053789738063,0.034215263991174645,0.030913866479665552,0.10665152904716975,0.08518426121754304,-0.04116293316202482,0.2762044818672505,-0.008491903321321787,-0.0009648403394478381,0.047570007038237556,-0.010445797121739583,-0.013054125315662987,0.021309222223667452,0.10180461224444655,0.004835662339835073,-0.0025976031366705663,-0.012405390005453942,-0.014777330895123656,0.8604671221224273,0.02539715554590967,-0.007730006378305058,0.3574164710758606,0.00012854219717405805,0.01614615865967372,0.0007827228409079932,0.0448529795065677,0.0414662265437621
2.0,1.0,0.013524440000591198,0.02960298466812309,0.026948892093934314,0.0025286240403256995,-0.014138546556143938,-0.011973722395713975,-0.027407511872540154,-0.024085424648047256,-0.007717409346738591,0.003958949404175804,0.029458417803034674,-0.005441220322193384,-0.011592395717125645,0.015145178004032277,-0.006090211507458166,-0.005287167506211166,0.024261627413191694,0.007574346498576235,1.5468291935923113,0.010486844271348106,-0.024169565693051783,2.0676243873603672,0.005316018550681502,0.03780819189647569,0.003070028705580202,0.058553204348308685,0.022972149053567776
3.0,1.0,0.11635261556416057,0.0762125582294729,-0.015548021983594389,0.010412032039299,0.07337948082574876,-0.006003411642366749,0.04823107837635339,0.2961877093307935,0.026831045315037678,-0.000350400430049408,0.0021976524741080354,0.029873511564625168,0.0687125262027315,0.008465154861054487,0.009332735950745111,0.03385275018533736,0.0013089959207727888,0.010302128088842266,0.3074985761220356,0.005837822744993333,-0.007269623619400129,0.1704603293584078,0.0014734423851134424,0.004060849249064151,0.006243126422767003,-0.004948827666796745,0.04386332716903562
4.0,1.0,-0.08176088535913038,0.05119192181913837,-0.02024572165261271,-0.035878518961618984,-0.02872578481101348,-0.028952221224167452,-0.037156025288887784,-0.06508998417540206,-0.01202599016335126,-0.003013542218297917,-0.0011551910716892618,-0.006682298999444333,-0.02159128917152522,-0.01062901264622097,6.908695646597272e-05,-0.00641626076273239,0.006335897984673827,-7.047137104729246e-05,0.01623136089136354,0.012509491563500348,0.01961623563477765,-0.011380887692454964,0.004440685186631428,0.008469257424955148,-0.000836686526455079,0.003637315224873426,0.03729255802895494
5.0,1.0,0.03027950802185714,-0.013031298270858848,0.08771192851380336,0.008217622220372967,0.004751589664815577,0.011677560658917554,-0.02004288264427108,-0.0465392669319853,-0.005599099838163372,0.002577287294479085,0.0074841294878820715,0.0029992750092414284,-0.008341090713691686,-3.719856699490573e-05,-0.0011088913576076222,0.005402034805189499,-0.001449234011115525,-0.012246817404919296,-0.6725389349978265,0.0011490696003473482,0.013254386251233208,-0.6478630432699445,0.029846107180510794,0.0206336486740331,-0.0005003235894830572,-0.0033093717698308754,-0.07581151071248209
6.0,1.0,0.02304731365185479,-0.014828461115869128,0.07990939354470047,0.007686308431107709,0.0037908840226570104,0.00022613094720817252,-0.060675378083852025,-0.04661512895221475,-0.00677070573700617,-0.0009400284155013182,-0.004342638635738727,-0.004811870302174713,-0.008747596891119003,-0.0034628442505139807,0.001982806959246615,-0.01488501432752885,-0.005626677099922161,-0.03151217639278857,-0.6801226833454327,-0.004838288306061647,0.009842182893450745,-0.669542244039984,0.001663208249941572,0.01568243811279019,-0.0004876168402677711,-0.003440138598289936,-0.08880929640461267
7.0,1.0,-0.1164628459029037,-0.0049791422491744855,0.07538910215873472,-0.03086308026971087,-0.0003970284941520219,0.005512079754929902,-0.027192153154045256,-0.046844351696850084,-0.026102420428581914,-0.010503768766814515,0.001161188572249023,-0.00339275800756161,-0.017006162858586985,-0.011788043366510785,0.0024126943172595966,0.00010950074557876854,-0.015494456711019374,0.028041167599913375,-0.6238820868576298,0.006148148836009254,-0.05389715962824546,-0.3298741429426837,-0.0031303822477961327,0.025454310492240676,0.002861585270512248,-0.0002491228036270856,-0.011499089645358378
8.0,1.0,-0.09349194751623334,-0.01619291418662032,0.07371506501606877,-0.013936430533218677,0.005235330758630763,0.01168567406080555,-0.017879878583288936,-0.035790320281595164,0.005621273084180169,-0.0030914370613253812,0.009223971021263138,-0.001978176263999718,0.001466347822068062,0.011305709830543895,0.008304421348921738,-0.014649443120936578,-0.012600610483018181,0.06304215509105107,-0.6306616483313486,0.039624299168331836,0.025040714172988532,-0.6130898559125058,0.0003550995422511409,0.02567760436073731,0.0026261832210522193,-0.003090712638833472,-0.05691751591800199
9.0,1.0,-0.08841951648493128,-0.011657081368503753,-0.05780799849840398,-0.011835400996842915,0.0043409912887212914,-0.012769332158868989,-0.01862035796033719,-0.03303366381197039,-0.02172804893577744,-0.010148795464779346,0.014134662185048611,-0.0025559678299910656,0.0029102479511136778,0.00919158799903868,0.002975737547723292,0.004125257079847283,0.008615116422525661,0.059731723844892004,-0.6696398707538941,0.04455103979283403,0.024566442157497533,-0.5806597975012607,0.0005398507994923574,0.031641796918469675,0.00039760660356628896,0.021840220722699248,-0.05500695356819049
10.0,1.0,0.10339640409820575,0.008516545235186876,0.050434276461928475,0.009526522600668212,-0.002605349471307833,0.05237096474420019,-0.019058429295804088,-0.058194128817680844,0.012303152571012981,0.007881653835169297,0.006172571567776791,-0.0014265233083947475,-0.01532637176014024,0.0011846415664966397,0.005579542521428285,-0.005676542876948086,-0.00411684365789217,-0.003976037149510429,0.036672399963657634,0.02231745277647429,0.013070815665816311,0.02418962322822231,0.01717561708932834,0.003884471261228499,-0.0035318657206091023,0.004673977370863692,0.044719561442708555
