feature_name,feature_importance,rank,fold_number
ela_meta.lin_simple.intercept,0.2406701004500492,1,1
ic.eps.s,0.1999049646659681,2,1
pca.expl_var_PC1.cov_init,0.0894471174458457,3,1
disp.ratio_mean_10,0.0607326109780617,4,1
ela_level.mmce_qda_10,0.0540667709711627,5,1
ela_level.lda_qda_25,0.0486163266891327,6,1
ela_distr.number_of_peaks,0.0483325890807952,7,1
ela_level.lda_qda_50,0.0422246660657729,8,1
ela_level.lda_qda_10,0.0316199391858811,9,1
ela_level.mmce_mda_50,0.0304520096617136,10,1
ela_level.lda_mda_50,0.0299934751636007,11,1
nbc.nn_nb.cor,0.0279142959868565,12,1
pca.expl_var.cor_init,0.0253185602552955,13,1
ela_level.lda_mda_25,0.0220240630755667,14,1
ela_level.lda_mda_10,0.020059160665482,15,1
ela_meta.lin_simple.coef.max_by_min,0.0194766692125003,16,1
ela_distr.skewness,0.0187394691607349,17,1
ela_meta.quad_w_interact.adj_r2,0.0161948974914933,18,1
ela_level.qda_mda_50,0.0126583574461455,19,1
ela_level.qda_mda_25,0.0058466082165985,20,1
pca.expl_var_PC1.cor_x,0.0058356130191864,21,1
ela_meta.lin_simple.adj_r2,0.0038693872396918,22,1
nbc.nb_fitness.cor,0.0025375204855141,23,1
ela_level.mmce_lda_25,0.0013215824257387,24,1
ela_level.mmce_lda_50,0.0011611456437422,25,1
ela_meta.quad_simple.cond,0.0010075240477544,26,1
ela_level.mmce_lda_10,0.0009193891618403,27,1
disp.ratio_mean_10,0.401967315031188,1,2
ela_meta.lin_simple.intercept,0.2620604148992025,2,2
ic.eps.s,0.1578566833274794,3,2
ela_meta.quad_simple.adj_r2,0.1427676221143664,4,2
ela_distr.skewness,0.0973744367429499,5,2
pca.expl_var_PC1.cov_init,0.0735229756123285,6,2
ela_level.lda_qda_10,0.0647905915651888,7,2
ela_level.lda_qda_25,0.0636644092538712,8,2
ela_meta.lin_w_interact.adj_r2,0.0576997154769585,9,2
ela_level.mmce_mda_50,0.0534426212324136,10,2
nbc.nn_nb.cor,0.0418673444786678,11,2
ela_level.mmce_qda_10,0.0307009453260895,12,2
ela_distr.number_of_peaks,0.0266016789012714,13,2
ela_level.lda_mda_25,0.0256864104180703,14,2
ela_level.lda_qda_50,0.0243356422225063,15,2
ela_level.lda_mda_50,0.0224257787722732,16,2
pca.expl_var.cor_init,0.0198841245883214,17,2
ela_level.lda_mda_10,0.0190342334217154,18,2
ela_meta.quad_simple.cond,0.0153610118093743,19,2
ela_meta.lin_simple.coef.max_by_min,0.0092121088972265,20,2
ela_level.mmce_lda_25,0.0051845022634065,21,2
ela_level.qda_mda_25,0.0042724974710576,22,2
ela_level.qda_mda_50,0.0035014278075605,23,2
pca.expl_var_PC1.cor_x,0.0021651457989854,24,2
ela_level.mmce_lda_50,0.0012182281501899,25,2
ela_level.mmce_lda_10,0.0006384957644631,26,2
nbc.nb_fitness.cor,0.000257336660408,27,2
ela_level.lda_qda_25,0.205994813969026,1,3
disp.ratio_mean_10,0.1948265609382866,2,3
ela_meta.lin_simple.intercept,0.1851413304002879,3,3
ic.eps.s,0.1530898990124032,4,3
pca.expl_var_PC1.cov_init,0.0776132960689278,5,3
nbc.nn_nb.cor,0.0435646670026499,6,3
ela_level.mmce_mda_50,0.0365342481525021,7,3
ela_distr.skewness,0.0301051081835891,8,3
ela_level.lda_qda_10,0.0183706127997228,9,3
ela_meta.quad_simple.cond,0.0172352126718397,10,3
ela_level.mmce_qda_10,0.0144661531004491,11,3
ela_level.lda_mda_10,0.0087816011643952,12,3
ela_level.qda_mda_50,0.0075232018667922,13,3
ela_meta.lin_simple.coef.max_by_min,0.0070689944182533,14,3
ela_meta.lin_simple.adj_r2,0.0066527500859419,15,3
ela_level.qda_mda_25,0.0059034625210104,16,3
ela_level.lda_mda_25,0.0048823504338318,17,3
nbc.nb_fitness.cor,0.0041188111407029,18,3
ela_level.lda_qda_50,0.0037604494355057,19,3
pca.expl_var_PC1.cor_x,0.0024692202539213,20,3
ela_level.mmce_mda_10,0.0024421171089111,21,3
ela_distr.number_of_peaks,0.0023870524382373,22,3
pca.expl_var.cor_init,0.0022093829042183,23,3
ela_level.mmce_lda_50,0.0017339522023584,24,3
ela_level.mmce_lda_25,0.001530687880335,25,3
ela_level.lda_mda_50,0.0012945117640971,26,3
ela_meta.quad_w_interact.adj_r2,0.0012770474740937,27,3
disp.ratio_mean_10,0.196311126847048,1,4
pca.expl_var_PC1.cov_init,0.083701043817697,2,4
ela_distr.number_of_peaks,0.0715509446394245,3,4
ela_level.lda_qda_25,0.060426692054352,4,4
ic.eps.s,0.0404192821599706,5,4
ela_level.mmce_qda_10,0.0383871354045479,6,4
ela_level.lda_qda_50,0.0357547307208854,7,4
ela_distr.skewness,0.030969670645773,8,4
ela_meta.lin_simple.intercept,0.02330833282739,9,4
ela_level.lda_mda_10,0.0188956060350201,10,4
ela_level.lda_qda_10,0.0174838512075719,11,4
ela_meta.quad_simple.cond,0.013897848407563,12,4
ela_meta.quad_w_interact.adj_r2,0.0135659274234799,13,4
ela_level.mmce_mda_10,0.0090432775291415,14,4
ela_level.mmce_lda_25,0.0089301691310436,15,4
nbc.nb_fitness.cor,0.0086128338485954,16,4
ela_level.mmce_lda_50,0.0074049432116692,17,4
ela_meta.lin_simple.coef.max_by_min,0.006131835844965,18,4
ela_level.qda_mda_25,0.0056005686622376,19,4
ela_level.mmce_mda_50,0.0044135494155243,20,4
ela_level.qda_mda_50,0.0043300291503519,21,4
nbc.nn_nb.cor,0.0041520898779998,22,4
ela_level.lda_mda_25,0.0039452145950741,23,4
ela_level.lda_mda_50,0.0030002646658859,24,4
ela_meta.lin_simple.adj_r2,0.0028353739513887,25,4
pca.expl_var_PC1.cor_x,0.0020220467739779,26,4
pca.expl_var.cor_init,0.0008144702307484,27,4
ela_meta.lin_simple.intercept,0.7353707370988787,1,5
ic.eps.s,0.6998744336133034,2,5
pca.expl_var_PC1.cov_init,0.1474698826253231,3,5
disp.ratio_mean_10,0.0914111622903901,4,5
ela_meta.lin_simple.coef.max_by_min,0.0412836608070663,5,5
ela_level.mmce_qda_10,0.0345323849656102,6,5
ela_level.mmce_mda_50,0.0290881527814047,7,5
ela_level.lda_qda_10,0.0281783775281552,8,5
ela_level.lda_qda_25,0.0252494400697773,9,5
ela_level.lda_mda_50,0.0175119897003669,10,5
ela_distr.skewness,0.0155433922638528,11,5
nbc.nb_fitness.cor,0.0150343906329774,12,5
ela_level.qda_mda_25,0.0140283733697409,13,5
ela_meta.quad_w_interact.adj_r2,0.0116734155077257,14,5
ela_level.mmce_lda_10,0.0098417241223516,15,5
ela_level.mmce_lda_50,0.0093855831280137,16,5
ela_distr.number_of_peaks,0.0087150933528467,17,5
ela_level.lda_mda_10,0.0080871124767619,18,5
ela_level.qda_mda_50,0.0073049574275791,19,5
ela_meta.lin_simple.adj_r2,0.0068223103704861,20,5
nbc.nn_nb.cor,0.0053034262138542,21,5
ela_level.lda_qda_50,0.0041556768772261,22,5
pca.expl_var.cor_init,0.0041469816911832,23,5
ela_level.mmce_lda_25,0.0041227075593638,24,5
pca.expl_var_PC1.cor_x,0.0031000224695326,25,5
ela_level.lda_mda_25,0.0028125560514155,26,5
ela_meta.quad_simple.cond,0.0002152105317316,27,5
ela_meta.lin_simple.intercept,0.7233211921335975,1,6
ic.eps.s,0.5049218090219258,2,6
pca.expl_var_PC1.cov_init,0.1386652948767461,3,6
disp.ratio_mean_10,0.1004419624194167,4,6
ela_level.lda_qda_25,0.030080295795377,5,6
ela_meta.lin_simple.coef.max_by_min,0.0292588013846294,6,6
ela_level.mmce_qda_10,0.0291327211370627,7,6
ela_meta.quad_simple.cond,0.0255664912060918,8,6
ela_distr.skewness,0.0217259358771783,9,6
ela_level.mmce_mda_50,0.0174975808382853,10,6
ela_level.lda_qda_10,0.0174544136378132,11,6
ela_meta.quad_w_interact.adj_r2,0.0132753100779641,12,6
ela_distr.number_of_peaks,0.0088885181471566,13,6
ela_level.mmce_lda_25,0.0082670629934887,14,6
ela_level.mmce_lda_50,0.007715718061752,15,6
pca.expl_var.cor_init,0.0065603978502966,16,6
ela_meta.lin_simple.adj_r2,0.0063132265744914,17,6
ela_level.lda_qda_50,0.0055007478891979,18,6
ela_level.lda_mda_25,0.0049411225531713,19,6
pca.expl_var_PC1.cor_x,0.0048798939374745,20,6
ela_level.mmce_lda_10,0.003812683015491,21,6
ela_level.qda_mda_50,0.0033996519176432,22,6
nbc.nb_fitness.cor,0.0007381882750582,23,6
ela_level.lda_mda_50,0.000531522948963,24,6
ela_level.lda_mda_10,0.0004426059040706,25,6
ela_level.qda_mda_25,0.0001926404550403,26,6
ela_meta.lin_simple.intercept,0.6025801553321097,1,7
disp.ratio_mean_10,0.2292202819967,2,7
pca.expl_var_PC1.cov_init,0.1022903618216183,3,7
ic.eps.ratio,0.0976981006099774,4,7
ela_distr.skewness,0.0636618468203375,5,7
ela_level.lda_mda_10,0.0624237510825127,6,7
ela_meta.quad_w_interact.adj_r2,0.0570706274902234,7,7
ela_distr.number_of_peaks,0.0355524935078701,8,7
ela_level.lda_qda_25,0.0346784049845268,9,7
pca.expl_var.cor_init,0.0227955301288161,10,7
ela_level.lda_mda_50,0.0198583909403291,11,7
ela_level.lda_qda_50,0.0159752748728208,12,7
ela_level.mmce_lda_50,0.0138447852103462,13,7
