feature_name,feature_importance,rank
ela_meta.lin_simple.intercept,0.461624853292897,1
ic.eps.s,0.34285994113786344,2
pca.expl_var_PC1.cov_init,0.0813586135030043,3
disp.ratio_mean_10,0.08106905534189643,4
ela_level.lda_qda_25,0.06597844629127525,5
ela_distr.number_of_peaks,0.039412780296488356,6
ela_level.lda_qda_10,0.03237172463621565,7
ela_distr.skewness,0.03094001738707075,8
ela_level.lda_mda_10,0.030345836565090035,9
pca.expl_var_PC1.cor_x,0.02411659170843092,10
ela_meta.lin_simple.coef.max_by_min,0.022526990236240167,11
ela_distr.kurtosis,0.02249089313490741,12
ela_meta.quad_simple.cond,0.021491674175053304,13
ela_level.lda_mda_50,0.01984277354460055,14
ela_level.lda_mda_25,0.018062979448368544,15
ela_level.qda_mda_25,0.017900212595091437,16
nbc.nn_nb.cor,0.016787155320794857,17
ela_level.lda_qda_50,0.01561866233133223,18
pca.expl_var.cor_init,0.014994014879946364,19
ela_level.mmce_qda_10,0.014575864300313653,20
ela_level.mmce_mda_50,0.010690651310426812,21
ela_level.mmce_lda_50,0.009312666534428634,22
nbc.nb_fitness.cor,0.008362262983066051,23
ela_level.mmce_lda_25,0.007730830406907055,24
ela_level.mmce_lda_10,0.006293697074571734,25
ela_level.qda_mda_50,0.003931284885668724,26
