f_id,i_id,disp.diff_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,0.10421576475221017,0.0418450585180165,0.03797439146285597,0.058742454368654315,0.08757399864786325,-0.00029909485445441875,0.21907301335301127,0.006760345395034784,-0.01987262687289275,0.011188047096528118,-0.019886054665580924,-0.022596694465927814,0.024897053861490864,0.1920239625757085,-0.019191813351783386,0.014517059089149117,0.0018461536429950143,-0.020210726164328067,0.7658137469804279,0.027411861067134488,-0.015362345020856314,0.3476731452458641,-0.0008293148588479764,-0.005452442215557827,-0.007762700186928765,0.02244109472250988,0.03625241025019377
2.0,1.0,-0.18505237621777731,0.047012448512693324,0.0279071497944902,0.06020210180145651,0.0017926142023593577,0.039507452695098685,0.003219510059140422,-0.01821649558357136,-0.008541967296316599,-0.00223397853161936,0.025573920792259383,0.011291198546925785,-0.0040477934829505095,0.012485915855488455,0.004445349523392612,0.00179667072313135,-0.008168323620549138,0.012835601463151393,1.692136099633051,0.03179557457924216,-0.019700412090015315,1.8010407948915828,0.01259268983846506,0.08847671736521191,-0.013010916989287285,0.020985642618727946,0.0317830727718697
3.0,1.0,0.2059932873889215,0.023427374178644895,0.011761065012265553,0.0005975123179703808,0.07088838145153054,0.038126763857026826,0.08234840812634188,0.25305786830658283,0.051366103849598166,-0.004608943073880932,0.012364190707848447,0.04535583749266386,0.06816810302794178,0.026735691208634078,0.011340116381149123,-0.011158380075363636,0.019552960301139517,0.00919783385912798,0.20605355503879771,0.0013329962252566275,-0.009305109494116911,0.1774638204925327,-0.009098593098059191,-0.009856272629666686,0.005166072593662747,-0.0074472488719084535,0.054445764871701816
4.0,1.0,-0.09399217150355736,0.03657501845557429,0.013530576265881082,-0.028166245126574573,-0.03629521953345101,-0.014379160603395974,-0.0013146563129006839,-0.05786850185247489,-0.016769187591834052,-0.00588347540497693,-0.00014201816412753128,-0.03110453878888692,-0.013670437369906082,0.0025867293245164426,0.0031934787154620156,0.0005546690603671803,0.0012458842208880848,0.005408398506751493,-0.10095307457386148,0.010551206884152977,0.01871697719709976,-0.03189584100785623,-0.008178611063643502,-0.01508025261581011,0.0023664623038862145,-0.008175715162830525,0.04528692499917871
5.0,1.0,0.1328784766602897,0.022547770410300937,-0.013871379088203987,-0.0014202984580224942,0.005125782406649499,-0.0012134090004739823,-0.02549909109080672,-0.02952444942338048,0.008739992720290628,-0.0008196825010202928,0.01273798519291195,0.01889800308939289,-0.03354980466062446,-0.028457162876166113,0.004914321192324418,-0.003817870352161783,0.006970455697352059,0.006046845418297923,-0.6280133575969498,0.005118002860135895,-0.005542510439036183,-0.563328748407439,0.009086078783604156,-0.009338267760957192,0.0007664670436975662,0.006390460304709402,-0.12733880180462015
6.0,1.0,0.05693981249777328,0.02090665535155801,-0.01720220829289298,-0.00024170346309556695,0.005068019015003241,-0.00995926010206112,-0.03376971766566582,-0.02802062117763914,-0.006671294768475741,-0.00360721896825011,-0.00046455233099104926,-0.00482659747610696,-0.03746937992342923,-0.0377205476439265,0.00037849517229203043,-0.012358358619041675,0.002225203776635589,-0.005664022818406373,-0.6346384645352671,0.001783163272639781,0.014674213367565699,-0.5763343171359225,0.004562567622575403,-0.012061730255278213,0.0002471806066983073,0.005360652506893842,-0.13814658508528224
7.0,1.0,-0.2834605604679784,0.025120289516849068,-0.015570411066849726,0.004793520087812532,-0.006053084596990211,-0.013863758606561949,0.002522892009560993,-0.02685229099424499,-0.02296439362340956,-0.00805531624363656,-0.020133785240592155,0.008265286212753627,0.005742104630718604,-0.004378682320147004,0.009545514551623493,0.005603491257537254,-0.028416740158528613,0.011323047958053807,-0.5435702654306184,0.010213824818566695,-0.026497409312004665,-0.3051902557165057,-0.009993813347887712,-0.0006386977783403475,-0.005833362089528171,0.0027236735432667066,-0.007146865858868892
8.0,1.0,-0.22242564858975927,0.023234838634154507,-0.018672709100751594,0.0034234655969585894,0.0076466497426372765,-0.004650317147488681,-0.026314697683333072,-0.021240844897273962,-0.0009846939554680899,0.004083217761827998,0.011429669575317575,-0.009973170007841802,-0.015839449548100418,-0.009555552335326161,0.013781756405855269,-0.011325689805709586,-0.0020371279304958285,0.023559133968165998,-0.5540960411443787,0.02924281869314111,0.024765185498007707,-0.44949222119042104,0.007505390836801014,-0.009494404424092585,-0.007916165894362568,0.00488115510064285,-0.08706202078051438
9.0,1.0,-0.13422641026234303,0.022821730417373294,-0.026786312800874564,0.005750276741404579,0.008377246969932715,-0.02049182324085586,-0.028402624250157486,-0.022988385034785393,-0.02005383055141284,0.003677352735945946,0.016940833065926978,-0.007994214731767535,-0.01655809136803532,-0.00896777121734547,0.008974265638933523,0.011933821669481655,0.0035241944346758036,0.019046810577567266,-0.5645800975916087,0.03207400765950321,0.029785888953208033,-0.43331302766487023,0.006103167872381743,-0.010676788095888875,0.0003114753589226072,0.013587493528215689,-0.07640023845187016
10.0,1.0,0.1850053508275249,0.037266162228674314,-0.00785044843256012,0.0059047346498889,0.006640191493024706,0.024599689210234615,-0.027614198442445687,-0.04502004062993372,0.020011496200095607,-0.002409631021539013,0.013703587863925667,-0.00483004835577284,-0.04946168967471207,-0.021551980792252363,0.0009029943009694553,0.007400675460331192,0.00581083056075591,0.007403817560588041,-0.05756738486771352,0.009374521414406502,0.011093714992193165,-0.0008711045662209867,0.014719829947757886,-0.00137635533800118,-0.0021436292765130193,0.004981990031164073,0.07222184060878863
