feature_name,feature_importance,rank
ela_meta.lin_simple.intercept,0.6025801553321097,1
disp.ratio_mean_10,0.2292202819967,2
pca.expl_var_PC1.cov_init,0.1022903618216183,3
ic.eps.ratio,0.0976981006099774,4
ela_distr.skewness,0.0636618468203375,5
ela_level.lda_mda_10,0.0624237510825127,6
ela_meta.quad_w_interact.adj_r2,0.0570706274902234,7
ela_distr.number_of_peaks,0.0355524935078701,8
ela_level.lda_qda_25,0.0346784049845268,9
pca.expl_var.cor_init,0.0227955301288161,10
ela_level.lda_mda_50,0.0198583909403291,11
ela_level.lda_qda_50,0.0159752748728208,12
ela_level.mmce_lda_50,0.0138447852103462,13
ela_meta.quad_simple.cond,0.0130721566016565,14
ela_meta.lin_simple.coef.max_by_min,0.0106755867722438,15
ela_level.mmce_qda_10,0.0104046477976246,16
ela_level.qda_mda_25,0.007153548167868,17
ela_meta.lin_simple.adj_r2,0.007106789319805,18
ela_level.mmce_mda_50,0.0063893303760458,19
ela_level.lda_mda_25,0.0055164750598275,20
ela_level.mmce_lda_10,0.0047013778213946,21
ela_level.qda_mda_50,0.0038160139058772,22
ela_level.mmce_lda_25,0.0036410629936761,23
nbc.nn_nb.cor,0.0036015268400902,24
pca.expl_var_PC1.cor_x,0.0035326044110613,25
nbc.nb_fitness.cor,0.0017924910096314,26
ela_level.lda_qda_10,0.0006095965390854,27
