feature_name,feature_importance,rank
ela_meta.lin_simple.intercept,0.2584548439561519,1
ic.eps.s,0.24176820016968587,2
disp.ratio_mean_10,0.1256310448986429,3
pca.expl_var_PC1.cov_init,0.09911845963234403,4
ela_level.lda_qda_25,0.06953050073130676,5
ela_level.lda_qda_10,0.06517360524576148,6
ela_level.mmce_mda_50,0.06497265801531625,7
ela_meta.lin_w_interact.adj_r2,0.051319794611592626,8
ela_meta.quad_simple.adj_r2,0.040937009135299025,9
ela_distr.number_of_peaks,0.03978299712418283,10
ela_distr.skewness,0.03816805663531954,11
ela_level.mmce_qda_10,0.032905178317764565,12
ela_level.lda_mda_25,0.02938265300935097,13
nbc.nn_nb.cor,0.021501095879809258,14
ela_level.lda_qda_50,0.02057398837831137,15
ela_level.lda_mda_50,0.0204825084702212,16
ela_level.lda_mda_10,0.017077883573625798,17
ela_meta.lin_simple.coef.max_by_min,0.016578162592375437,18
ela_meta.quad_simple.cond,0.015324526506311326,19
ela_level.qda_mda_25,0.00739902963759931,20
ela_level.qda_mda_50,0.006773197989833805,21
pca.expl_var.cor_init,0.005007543621624038,22
pca.expl_var_PC1.cor_x,0.004976063252304541,23
ela_level.mmce_lda_25,0.0039158504935223725,24
ela_level.mmce_lda_50,0.00378479669584075,25
nbc.nb_fitness.cor,0.002572527975397394,26
ela_level.mmce_lda_10,0.0025008562687729757,27
