f_id,i_id,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.sd_ratio,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,0.06426961289881733,-0.047540883031696596,0.16278715189817716,0.008853490088203183,0.0310719291928562,0.226792197029214,-0.0026718950138333473,-0.032925298925448446,0.03635553689232737,0.008135611283575483,-0.02629693623325376,0.014643958476682026,0.14782574931429598,-0.009596986086931195,0.00828085785939671,0.019764228509394074,-0.025488778006641084,0.8529296299773517,0.000228299192907887,-0.009844712583137962,0.34833596868958827,-0.01469803927790182,-0.046256586646038295,0.018139671407769384,0.06265565906851589,0.08996554657302111
2.0,1.0,0.07441418407137977,-0.08612458329316232,0.07886560708755352,-0.002699932720954896,0.011274505284546378,-0.012895287630375776,-0.04003489050891006,-0.004655896501039248,0.013140865467526018,0.03752022538153625,0.012612819728048376,-0.0030543906674109604,0.00502996092679906,0.0015501133858905065,-0.0004992710349047456,0.006172718575033725,0.005532906786693749,2.0426911151296028,0.012932221357315992,-0.0093613472666453,1.3999808752453802,0.010720708274142211,0.06237092108751413,0.023697355710845056,0.08067361300063516,0.04819862732912581
3.0,1.0,-0.005709262088183519,0.007642188685981558,-0.0015820643602116398,0.010258653250762077,0.03689880736406258,0.11747378775788694,0.2732239008396768,0.05408341576555723,-0.009355254086596765,0.008636708157936076,0.04094922061326773,0.08219908554804294,0.015969161340472028,0.0025405966523363763,0.002900952197947599,0.03134845124362899,0.013888366855643408,0.2914946414294463,0.016946234851804964,0.0013858229834867043,0.23725508090875583,0.008641406386119847,0.0813734857818344,-0.011664572587263755,-0.007582218891699677,0.0885777715646756
4.0,1.0,0.07686658267727951,-0.04832559814864592,0.03272438346371475,-0.01640949726832873,-0.01080666348550789,-0.008143535980504947,-0.05748049169119393,-0.04270928013937002,0.006647119911692864,0.0012160302673825823,-0.007946859901946633,-0.021893962165844445,-0.018742780375532845,-0.007013166425117552,-0.003540124183653113,0.007170699236358205,0.014238161505712749,-0.034128152110273334,0.023425248329761183,0.005249706309403556,0.03363144973518753,-0.0013865752739145695,-0.1492155847177945,-0.006747386707996599,0.0035075852470528783,0.07024665188527521
5.0,1.0,0.03970099353498455,0.06864571992157213,-0.0049139439763633014,0.00733235846861229,0.0050073974521519776,-0.029066218808509913,-0.02435775848109763,0.026519113388824397,-0.00016937925527545702,0.0002638596463348222,0.008763921512067405,-0.021387354028777054,-0.018213893728845375,-0.002926471627236285,-0.002577954900366372,-0.013308676162288424,0.0007400040642165576,-0.7301682158488848,0.025143614383724124,0.006761676984481964,-0.5680163905553274,-0.007817485775049874,0.0302379883849689,-0.005876132902795039,0.0005159791869360831,-0.17116682565968497
6.0,1.0,0.0394657765279589,0.04074978202137245,-0.00016773769832288893,0.007449974286229075,-0.01390823696755167,-0.049160828059575154,-0.024948796423833953,-0.01214594141385652,0.0006228638615902193,0.006009221685818529,-0.004263514434723365,-0.009829101364452864,-0.013760757362123512,-0.005813584675973503,-0.0014162845730347933,0.0012576990783067215,-0.0006424610863738568,-0.7277312050666894,0.013241097800233975,0.00482863633981497,-0.585261331903895,-0.009814937133833405,0.01865407456982472,-0.00658601670024111,0.0005410645575445422,-0.17102374957665115
7.0,1.0,0.0523209142231144,-0.0012707723838543002,0.01368819233113477,0.014303264697938937,-0.017558013010002035,-0.006368004576323081,-0.0285334834172775,-0.015457836459210924,0.005732987527065631,-0.016802688927251827,-0.004800247850424735,-0.0025502750816038693,-0.0036561372157472476,-0.007451736833511047,-0.0019412348992379539,0.007488694652183722,0.016314952941915484,-0.6854798313896758,0.014987463831032456,-0.007225908634963713,-0.42166862028026064,-0.008756184872387478,-0.08495128521106345,0.006806393604093311,3.086459399592621e-05,-0.05497004511561227
8.0,1.0,0.042590997414617915,0.047625921697245624,-0.020296406978887915,0.01574251198116955,-0.007272406749139751,-0.038966533962038044,-0.022438940582293652,0.01575919887081028,0.008441924614483032,0.015421454625387156,0.0028470787352257694,-0.0036378610440816143,0.002946557945916331,-0.00437953300310715,0.0073674333630990045,0.010984958473613282,0.0538720494493175,-0.6636719324268088,0.01114303133972433,0.015452553471099416,-0.5269938823464634,-0.0024183173769346477,-0.0469428890237963,0.005988229578171375,0.0007435841577915375,-0.15140754752761723
10.0,1.0,0.07743589470963431,-0.034318527739964105,-0.0008657782817749814,0.003955560916052605,0.0004952583396941047,-0.03264579718034061,-0.04628957840948658,0.014459481146920227,-0.0016090617246651811,0.0028064021187922724,-0.005786057446622611,-0.01952719787456688,-0.015349085997510276,-0.00870091608039221,-0.0021314089677097275,-0.004408517986116017,0.008190188527478917,0.019617073474761933,0.016936268803745737,0.005075938085633416,0.035666456631890366,-0.009824860300463213,0.07646421021218047,-0.00916297085150117,0.0058989776473444685,0.078572368003272
11.0,1.0,0.08191411825280547,-0.023915143508471702,-1.1634262834289005e-07,0.005464047851634083,0.0039353843632261,-0.028323255321784292,-0.02270564836026285,0.020075323323339538,-0.00031847173546751574,0.003608078880901512,0.006585545843234289,-0.01574699394428241,-0.014113284251602675,-0.008354867669689663,-0.0012981979425604733,0.010226131918194034,0.01929741117166974,0.004035072578721061,0.026231049695584915,0.006615282700224176,0.05493237779442665,-0.009204767797398889,0.0752431593721139,-0.008000972829428583,0.0315039666089863,0.08294940924299578
