feature_name,feature_importance,rank
ela_meta.lin_simple.intercept,0.3411035688431012,1
ic.eps.s,0.2754835439146426,2
disp.diff_mean_10,0.15611952742320018,3
pca.expl_var_PC1.cov_init,0.06447084243090682,4
ela_level.lda_qda_25,0.06164297571496727,5
ela_distr.number_of_peaks,0.038252449548818956,6
ela_level.lda_qda_10,0.0375758727836098,7
ela_level.mmce_mda_50,0.023855719431436263,8
ela_level.lda_mda_25,0.022493155136662044,9
ela_level.lda_qda_50,0.020410205477032057,10
ela_level.mmce_qda_10,0.018318454656148866,11
ela_distr.skewness,0.017120257425112327,12
nbc.nn_nb.cor,0.016982206630178732,13
ela_meta.quad_w_interact.adj_r2,0.016946105689243342,14
ela_meta.quad_simple.cond,0.01605216724469045,15
pca.expl_var_PC1.cor_x,0.015782021104323106,16
ela_meta.lin_simple.coef.max_by_min,0.01403082740123795,17
ela_level.mmce_lda_50,0.01377503838675989,18
ela_level.lda_mda_50,0.0136136462655113,19
ela_level.lda_mda_10,0.01185483113743865,20
ela_level.mmce_lda_25,0.011710107898341367,21
ela_level.qda_mda_25,0.010183295107401341,22
ela_meta.lin_simple.adj_r2,0.008779650826631276,23
nbc.nb_fitness.cor,0.008154840904937118,24
ela_level.qda_mda_50,0.00786590668542219,25
ela_level.mmce_lda_10,0.005574578281794202,26
pca.expl_var.cor_init,0.004559075731846143,27
