f_id,i_id,disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,0.04101699462689453,0.02963191086742151,-0.027163500146064366,0.038079205195167026,0.08753270215790693,-0.01695952983602328,0.16525300287655983,0.05938738275125552,-0.003941694542272794,0.010612540717274813,0.040378766420696634,-0.01216477852035761,0.020800227062279165,0.13725597654675378,0.02695559072389697,0.011269671706971268,0.032504294791842685,-0.03815966832583054,0.8711312312432051,-0.010284613146918267,7.52359983423784e-05,0.4010238647102479,-0.0031941478472118823,-0.007141346334214686,-0.03465160940651148,0.013526160782936196,0.06958130115865085
2.0,1.0,-0.08158018877099084,0.055132703328722624,-0.026404695729994827,0.04363951453288709,0.004097007580875027,0.003937977918545069,-0.01658724830061441,-0.0702804626627364,-0.00509453914495222,0.015137855933349572,0.0654346202354144,0.044916967594161555,0.011838813056369895,-0.0003942663046452388,0.006269893084477878,0.011181444563182173,0.08350641630300193,0.001612712204685497,1.7109337001745242,0.01306808267149416,-0.004368171270449068,1.7565926206563263,-0.00039934622825065467,0.14942409165994774,-0.026432284833723667,0.013378988228207177,0.04674866526634285
3.0,1.0,0.10183045508572486,0.022259628872002384,0.0051279313170329455,-0.003601179795264278,0.04463703522279743,-0.014017061436322368,0.11281714339122108,0.34922794181012373,0.051955440890477815,-0.015590448313008841,-0.01705381623482599,0.017813788320692223,0.08124036656256546,0.025316607835860882,0.005704441782002308,-0.0015512846618053345,-0.0008298003062243049,0.012120547769094724,0.3425026841480642,-0.010825367848813527,0.0022326745413875724,0.2953591234827777,0.0028112715564490125,-0.009838361153787093,0.004208376613956243,-0.014605307554771603,0.08080904943377702
4.0,1.0,-0.07141146780530501,0.030254018551001724,-0.03641862903530894,-0.010570807582065739,-0.026631375029849812,-0.0384498756322683,-0.017737797609118602,-0.09754185381151897,0.015926612340286684,-0.004720359820709617,0.010548405803770523,1.008448458762035e-05,-0.021217969923141067,0.02252558151194702,-0.01191905785519052,0.0030963747774931222,0.02049441907035642,0.008425312297681321,-0.04658343069934466,0.011481440236305651,-0.026373159973760267,-0.0009327939771175406,-0.0033381113027031173,-0.009048620263728423,0.0027115597687405,-0.001547188873763625,0.0832724858382919
5.0,1.0,0.07850231065624272,0.01591112738325072,0.0384485944623106,0.0007410382898151965,0.011523692369963048,0.018061704322514385,-0.01667817980139241,-0.05946474676966121,0.015882626770629918,-0.005070368402585467,0.0012736287216039738,0.0028035263399887812,-0.00500210312851917,-0.017134581684746523,0.003161393898180325,0.018508776709905583,-0.006357513342952139,-0.0011200181517805295,-0.6621030181197204,0.0047192072033991304,-0.006388600663055863,-0.5683945218405375,0.017003313315952725,0.008507235100949313,0.0013263588347240327,0.0010337617756358496,-0.161420198902668
6.0,1.0,0.04884868944558454,0.0153359795933564,0.017456138976927337,0.001494598212140336,0.009310131031398154,0.007939022303704335,-0.018356207364126347,-0.06077453262382215,-0.009716586758744917,-0.008112959703813014,-0.006885715440441247,-0.004083115626327152,-0.007523625969958729,-0.01975514981278511,0.0017592004697757672,-0.005951150686362392,-0.008532018230975784,-0.01994709838169616,-0.6613654139374721,0.002197846862442331,0.008709839271263113,-0.5979078483389471,-0.006345426210104684,-0.0006046435233982472,0.0008842216664426364,0.00044114089926495614,-0.16546543928079838
7.0,1.0,-0.18017384311019613,0.018953518007687947,0.0004324428046078785,-0.003424504997893188,0.005909411315498679,0.01046051728672439,-0.01997998506685721,-0.07048209008532755,-0.01590209210647923,-0.004016548184403903,0.0010333758912495876,-0.0028957448202042903,-0.017136375722655063,0.025571578955268258,-0.00320455463250142,0.0038932393192323287,0.025305743153453988,0.02495326309991354,-0.5730208571789145,0.003166693610008081,-0.018823101366647162,-0.3019661005657205,-0.0026211114988363912,0.010009283700160571,-0.014308918984097667,-0.003224093882267539,0.017574997412869713
8.0,1.0,-0.14403105900422436,0.01635800200772982,0.013628381433413982,-0.0017359864854015227,0.011875225950475568,0.012763853985180176,-0.006919750893924575,-0.0629594250922452,0.0008324557088930356,-0.004076020366216754,0.021696797895162417,0.009926182802439051,-0.002051351979221409,-0.004069332779931417,0.0011501945461391365,-0.006521191316299154,0.04014764802591608,0.06386734549954275,-0.5906040503517337,0.04181741992654627,0.010829169708187135,-0.5137503812134362,-0.0026125517289940343,0.0027687424476340594,-0.017853517258662705,-0.002108273070459183,-0.0711557582188037
9.0,1.0,-0.07282760796428031,0.013688651887442243,-0.0945256374519539,-0.0031619140377959474,0.013328270770423147,-0.003322018187782009,-0.007255516982693013,-0.055539379820470164,-0.013361602733423406,-0.0056094642439170755,0.023352625599743763,-0.0049499526499349605,7.254639259623736e-05,-0.0035979743071250267,0.000354152587251037,0.004152082263871907,0.0030899550185073308,0.06780480012304912,-0.6450189583645097,0.04176088079232852,0.012305261612412442,-0.4943529227600206,-0.00513330286535838,-0.004657053880003684,0.00032447229085273455,0.010337427760778953,-0.0722409491263932
10.0,1.0,0.09466148331968091,0.029987677567673208,-0.008502662368405444,0.005133605243622996,0.01611088041876065,0.09374480440158858,-0.017719835886915457,-0.07135389404398525,0.008279835092947918,-0.005087868703334022,9.982725921226735e-05,-0.005764947164816604,-0.017858054025477514,-0.016917278894713297,-0.0018704995542894562,0.0037817359303172924,0.005661171076469272,0.003116417666018002,-0.010734102452206417,0.015482993042868024,0.010741622250903173,0.07300884641378881,0.01563951427604235,0.010184812860554192,0.0025365368393323435,-0.0010581663512700783,0.08647890471832077
