features,mae_train,mae_test,mdae_train,mdae_test,r2_train,r2_test,aggregatetion
corrstd,0.4483843198224602,1.2678045154888882,0.33135838605445095,1.2678045154888882,0.8387439439244516,,mean
std,0.45390941503337845,1.2080377551812587,0.3136661772907438,1.2080377551812587,0.841116205490404,,mean
