features,mae_train,mae_test,mdae_train,mdae_test,r2_train,r2_test,aggregatetion
corrstd,0.3782053025064338,0.737202534800664,0.2919303282463893,0.737202534800664,0.8360744130072013,,median
std,0.37839242278397306,0.6900731812646672,0.2875960656035077,0.6900731812646672,0.8389181936897532,,median
