f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,-0.0408943683914937,0.09021018391173743,0.019795729004536005,0.255875579337618,0.0008377414418446665,-0.012906154895246064,0.1123716190638703,0.0030852072902189122,0.019229790552005528,0.019565390712717984,0.007179152119953427,-0.0016084579058589865,0.036385772680814825,0.10635997875091993,-0.007687376827250237,-0.0032468392166622555,0.10751981425272508,0.008594718136396553,0.7053434340435017,0.0077660481136318325,-0.08696924498073318,0.7116454262944084,0.008538873216707557,-0.008026143791509352,-0.017523274890910615,0.20351583540908744,0.03611455237033836
2.0,1.0,0.48615666173717903,0.09054094943104274,0.03200545072844711,0.06300889397019169,0.002702701774774155,-0.008182938408590908,-0.013960216113736486,-0.01781385506824268,-0.0008082422035928929,-0.015594423676811018,0.0034192678337245574,0.0009531364526950174,0.007147656958660134,0.0065078342112360275,0.026598686343826325,0.0034213232102185296,0.13605559120263797,-0.011095481439829203,1.2264018578879463,0.017871406528448295,-0.0782318653590399,1.2010783647846532,-0.028698667967468186,0.040320787561464635,-0.007518054992911407,0.15229808275013873,0.03891379574110447
3.0,1.0,0.09237388943714592,0.007964946375983523,0.013604578136480952,-0.012277884645701885,0.008564866359119419,0.006399596440585456,0.008258840621270885,0.020879145347005447,0.08419828225451789,0.008128767434584674,-0.007770842669209657,0.017214833512433126,0.025494802041567805,-0.012543917645412808,0.02744110777700193,0.01656998786554707,-0.0035620645910651046,0.00299651733065815,0.3828622390329708,0.00206121146310921,-0.06919617135126954,0.38250705342467023,0.030217533303453382,-0.008348638860438642,0.0016553011904529517,0.1908704949001793,-0.01140795242402249
4.0,1.0,-0.11761758844685025,0.042601194163025866,-0.047270068686490425,-0.030006501054003674,-0.011040807450976315,-0.024108658904816962,-0.008381989465003726,-0.028038650585314708,-0.009557791585810823,-0.008810276905132043,0.0013119424683510454,-0.0009858766056801594,-0.010961432687594044,0.008245638531909797,0.00243567056406272,-0.006667659144785655,-0.009780828251929065,-0.014049315666241135,-0.2582080819934768,0.0034940095316099325,0.048249339394368373,-0.17988378343004222,-0.054478415938307614,0.003282671854884003,0.007401679903621158,0.15241431548675805,-0.009174724763169172
5.0,1.0,0.06722503240244375,0.034732270165392244,0.036175300576383844,-0.0013821845905318498,-0.0026814934589975523,-0.02434628768252025,-0.0004257591807690798,-0.00847531432621966,0.0029219015470432555,0.002039616742798123,-0.007889659613058505,0.008526917871981312,0.01457682038661306,-0.025296660469460483,-0.0068643279718510145,0.017036949541985914,0.013016130815100967,-0.01364115578823813,-0.22915147969866376,0.00434343754931708,0.0456180692484128,-0.5347094020129413,-0.0410564329607455,0.012942090946725802,0.0019433973483301218,-0.33920019613155733,-0.014736927328689241
6.0,1.0,-0.01213817955568909,0.03287363719089384,-0.007933003084413559,0.0006422007939462307,-0.0002788739605574323,-0.021635919948214836,-0.012321957529357188,-0.006490272883860669,-0.020539065394671048,0.0007446751297391692,-0.0007364498395263364,0.0009462573663251484,-0.01067240639470439,-0.028717489939898005,-0.005020790815105541,-0.01040861710574331,-0.00682659061638946,-0.015664017701010145,-0.24138386618159208,0.0005550792022709155,0.03880334359081272,-0.5296663950904495,-0.0651724645393325,-0.0003193952874536541,0.0034800661417409137,-0.32882021890372737,-0.014446101401376081
7.0,1.0,-0.24417463228367592,0.03154321557402164,-0.12832527915930084,-0.026734461370211366,-0.0022134211889943815,-0.03765818823398728,-0.016965567095548344,-0.011301188302636583,-0.01579783018438202,-0.017334521050844872,-0.021667386270570164,-0.00040046083099013645,-0.017418663142011025,-0.006508375215227638,-0.011338423139735446,-0.007111891205159636,0.040849493028177725,-0.0466827346551736,-0.267716506322451,-0.000670308764400185,-0.16636261096273183,-0.1711747967608314,-0.05530354829931171,0.0021898720001990186,-0.013112653662001638,-0.21711267089406294,-0.008169326314444445
8.0,1.0,-0.07155587478651755,0.03143984490726266,-0.059089045711804,-0.03247611553189386,-0.0010456635072956853,-0.021723345783254994,-0.00254776871389298,-0.0022234501291095547,-0.01122521437202131,-0.011192730762917196,0.004580330849087656,-0.00023292458261153407,-0.011698707755285535,-0.006972240641629205,-0.0009947733361073212,-0.00134138785450137,0.09241622452516284,0.09113000242004969,-0.24425945129129328,0.03888898552356296,0.06281382241344283,-0.37434846378570946,-0.06116900152159101,0.010305042891994793,-0.020386830327628183,-0.29569329627436136,-0.012916666169327289
9.0,1.0,-0.08281313128101597,0.03310019687325679,-0.08189185308939656,-0.03012426883686083,-0.005869107368692769,-0.0118576145455856,-0.007500867042554477,-0.010805134281235433,-0.019142027353106168,-0.00555637502414516,0.004437779613062746,0.0015757926928022835,-0.005580637515008227,-0.009362906428454049,0.0034693804857542847,-0.012576707971585846,0.007685245206160375,0.10218081407093287,-0.25079411348313524,0.030771159090246303,0.06293625654148965,-0.20255464010310525,-0.059721461372864645,0.009539854334902826,0.0061481755762713905,-0.26010886752808904,0.02211794318760794
10.0,1.0,0.09943450488048781,0.04940162457352672,0.0003184621267684689,0.010365982764097574,0.0021074289237543124,0.0827589363521105,0.003321965235502442,-0.0029068709742465833,-0.01862246934606412,0.007231821932438759,-0.006596320150990309,0.0015989324491813713,0.004465883744022797,-0.02426317520279141,0.0035999011869987355,-0.004657400604140277,0.005203752548733819,-0.005649449849253325,-0.19580432746677384,0.03314641068369538,0.04502272977446152,-0.04688270234001204,-0.028464681618779023,-0.0018247942347574125,0.0011591741942439963,0.19395706333288718,-0.021995374839791186
