feature_name,feature_importance,rank
ela_meta.lin_simple.intercept,0.3449015299688468,1
ic.eps.ratio,0.2094023377924705,2
ela_meta.lin_w_interact.adj_r2,0.12555063901556188,3
pca.expl_var.cov_init,0.11552202883713673,4
disp.ratio_median_02,0.11203288601881785,5
ela_distr.number_of_peaks,0.06814530666324539,6
ela_distr.skewness,0.0568215981433548,7
ela_level.lda_mda_50,0.032675743671219504,8
ela_meta.lin_simple.coef.max_by_min,0.026925641106274236,9
ela_level.lda_mda_10,0.024647342667796054,10
ela_meta.quad_simple.cond,0.024179750684590655,11
ela_level.lda_mda_25,0.02142472265838621,12
nbc.nn_nb.cor,0.020705756222729764,13
nbc.nb_fitness.cor,0.017335242463784744,14
ela_level.qda_mda_25,0.016424677306743775,15
ela_level.lda_qda_10,0.015652313222533434,16
ela_level.lda_qda_50,0.014796903622088072,17
ela_level.mmce_lda_50,0.013925485781152245,18
ela_level.mmce_qda_10,0.013902414629958856,19
ela_level.lda_qda_25,0.01078651732207553,20
ela_level.mmce_mda_50,0.01015791882034729,21
ela_level.qda_mda_50,0.009742251744506308,22
pca.expl_var_PC1.cor_x,0.009573491181006576,23
ela_level.mmce_lda_25,0.00953541176817861,24
ela_meta.lin_simple.adj_r2,0.009159062717791162,25
ela_level.mmce_lda_10,0.003159803760234159,26
pca.expl_var.cor_init,0.002138647425343427,27
