f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,-0.0034086732852340196,0.10090693353058135,-0.023450934307860036,0.08083888604383187,0.014248098712884023,-0.003249866564062943,0.05756683694286853,-0.0027674347205773712,0.011364472158885159,-0.017265321220580054,-0.0465408505388822,0.09739859160791814,0.16503702054677005,-0.006281828703002068,0.00554962761128857,0.11613451892363554,-0.06132689195195102,0.6792654053079169,0.01881328094137597,-0.037623823543510446,0.6855613723412728,0.013796190454624104,-0.011195545541716352,0.006670462564408143,0.13807189894587538,0.007117607121891911
2.0,1.0,0.7983925660388959,0.097332669745802,-0.024706589203241636,0.06965945122037043,-0.03132422729981359,-0.02329153594429597,-0.0011958126853900812,-0.006860471857168529,-0.001954901062115622,-0.005714195235626448,-0.014955074413936042,-0.025680735623483983,0.0034871134603114756,0.05394219352453986,0.0014369312810274266,0.08040769118760437,0.021397318566092664,1.0560376103233928,0.019918762467637373,-0.039376753121996275,1.1878634162975132,-0.04319201204366098,0.08196688599043771,0.010529911993605739,0.11939372081188104,0.0038435957474726376
3.0,1.0,0.061454416566308276,0.0067181145197840126,-0.009857909343456261,-0.013422073832296539,-0.0010976108620756285,0.005720189188803747,-0.014774853541022025,0.04140890320368678,-0.0037306876179528455,0.016186945546043795,0.08249408085721839,0.13396455899796908,-0.011745361732756938,0.007805652338956179,0.00340692582847386,0.020066478115769143,0.03520222805289021,0.0906375263998589,0.03764512086532197,-0.02909960309401956,0.4293834008630116,0.017590788989427557,0.008337251028981836,-0.009708603502543026,0.16330535976459848,0.002528948118989896
4.0,1.0,-0.13563620212044875,0.05321644228891435,-0.03441188451073158,-0.004859923159233301,-0.04550557452541848,-0.054356267619618925,-0.0055981887241536785,-0.016670412903538028,-0.01086584938817148,-0.0184596598185863,-0.03928447364818381,-0.026326600808536146,0.0021491242662199715,0.0019670384754167216,-0.002066174425583548,-0.000608229657607252,0.017923135768206092,-0.07720421454248116,-0.002300342087530743,-0.0002402211058593764,-0.2297169374498192,-0.07668583346000452,-0.017230395966049403,-0.0024481987562642088,0.13680926537370028,-0.0092233686644719
5.0,1.0,0.01163149943613252,0.029136572806669637,0.06831635725381645,-0.003443204517563374,0.0053467242907118745,0.002847078140952603,0.007808326638891174,-0.0020222540153168682,0.0004895936961613278,0.008502207546649038,0.038029042888349796,-0.011685417741958866,-0.02364518357912063,-0.008637126237346322,0.005882913960493752,0.004978424627652631,0.004974772704900069,-0.310612792804746,0.004305562646222217,0.023321085901841072,-0.516481837004281,-0.0393485424875085,0.010008394560240767,-0.002098979263721838,-0.32220757427418956,-0.005750301877473892
6.0,1.0,-0.045036206386095096,0.028991240517633347,0.050625906028651114,-0.0035437826112204376,0.009338337814770692,-0.00888687185313727,-0.015246164447088926,0.00659903332659832,0.0026075883462983174,0.011360404013845771,-0.013987738516812705,-0.03350112349739667,-0.02821008947241696,-0.0016607956153495017,-0.001575162157874061,0.005193513105747889,0.0018385662043538373,-0.3010021082608749,0.023390458779479793,0.027398494471380697,-0.484012617096875,-0.07132497994096386,0.008241479451675943,-0.002072539335811025,-0.29822652091280216,-0.002380362587863809
7.0,1.0,-0.23425173187501827,0.033377048436798645,-0.1162378759209532,-0.002107707580381491,-0.016819004902674947,-0.015144527312344473,-0.005771569408570891,-0.009453935684891614,-0.014997776396957976,-0.040140986420568764,-0.029960620487854833,-0.018266241970226898,-0.006041645940465107,-0.006258421604901299,-0.0033390915119470583,0.022638711691445795,-0.008809535335808687,-0.33213076174956846,0.010142461211239136,-0.08490533379521889,-0.26823886500714433,-0.07803631132325466,-0.017896699377412673,0.0021360673159507132,-0.279326128669075,-0.011807753057717713
8.0,1.0,-0.0723873555113279,0.030418732942726585,-0.004034133900007921,-0.004253715032511221,0.015220023715064163,0.0021990544327728967,0.011563053118356245,0.0016412676304265697,-0.016749042836926825,-0.012886000502666252,-0.03622915682417164,-0.024277446457657993,0.007825611845042203,0.010480269841072124,-0.002947667936377251,0.08550126878082055,0.05524708225112621,-0.29746948968143283,0.062247351164185366,0.042206403741414884,-0.4310036897376002,-0.06626289830378049,0.005447883457083586,0.0031368571213293036,-0.27235967719556675,-0.007598799274477708
9.0,1.0,-0.08022573054855496,0.033120332418630036,-0.08109127759370853,-0.00882586065942255,0.010351892708819617,-0.038180693625848396,0.014022407200060719,-0.005767977887110701,-0.005514395759022827,0.014792471938775887,-0.027052170205487946,-0.02123369873481289,0.00796892402112042,0.013530752843605004,-0.0010958901648478335,0.006422492780970023,0.06600648096451153,-0.28148882338021297,0.05915805982549437,0.020375001847751078,-0.2723835618449738,-0.05294778640643808,-0.002159225518549547,0.0001316764017823412,-0.22004278961991608,0.019670095062458624
10.0,1.0,0.03720442082741028,0.05093575335299589,0.010895210771847373,0.0025558827781866447,0.008201620046469411,0.09465297958980837,0.007814409771692815,0.011385384993408942,0.007034811745003284,0.006150600426703931,0.013643834683350264,-0.03550972635420103,-0.023042843221324258,-0.008823794819812722,0.0013058023101270295,0.015160776195178301,0.003844434560944512,-0.04351978423653218,0.05509160217301092,0.030606701960319702,-0.0673871841323372,-0.04247978608991307,0.003464127832797333,-0.0030986713570395285,0.15678998977983855,-0.006017275148101991
