f_id,i_id,disp.ratio_median_05,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,-0.05129992201651108,0.06749214338120045,-0.01680016158780645,0.2156643153722862,-0.0036627657067179863,-0.019784705156442123,0.27865345791788193,0.03519348616713198,-0.037068542727784884,-0.0020772923522131078,-0.004524191482191016,0.012146055429335896,0.09967351669601202,0.23281272021268504,-0.030265579193755592,-0.008176312674947867,0.020105213106585886,-0.06412124308340653,0.8166777466958456,0.02454622022143667,-0.03565920298085626,0.3228450337335945,-0.013698526711317348,0.0004991455547214618,-0.007866148715833632,0.004185147474912872,0.034923268276377685
2.0,1.0,0.32443125127383066,0.06103648411185847,-0.03228704961603628,0.13325827165869286,-0.009123006467374626,-0.011605205195925184,-0.01214928173948305,-0.013887671930584808,0.008355548628839768,-0.0055538744604469985,0.005489604024701534,0.003238675346769699,-0.01503890048882079,-0.0003537017206596858,0.011915995062617014,-0.011981127969631352,0.03437845112515288,0.017079321925530792,1.6425244125581664,0.005405135245343201,-0.03838057890640292,0.9772359142427262,-0.008399615104850374,0.08246989299200405,-0.0029555919309769874,0.0009190910862599923,0.04492176179512851
3.0,1.0,0.19330191330073784,0.031290679668227746,0.007811018200713201,-0.02123613062931281,-0.002982851119280926,-0.0004931465879779763,0.010415465315093788,0.07200672144783893,0.08450937003273576,-0.0008197058367217431,-0.0034251246631602362,0.021195924288925527,0.08263916600453289,-0.006900828266203295,0.014773331955195184,-0.011075991875791362,0.028885097318957834,0.025146711339797012,0.26159331656022655,0.02168615430087391,-0.024204901393351713,0.23994911074540382,-0.009533023292942651,-0.027491514159296557,0.0004939403563615893,0.005719715452952141,0.055318697829214274
4.0,1.0,-0.16297918860121266,0.05550994399683141,-0.04429217982454894,0.07150074815959591,-0.007714507023278642,-0.02540828590353941,-0.02357510803822461,-0.014012037318019982,-0.01981699880807176,-0.011616743730148142,0.01175956903871957,0.003366767070495335,-0.045977562078704536,-0.024034970735564258,0.00793832887757174,-0.012076537077188186,-0.00948584178320534,0.0043782853540839245,-0.19438477434542828,-0.008947438522509175,0.022400492351515998,0.05379822622079846,-0.04490986721388691,-0.007470825950602055,0.0014797258294039618,0.004188687751766414,0.04472765053286218
6.0,1.0,0.03314674092566618,0.029016923823116065,-0.022435558220685322,0.0001325966831503126,0.0008102322306531311,-0.0008305136914125523,-0.022267984986741644,-0.014319633000954188,-0.016506211726210154,-0.004731384629361797,0.006245769494856276,-0.004193928335353436,-0.037776873679104025,-0.016760269741703648,0.013739544318954819,-0.0001701006115562998,0.0029989322397959363,-0.0167822488342404,-0.5222489125845436,-0.015653703458600857,0.01457888596777455,-0.5275796790588168,-0.05626202675970822,-0.0025595403134140884,-0.0002709076741269489,0.0070079120297537306,-0.10547446389285431
7.0,1.0,-0.290039915307423,0.03699654330851153,-0.09599784631285178,0.015466479091041685,-0.003344871870092997,-0.020930877192430492,-0.029622800926889747,-0.014716399224299747,-0.009049773635814115,-0.01144502439045884,-0.016970478233140157,-0.0023203308722602625,-0.002294912247721343,-0.031122327426954515,-0.004794284087601811,-0.04111549338783232,-0.022484310566777018,-0.015982402593062762,-0.5578565732029725,-0.01583280832162623,-0.060751054083962225,-0.39983940481118024,-0.036691824807845184,0.00012303875154827068,-0.012397684083327531,0.000909086734983196,-0.004869461620119083
8.0,1.0,-0.10017235648488536,0.027129422020533735,-0.026410295182779958,3.380190497987226e-05,0.009087155314752234,-0.003953707454322474,-0.021212452140240548,-0.013824340916302294,-0.009176588304551184,-0.009393385183762645,0.0010897292473075941,-0.0039023258892342417,-0.04319666469289266,-0.005033105962904471,0.004324920971471464,0.0581922306940178,-0.002552969497998528,0.0873848112589433,-0.4835573171346437,0.09731275533674677,0.024184036529645226,-0.45079440316105107,-0.0418683072453403,0.0005489760566489068,-0.0023193652788140394,0.0010742351153759867,-0.03410182860141036
9.0,1.0,-0.10651374953253223,0.03173243688753475,-0.07006085107445503,-0.0027063957467374335,-0.0022076334321639635,-0.013816934021055053,-0.022322798736904792,-0.01586849223679202,0.00020380394553578098,-0.008647869492938451,0.0009237737786643658,-0.0024398517974257524,-0.044860853517475895,-0.002022211431496227,0.006168716077619772,-0.022152302235754633,-0.00474862287087265,0.0978865213194091,-0.5011452706630934,0.058116313846797024,0.024891590480261617,-0.3740996550891108,-0.04186736491384142,-0.0017420164600163539,0.0017659358110721946,0.011875256884615132,-0.04376528681223374
10.0,1.0,0.16151246525921914,0.06389903953663165,-0.013032368368353356,-0.013369629237753589,0.012458255542092666,-0.0010771869405785898,-0.01685801244152207,-0.014264103428124552,-0.021646116804346274,-0.005104942150868833,-0.011662866498907383,0.0013279514246936493,-0.026895448970250486,-0.014400460025456167,0.02239292126282608,-0.009242511184213764,0.01679649012339566,-0.0027938772574851787,-0.07991481411984876,0.015445229273498099,0.013976031355541842,0.0956441723982172,0.030141775935137657,-0.0016176237929318475,0.0008053744657730899,0.001360511044900733,0.059915577830611945
11.0,1.0,0.1935930026391472,0.06882474245854696,-0.011655407801686767,-0.010372747989249883,0.015165275058690373,0.009944790661469716,-0.017585041598764947,-0.010678818868216118,-0.006644887507761287,-0.004095249233792445,-0.007518730586574641,0.014739783540498248,0.009983272392593721,-0.014208907175941603,0.023519590452574696,-0.00505395334614826,0.028269792534067858,0.007063733759187555,-0.06385823985637622,0.028832404517156532,0.021481065677047727,0.11830313125886459,0.04386218619956773,0.005642361066818892,0.0006175143097620304,0.016176069663938454,0.06476540595443678
