feature_name,feature_importance,rank,fold_number
ela_meta.lin_simple.intercept,0.2543449351913359,1,1
ic.eps.ratio,0.2233290200447539,2,1
ela_meta.lin_w_interact.adj_r2,0.2108776990684,3,1
ela_distr.skewness,0.1021748263329516,4,1
ela_meta.lin_simple.coef.max_by_min,0.0970064030891334,5,1
disp.ratio_median_02,0.0956973544194774,6,1
pca.expl_var.cov_init,0.0904258642996899,7,1
ela_distr.number_of_peaks,0.061154804031341,8,1
ela_level.lda_mda_50,0.0298819160266243,9,1
ela_meta.quad_simple.cond,0.0286986946751699,10,1
nbc.nb_fitness.cor,0.0278520250051458,11,1
ela_level.lda_qda_25,0.0260663733638566,12,1
ela_level.mmce_mda_25,0.0233801333247616,13,1
ela_level.mmce_lda_50,0.022981155503685,14,1
ela_level.lda_mda_10,0.015871472435811,15,1
ela_level.lda_qda_50,0.0153725096817219,16,1
ela_meta.lin_simple.adj_r2,0.009422231013534,17,1
ela_level.mmce_lda_25,0.0088473647569344,18,1
ela_level.qda_mda_50,0.0077788375537987,19,1
ela_level.mmce_qda_10,0.0075090965243277,20,1
pca.expl_var_PC1.cor_x,0.0052245050012497,21,1
ela_level.lda_mda_25,0.0051500797607005,22,1
ela_level.qda_mda_25,0.004811704087349,23,1
ela_level.mmce_lda_10,0.0021901037928678,24,1
pca.expl_var.cor_init,0.0006961081526161,25,1
ela_level.lda_qda_10,0.0003888446430031,26,1
ela_meta.lin_simple.intercept,0.2583908834816266,1,2
disp.ratio_median_02,0.2386248886571464,2,2
ic.eps.ratio,0.2138741736591754,3,2
ela_meta.lin_w_interact.adj_r2,0.194726280348567,4,2
ela_distr.skewness,0.1141756447745744,5,2
ela_distr.number_of_peaks,0.0900986378204141,6,2
pca.expl_var.cov_init,0.0686077088631304,7,2
ela_level.lda_mda_50,0.0446346592569,8,2
ela_level.lda_qda_50,0.0403542394539382,9,2
ela_level.mmce_mda_50,0.0393230080230665,10,2
ela_level.lda_mda_25,0.0287071198327888,11,2
ela_meta.lin_simple.coef.max_by_min,0.0243312106295444,12,2
ela_level.lda_mda_10,0.021923642113499,13,2
ela_level.lda_qda_10,0.0200058703282136,14,2
ela_level.lda_qda_25,0.0183263119790907,15,2
ela_level.mmce_qda_10,0.0159646472662124,16,2
nbc.nb_fitness.cor,0.0152423350369832,17,2
ela_level.mmce_lda_10,0.0126324505355547,18,2
ela_meta.lin_simple.adj_r2,0.0112389495546214,19,2
ela_level.mmce_lda_50,0.0099571346640217,20,2
ela_meta.quad_simple.cond,0.0075034102091899,21,2
pca.expl_var.cor_init,0.0065230903789453,22,2
pca.expl_var_PC1.cor_x,0.0045426491678511,23,2
ela_level.mmce_lda_25,0.0039073860389597,24,2
nbc.nn_nb.cor,0.0038936718878774,25,2
ela_level.qda_mda_50,0.0018379127340649,26,2
ela_level.qda_mda_25,0.0001554308360193,27,2
ic.eps.ratio,0.2371822023546999,1,3
ela_meta.lin_simple.intercept,0.1910208241891536,2,3
ela_distr.skewness,0.0970463711937191,3,3
pca.expl_var.cov_init,0.0842298980673773,4,3
