f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,-0.09559810019058429,0.07272977790233053,-0.021933384273183067,0.07751546890711054,-0.004006221674001798,0.012261907023334384,0.23376370717653902,-0.009888576727468333,-0.0005261424649024324,-0.006009729668858788,-0.0017691330636224827,0.0003087616337940697,0.007172617277943135,0.08572914327509093,0.06010763350863823,-0.008843590380711952,-0.008255836597909799,-0.01807814605491818,0.946176914278591,0.4732351047480932,0.031063030730110696,0.2555119984569108,0.028888291646061878,0.0027879729957518925,-0.008442178146758964,0.0284570947341562,0.012201195939773077
2.0,1.0,0.9509962397154392,0.06227931921524516,-0.01886808727934252,0.08952237062812005,-0.007403341302276688,-0.02679995565340905,-0.02116144101143745,-0.006226088184173312,-0.02013939782059321,0.002248589366670534,0.0036116312430848206,-0.0017156111671195562,-0.01878567424462767,0.003341832305112113,0.013166659768672869,7.589240752592027e-05,-0.007415047412961766,0.01704485456757081,1.4725386964201386,-0.03360383624090376,0.032629018570779,0.6133756970123079,-0.006505650406690836,-0.015419046956255057,-0.007117174572389682,0.03032221011278128,0.007853987120037473
3.0,1.0,0.09588107790301371,-0.010598808293724142,0.03143331281082873,-0.0010758722964176546,-0.008926755730758169,-0.001390393588317823,0.03392749385066585,0.06798978362881805,0.07750944360080242,-0.004802533026174626,-0.002476636252526274,0.004124682260371506,0.012282441861491845,-0.007886063845845538,0.025038174292767522,0.017717148077320822,0.01745059986239265,0.019263970643898357,0.25184911368939406,0.0713449977376506,0.007869116285337074,0.08644601572209375,-0.008428294805129735,0.010478970826217874,0.004657836733738976,0.046711986691727235,-0.001814861241296587
4.0,1.0,-0.13559580892079753,0.04468679240855561,-0.054603988070725286,0.053446784953124535,-0.010608582549185541,-0.041946247983044714,-0.023209212499641425,-0.025295097995002885,0.0019222654555717728,-0.005372039204655072,0.002437628242925711,-0.03539697900599785,-0.02188282534851688,-0.008732061095360037,0.015202215202486494,-0.000668445636601065,0.006055006073869891,0.011770796567662816,-0.13898091650318406,-0.14441301850134633,0.010091990092937483,0.02880609231952164,-0.04190274846978973,-0.004832195228718724,0.0052138551471335205,0.047659499440323216,-0.0033636583462451942
5.0,1.0,0.047204424760207996,0.006709540356405799,-0.03485479102378689,-0.00037278791041420276,0.0031365189597692463,0.009053749878964923,-0.018788089238633274,-0.01652375004879468,0.011482847259577201,-0.005113901684293145,0.006755655216151823,-0.011677888156477186,-0.021975631444905847,-0.0059442146581753464,-0.0023866542015672032,0.0005892257320808964,0.009386761218527245,0.007607841379317787,-0.5168497827209175,-0.11158135914071945,0.009379439111031571,-0.3648360729055861,0.00030514187211302913,0.02194944800496295,0.0022947756468999067,-0.09842767538003461,-0.004740333869240875
6.0,1.0,-0.05406167114159082,0.009845333520875193,-0.03730394769148511,-0.0011325528461922554,0.004897864074544897,-0.0033172071265731816,-0.022727907775059123,-0.017025803676529633,-0.025967622551175046,-0.004590364465971194,0.005836101172017062,-0.01711151903233339,-0.021035121064054425,-0.009424391803906342,-0.001636001929101958,-0.0043165907297276615,0.008045436806924232,0.012164561885156189,-0.5059064232434517,-0.11699965026249373,0.019823428766812402,-0.3605365745962654,-0.039709856528918355,0.00537205975878641,0.00295910939039889,-0.07874354674630418,-0.005073979312707505
7.0,1.0,-0.2547025639397527,0.009081168810502468,-0.1284602848712323,0.03653675046598695,-0.011835876076146631,-0.007918272603425888,-0.029822779488442065,-0.022569951119114983,-0.031358718060175074,-0.00385531220156047,-0.024331884813591054,-0.009748747183075994,-0.004761036209251803,-0.009963239983438992,0.007407567476010033,-0.007495875641233053,-0.0236997466004286,-0.05097111159150623,-0.5896291532299563,0.1372789005426184,0.0001514281799944408,-0.20503574901505878,-0.06268610101902504,-0.020510590192173453,-0.01812544278558611,-0.0850449173628612,-0.006991704766649909
8.0,1.0,-0.08018304678181104,0.019205084130430983,-0.061714604332356336,-0.013626420880132193,0.011853206716379159,0.004919912163093741,-0.01681108124089106,-0.013907158786526366,-0.01540060336741755,-0.002446436564712394,0.005390746021671656,-0.0060884621984735885,-0.005075436727208176,0.008078081079092548,0.009531540522346617,0.006210422753475985,-0.0266172600065344,0.06413199201250964,-0.48410161096011356,-0.11204352605804531,0.06461219351456621,-0.26449362463631443,-0.0332935675284821,0.015319352448064554,-0.012536871334650099,-0.07218977909179257,-0.006572555991605774
9.0,1.0,-0.08669720292326703,0.009393301837398494,-0.0887084599055544,-0.012812292973662404,-0.011667820733271422,-0.00607264995727346,-0.02185633373278308,-0.02038950629773224,-0.01531152049256534,-0.0025572904676692994,0.013959844856419575,-0.008415185665135872,-0.007829829002303286,0.00984234181643817,0.00686151030558263,0.002206069359421544,0.008899628472705158,0.07334893926091303,-0.46942062584457483,-0.08925484222730083,0.06295901084060689,-0.14309653561173588,-0.039869018259731374,-0.005265741491861204,0.005036277160463099,-0.08555875385649754,0.011712685491628537
11.0,1.0,0.09224572969489554,0.02903861272438043,-0.05591608128457248,-0.0002148659891773036,0.023377574504003844,0.09190959874778265,-0.00484735348832265,0.053794373970437986,0.0020718596903728285,-0.005512448246053431,0.008171259843737214,-0.007609530166155487,-0.024174519952518233,0.0023367163943616522,0.009957057368460717,-0.0031651871272393014,0.022979195485775303,0.01982576037433238,-0.03772463718433923,-0.1306046229044442,0.03340148169462984,0.10395341670780228,-0.00027074887094012017,0.031122212865584926,0.00477565603706599,0.06396081648127412,0.03206103509735215
