feature_name,feature_importance,rank
ic.eps.ratio,0.29073740329498066,1
ic.eps.max,0.26627126626890474,2
pca.expl_var.cov_init,0.17278603716752278,3
disp.ratio_median_02,0.12362534028041158,4
ela_meta.lin_w_interact.adj_r2,0.11270423198025992,5
ela_distr.skewness,0.06288919662128747,6
ela_distr.number_of_peaks,0.053778384871693154,7
ela_meta.lin_simple.coef.max_by_min,0.044843706596569985,8
nbc.nb_fitness.cor,0.040475885541470934,9
pca.expl_var_PC1.cor_x,0.031526850846991125,10
ela_level.lda_mda_50,0.029303977850049453,11
ela_level.mmce_mda_50,0.028524662376873865,12
ela_meta.quad_simple.cond,0.028513325509636724,13
ela_meta.lin_simple.adj_r2,0.02378430287129482,14
ela_level.qda_mda_25,0.02227571526238518,15
ela_level.mmce_lda_10,0.015050931667840417,16
ela_level.lda_qda_50,0.015008197238623072,17
ela_level.qda_mda_50,0.013720020615501389,18
ela_level.lda_mda_25,0.012709299567843599,19
nbc.nn_nb.cor,0.011732506251823488,20
ela_level.mmce_lda_50,0.01082839632340833,21
ela_level.lda_mda_10,0.009922458859750335,22
ela_level.lda_qda_25,0.00809286734442893,23
ela_level.lda_qda_10,0.004006818978479423,24
pca.expl_var.cor_init,0.003357161107436941,25
ela_level.mmce_lda_25,0.00270013102159912,26
