feature_name,feature_importance,rank,fold_number
ela_meta.lin_simple.intercept,0.33950560865872464,1,1
ic.eps.ratio,0.14866053078738767,2,1
disp.ratio_median_02,0.1291474132466641,3,1
ela_meta.lin_w_interact.adj_r2,0.11143263978277346,4,1
pca.expl_var.cov_init,0.10884147505781507,5,1
ela_distr.number_of_peaks,0.06775201168603279,6,1
ela_distr.skewness,0.06275178178976001,7,1
ela_meta.lin_simple.coef.max_by_min,0.043659090828217666,8,1
ela_meta.quad_simple.cond,0.029661903147398413,9,1
ela_level.qda_mda_25,0.023062658478163685,10,1
ela_level.lda_mda_50,0.01991976211233293,11,1
ela_level.lda_qda_25,0.0162740313105269,12,1
ela_meta.lin_simple.adj_r2,0.015236289306557429,13,1
ela_level.lda_mda_10,0.014520470526580542,14,1
nbc.nb_fitness.cor,0.014279552106099224,15,1
ela_level.lda_mda_25,0.013929544644344958,16,1
ela_level.lda_qda_50,0.01269800778704079,17,1
ela_level.mmce_mda_25,0.0117082383456496,18,1
ela_level.mmce_lda_50,0.011564836029959301,19,1
ela_level.qda_mda_50,0.010699702055574306,20,1
pca.expl_var_PC1.cor_x,0.00880714826544031,21,1
ela_level.mmce_lda_25,0.0078755603775607,22,1
ela_level.mmce_lda_10,0.007237045979090821,23,1
ela_level.lda_qda_10,0.006821573464059532,24,1
ela_level.mmce_qda_10,0.005893071438142791,25,1
pca.expl_var.cor_init,0.001443895325543021,26,1
ela_meta.lin_simple.intercept,0.32183551858246345,1,2
ela_meta.lin_w_interact.adj_r2,0.17178424010804105,2,2
ic.eps.ratio,0.1357496421811042,3,2
pca.expl_var.cov_init,0.09480074675865006,4,2
disp.ratio_median_02,0.08339063355961789,5,2
ela_distr.number_of_peaks,0.07583169673440872,6,2
ela_distr.skewness,0.05912595482425478,7,2
ela_level.mmce_mda_50,0.03850895488127098,8,2
ela_level.lda_mda_50,0.034450060444633765,9,2
ela_meta.quad_simple.cond,0.028921720986771357,10,2
ela_level.mmce_qda_10,0.028675586633410882,11,2
ela_level.lda_mda_25,0.022118027293829882,12,2
ela_meta.lin_simple.coef.max_by_min,0.021581192516510004,13,2
ela_level.qda_mda_25,0.019016019619112038,14,2
ela_level.lda_qda_50,0.017583694024901488,15,2
ela_level.lda_qda_10,0.01691346532185279,16,2
ela_level.lda_mda_10,0.015796569937362656,17,2
ela_level.lda_qda_25,0.013122648926261122,18,2
ela_level.mmce_lda_50,0.012400195450932102,19,2
nbc.nb_fitness.cor,0.012392322890329271,20,2
nbc.nn_nb.cor,0.010899434547617031,21,2
ela_level.qda_mda_50,0.010699899554438735,22,2
ela_meta.lin_simple.adj_r2,0.007873748331065881,23,2
pca.expl_var_PC1.cor_x,0.007575411399812913,24,2
ela_level.mmce_lda_25,0.007124295856004121,25,2
ela_level.mmce_lda_10,0.005678010893566873,26,2
pca.expl_var.cor_init,0.002701788824785881,27,2
ela_meta.lin_simple.intercept,0.3449015299688468,1,3
ic.eps.ratio,0.2094023377924705,2,3
ela_meta.lin_w_interact.adj_r2,0.12555063901556188,3,3
pca.expl_var.cov_init,0.11552202883713673,4,3
disp.ratio_median_02,0.11203288601881785,5,3
ela_distr.number_of_peaks,0.06814530666324539,6,3
ela_distr.skewness,0.0568215981433548,7,3
ela_level.lda_mda_50,0.032675743671219504,8,3
ela_meta.lin_simple.coef.max_by_min,0.026925641106274236,9,3
ela_level.lda_mda_10,0.024647342667796054,10,3
ela_meta.quad_simple.cond,0.024179750684590655,11,3
ela_level.lda_mda_25,0.02142472265838621,12,3
nbc.nn_nb.cor,0.020705756222729764,13,3
nbc.nb_fitness.cor,0.017335242463784744,14,3
ela_level.qda_mda_25,0.016424677306743775,15,3
ela_level.lda_qda_10,0.015652313222533434,16,3
ela_level.lda_qda_50,0.014796903622088072,17,3
ela_level.mmce_lda_50,0.013925485781152245,18,3
ela_level.mmce_qda_10,0.013902414629958856,19,3
ela_level.lda_qda_25,0.01078651732207553,20,3
ela_level.mmce_mda_50,0.01015791882034729,21,3
ela_level.qda_mda_50,0.009742251744506308,22,3
pca.expl_var_PC1.cor_x,0.009573491181006576,23,3
ela_level.mmce_lda_25,0.00953541176817861,24,3
ela_meta.lin_simple.adj_r2,0.009159062717791162,25,3
ela_level.mmce_lda_10,0.003159803760234159,26,3
pca.expl_var.cor_init,0.002138647425343427,27,3
ela_meta.lin_simple.intercept,0.3709839722150492,1,4
ic.eps.s,0.24829994885651932,2,4
disp.ratio_median_02,0.10830861460294525,3,4
pca.expl_var.cov_init,0.10292751802379746,4,4
ela_distr.number_of_peaks,0.09700470176671219,5,4
ela_meta.lin_simple.coef.max_by_min,0.06495244789181634,6,4
ela_distr.skewness,0.0555150291964905,7,4
ela_level.lda_mda_10,0.0477065820335165,8,4
ela_meta.quad_simple.cond,0.028549632191334016,9,4
ela_level.lda_qda_50,0.026809376189006744,10,4
ela_level.lda_qda_10,0.023727984348749464,11,4
ela_meta.quad_w_interact.adj_r2,0.021555145641043542,12,4
