f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.max,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,-0.025947831934646136,0.13038110555721874,-0.046364626020163856,0.04311496014880273,0.020115422371502868,-0.009982958989256595,0.008242917698739747,-0.010743130892553021,1.6442020690588975e-05,0.030940577090820976,-0.0004482805065033831,-0.003948400169229973,0.12440668636287529,0.039104421120367175,0.030823155676060737,0.07208254863190731,-0.038934467344625336,0.3813998607725059,0.014914287224542126,0.6033685647218434,0.5970150642050932,0.03873444394480882,-0.008209055092000227,0.000807999641109148,0.12067374732427556,0.04865799429803278
2.0,1.0,1.1686706182667403,0.12835174660059562,-0.04805816712104707,0.041576502495357465,-0.007977071169261746,-0.00937966123356595,0.006097549007604743,-0.004346170678022727,0.008256165003221802,-0.0005952907694800365,0.00438292942904919,-0.005226027699705323,-0.019759022994199363,0.06790399864744129,-0.0010376673174171563,0.06462016150954149,0.0016002764170897222,-0.1057844583121001,0.023940260034935556,0.808517892881537,0.9824244608261887,-0.0046361821529520945,0.07346689062171921,-0.003424054490060337,0.09550436320514342,0.04566132498895315
3.0,1.0,0.028471156952407907,-0.03018977028978745,-0.031065374779786444,0.0009937392342149764,0.013204681505918584,-0.021514122933034046,0.0056652266259723735,0.009451523125963118,0.0537550249607216,-0.0006457798194059697,-0.0041449666490298714,0.021099420997951594,0.11999717060718543,0.011203359933884244,0.03025697406257722,0.006871346753244785,0.054902375883875774,0.05681575505914132,0.01884413969376789,0.33064740466093645,0.3366338366510514,0.015687988394023404,0.0034790716271860325,-0.005625651112590271,0.1452270925022823,-0.018240547225242234
4.0,1.0,-0.13567394445824843,0.05806541571259035,-0.08002620135377454,-0.0122396995840558,-0.01428149584948682,-0.023875581273907754,-0.0009842935295166877,-0.00664160201339327,0.007132816245141697,-0.028138106548401008,-0.00030439862774566805,-0.0118025331234801,-0.023445037960116436,0.002442849916776949,-0.00851720468821897,0.008991710526764295,-0.003605143706335668,-0.1005502425382738,0.015899078656708747,-0.22300064922155977,-0.11014043991367387,-0.050268258381763964,-0.016380124694061346,0.0023444230931463743,0.13213368276415616,-0.02344493367731766
5.0,1.0,0.029252301465012873,0.04637037538948881,0.007556026457038291,0.006662941035237978,-0.005211629987289538,-0.01678471490055452,-0.00030956097044701497,0.0010089832245714439,-0.008192959960531675,0.0022086746665970157,0.0007708768686931738,-0.0023193864375396175,-0.0099347663885787,-0.000888655241665259,0.00803219218584058,0.009428100772020748,-0.005818005144667011,-0.08465081592317274,0.02229194929987344,-0.20320424092899056,-0.483767285400264,-0.01063790442377449,0.013480124390693234,0.000844728619387453,-0.284283469456202,-0.020408049628582562
6.0,1.0,-0.08611977290086838,0.044290946024109414,-0.015431342805586352,0.007771025293975093,-0.0019506979984370498,-0.024812589574454678,-0.007823646785054521,0.00857278948680499,-0.01692530716786043,0.003905562140995385,0.010776149007624566,-0.004232052871891846,-0.022292473870583484,0.0019607290134809677,-0.006601590736732301,0.010730574405031154,-0.02722141666890475,-0.07071060005299787,-0.0044058082413718615,-0.20565502980088113,-0.47600173225689985,-0.06431115987649497,0.009367827964677028,0.0008207287734890251,-0.2680138850308122,-0.019154949446727965
7.0,1.0,-0.24665125158691303,0.03893918718871939,-0.121375502715415,-0.0076753408545792885,-0.015996366969395055,-0.029321044247810495,-0.003399600806096604,-0.009049901188974864,-0.004651689113301808,-0.03706076912791543,-0.002298530897475126,-0.01215524147766349,-0.005909707682490773,-0.015079722564613356,-0.005976225609646302,-0.03226381214361239,-0.03221947734757698,0.04585400229860688,-0.009570109058067539,-0.2821006060373197,-0.18239435021014636,-0.07514709172037606,-0.03438455506412618,-0.012501312596124865,-0.17950882352962705,-0.01727710072555675
8.0,1.0,-0.10571346443625779,0.039630513183918054,-0.04720581158555572,0.011188407246546173,0.015286103252214467,-0.018831482142265082,-0.0017679422651310597,0.0012899458179144755,-0.008299487337482628,-0.028111792901975546,-0.007295932721911745,-0.004999700035993543,-0.02454422603373699,0.0006426875046052408,-0.006954009641009585,0.02074382197372654,0.0906174288875869,-0.050231034611519274,0.03484684063303519,-0.23505162230366122,-0.40190750279658094,-0.06289101881952812,0.01805649251836331,-0.007094929724781179,-0.2270603647924805,-0.019817139101756302
9.0,1.0,-0.10399000140805487,0.04766996555831657,-0.09086626585047676,0.00359928412765472,0.0021485741003881777,-0.024538543604600914,-0.001488477001191485,-0.005921229042952442,-0.002656782196293741,-0.0037848864351837284,0.0005812483890071774,0.002919053556041584,-0.022541525691225976,0.003402734982108466,-0.009045571028543357,0.0003908021594118331,0.11246026476904358,-0.046520492255917735,0.027829309854774803,-0.20683878527740324,-0.2406070092660843,-0.053730474161199165,0.0023345115949967893,0.004321709309897579,-0.2286416595978656,0.029294567436025362
10.0,1.0,0.043064680742252504,0.06225980711559399,-0.013080172240926112,0.007484713681517132,-0.004336971939092057,0.1625192932397713,0.003185873342204323,0.013138523401622533,-0.024300218101973303,0.009646571466280666,-0.0015271860191707265,-0.004985976575826686,-0.02126759935004041,0.010040125744103701,-0.0031246396636314994,0.024572714864226276,0.014280753423769013,-0.0646283304926873,0.021956058214864158,-0.1177085639806813,-0.031820593150937604,-0.027238257551111623,0.009812772490615712,0.0031809677793881125,0.15384364785153437,-0.020971133671360172
