f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.max,ic.eps.s,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,0.027502987394002115,0.05524633429287126,0.01668129583167179,0.03892882430743026,-0.023505783021510362,-0.008933183141325653,0.010279630826708604,-0.0017544789749820702,-0.005332602302466388,-0.0069544060163996895,-0.008126885867143004,0.10352384646570209,0.0816053112866259,0.009957942408073857,0.0017680815528521802,0.0758345983544743,-0.045870116511772335,0.34738345189424497,0.002472574114164175,0.5609778725482257,0.9588240935745497,-0.015839108616079633,-0.01257927954874407,0.00533955866185537,0.07468305676432264,0.024653492499559594
2.0,1.0,1.0189559367268388,0.0772652758037152,0.025149523910895494,0.042051822653440554,-0.006806928912347102,-0.005621838757000357,-0.002821943814110698,-0.008942794550481857,0.008493783462410023,-0.00039977061077285214,0.0005751003153096083,-0.009010112954643842,-0.00646477241141232,0.021941988351118293,0.0018775986227732113,0.11351695842112533,0.020515705228756703,-0.08049577480711383,0.00376745585764806,0.8336876067138238,1.227588642690714,-0.02355786004917194,0.1106844652466587,0.006491838346796478,0.0651675610367956,0.029254493175994614
3.0,1.0,0.07003953086181683,-0.03350609827940556,-0.005621615647581496,-0.013191241615224999,-0.008044326622622748,0.00750609917028587,0.02081849221315553,0.06181399230452001,-0.0003721440466658623,0.008949866986571594,0.009917343681899162,0.07038034208403642,0.016805664776252754,0.007636742252048767,0.016617286327095474,0.013188300527209465,0.03055092061892033,0.06596855997407433,0.00901254212694746,0.2917125506834884,0.3489170340680176,-0.018288984191133582,-0.0006547958234487205,-0.014720406332458861,0.08551001989954626,0.007251012871116311
4.0,1.0,-0.11020565607842057,0.03528010512833057,-0.01263889962127451,-0.004631266998125715,-0.029189667212177948,-0.012159500517816906,0.009470634061630427,-0.004645967271327667,-0.004018036372867335,-0.0030564457298167726,-0.0044240566021133115,-0.008461739039446617,0.0017369233514129498,-0.0036707250433096255,-0.006894623600763291,0.0072166168632661586,0.01519867295121113,-0.1060351169434331,-0.00215780486287791,-0.26920378757901225,0.03431672921629862,-0.020291775141864237,-0.04366886832411116,-0.005005212613947036,0.08266002923078533,0.006520981353856008
5.0,1.0,0.04626380434613662,0.022761792104591644,0.04415332386569867,-0.008469962168137161,0.010331243056518617,-0.008031878462750355,0.0019603551417023777,0.00012338938830003775,0.0013226104279394054,0.006532101354447177,-0.00990316062642818,0.01644100275830464,-0.012850606998032556,0.007665214634197103,0.0033405773389894524,0.024599488274165,-0.004231862071106691,-0.04595914035590768,0.0041625996358919184,-0.1658317640927253,-0.7666696974930406,-0.011661883248098727,0.009963766358207534,-0.0024554624134220937,-0.14739170136255683,0.00619292762660808
6.0,1.0,-0.07135602591463325,0.02173098635965866,0.04040635278510376,-0.007582086431434216,0.007348833283615425,-0.005970490637118772,-0.0069430176294940655,-0.01719991017308989,0.0013364923964733425,0.00944051248250661,-0.001455419714856823,-0.01375066697263241,-0.014771087400478047,0.007987407309714117,0.0003614515329659691,0.000588325230970403,-0.016293883719951326,-0.05976890204698587,-0.0005411499684391467,-0.16854344704419308,-0.7632073268118387,-0.02543498466301592,0.002843702086707172,-0.0015707224882629076,-0.1450225460946408,0.00394682860309148
7.0,1.0,-0.23166963902760673,0.019820438444132185,-0.10027603486103448,-0.0018131245386927557,0.005789054561170557,-0.008363712963217881,-0.013099948625744992,-0.029743201608282293,-0.0014576961967028112,-0.03685428785471255,-0.013031173989967556,-0.015562884351640511,-0.0028413747354474484,-0.017547011460705503,-0.006767892781826704,0.022267904581463847,-0.016873368850062555,0.044433892524702735,4.79098280802261e-05,-0.23212376574931817,-0.5318647136648921,-0.033822953325007316,-0.03247874492344635,0.00932845454192392,-0.11352241363863991,0.004580384978015802
8.0,1.0,-0.08820558779268181,0.022324932456147598,0.004331032293700062,-0.0044494270208735205,0.02003898055429924,-0.0065528941917732215,0.003289622449616868,-0.008925340870340756,-0.0042547800549871525,-0.008611063674045231,-0.0016256523887851267,-0.003520346096468434,0.005959068072821865,-0.0012645694318778654,0.01075890737822657,0.0750098139843036,0.09780889094283365,-0.04685793026840037,0.04858623942898749,-0.19029255451507535,-0.6871950189325169,-0.021360324301796296,0.003298357351832282,0.0009846181171841418,-0.1390502736925264,-0.0006626990692729452
9.0,1.0,-0.09410697777091297,0.025865275844105563,-0.050333918832499845,-0.004432944457169275,0.018391750090062546,-0.0010413550429615496,0.001774926376249356,-0.02568961464548437,-0.005948758355801508,0.010812844783076888,-0.003098365286837774,-0.0033686423757373126,0.004619148062441365,0.002074473440665466,-0.003021475874435022,0.008618569921434407,0.11224681221635018,-0.041124884758454716,0.05489269710160646,-0.18644200734861607,-0.508270426027242,-0.016787697441166028,-0.008093903907248451,-0.0012650651549214117,-0.13958698126928823,0.019362404122225143
10.0,1.0,0.06600390514698551,0.04223479554810677,0.002882607679330104,-0.00444666631916882,0.019715622257858265,0.08173161694359049,8.225469995832936e-05,0.00018301304686446293,0.0010268266444758236,0.0008186282030334331,0.0009171420891282438,-0.012261741058176715,-0.009384888473992709,0.011138817655290845,-0.00270668542743738,0.006656150690965465,0.019386457406154148,-0.05658223179449009,0.023812236308964885,-0.12321739109860005,0.16647235749256423,-0.029088074745431458,0.009616415502028955,-0.0036053957826580347,0.08561071108131214,0.00691358418809196
