f_id,i_id,disp.ratio_median_02,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.max,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init
1.0,1.0,-0.05772332424193458,0.06407859771814402,-0.06664674532917157,0.30401996639485285,0.032806691117435935,0.0250976903461791,0.2913148256882151,0.02821334296819699,-0.03740401406176224,0.007021266452144932,-0.0014373447370781517,0.01122053178235641,0.0904919831714439,0.24462729134729932,-0.052536149845948274,0.01586213160733447,0.08180225887422662,-0.007439934102474513,0.028482742246929663,-0.029001248631101224,0.2615817677589752,0.6197029695282807,0.002908265184551073,0.05580639448018022,0.00022696901639904064,0.024680048349500116,0.08251378982910341
2.0,1.0,1.0406280007659414,0.06412848927050095,-0.052569279188624266,0.29537000976519856,-0.007729879532343218,-0.024484024405499728,-0.005270233366141005,-0.01745463351854769,-0.013236444686621539,0.03640246951625811,0.0018593783238944727,0.007545698755622822,-0.04726613656722196,-0.005251225743430533,0.03979383874981152,-0.006285046907079392,0.08738243306371413,0.025326584504323874,0.015136945428148781,-0.027122013228232586,0.628225137439185,0.8660044040507776,-0.013727658796545698,0.15057876140240828,-0.0021006795677808447,0.03241822297797919,0.0655673076890568
3.0,1.0,0.047311479628047354,0.01719531339909545,-0.008083611897507047,-0.07395122043153227,0.02525386925904645,0.021208490950916047,0.029528843792215896,0.07804414267039789,0.10698853843502652,-0.014525531177804755,-0.0010773525064942102,0.0015759839494496706,0.08006670468675614,-0.012338553919781064,0.010732709293671315,0.0028067033397232086,0.004339972121289573,0.019809719014234336,0.044336066968963236,-0.023665418864224717,0.19620118342046666,0.4967298064783608,-0.0329626553546061,-0.05490319048992337,-0.002456166735791209,-0.017121088032170745,0.10255475665339146
4.0,1.0,-0.15660582421347088,0.046486216309507354,-0.06546610299497378,0.13564193905652613,-0.02109277397110263,-0.03851361440801811,0.009484958791425703,-0.016691680469451377,-0.03273856854814866,-0.0004723219129554811,0.009402303819718807,0.003452313564581724,-0.053312185848082075,-0.007196263464875704,-0.000997381727763471,-0.0070771347735873675,-0.01310968509671136,0.017983349440288572,-0.001407354299854145,-0.019801523252786682,-0.2238216065387168,-0.0017607073718673345,-0.03508264764442795,0.021150057879509594,-0.0004649943184184504,-0.007408103082016969,0.08002873424248397
5.0,1.0,0.02209130614204671,0.034400596988620975,0.056805788751204116,-0.017480559025818857,0.0022214210945242087,-0.008616663949016928,-0.024111539213345936,-0.02181837312265256,-0.012990545074482695,-0.004238159176004325,-0.0054876544350840025,-0.003959609577911133,-0.027584995256035107,-0.019958076209704183,-0.018850474258704418,0.0033904852315352453,-0.021485453593133592,0.011674552245049357,0.021034913319594048,0.01835128318554836,-0.13530892110263043,-0.6535962841217752,-0.005935045762953927,-0.011601319938819616,-0.002763787617063344,-0.0075669657396112,-0.2689744902740495
6.0,1.0,-0.08466698094821558,0.03111463247506027,0.04216224612513904,-0.015099022044143914,0.0035892481221127905,-0.00851675609010028,-0.0439653409992983,-0.021208291027180175,-0.024879927855522205,-0.005174728342974508,-0.006983785983669685,-0.0065321613872831715,-0.05630009924408913,-0.02093308410550726,-0.022401846423609467,-0.014137786698449928,-0.008863452156518632,0.013946990283740163,0.015320841457345441,0.00769596248154274,-0.1354673406821453,-0.6502938171206312,-0.03388032093989087,-0.02329026969281726,-0.002503681718276112,-0.008292421482499982,-0.27326562906537033
8.0,1.0,-0.12116784465441342,0.03472037954914626,0.014454270771552466,-0.014643035065679611,0.0027622969089709207,-0.007825893216179823,-0.024961989250599673,-0.01430165331531095,-0.015972580572117537,0.004330573493087778,0.004229740745020169,0.007245925158319032,-0.05148837186164645,-0.007712750607252378,0.0039765377967991445,0.013712168165910437,0.0758168364922638,0.04063671772359591,0.021559705847231124,0.01176492737766382,-0.13466489997377912,-0.5245637620887121,-0.03137934285671337,-0.0044033071103417015,0.0021987736508536715,-0.008579350591576274,-0.14786324559859598
9.0,1.0,-0.12790157880942551,0.035705357668335075,-0.11860187380651459,-0.016862328298555218,0.001004615163088628,-0.03599587979243014,-0.03434583652373568,-0.016997286895682646,-0.02245979478746034,-0.0035796885878217975,-0.003378305091069487,-0.008403057552652733,-0.05399963618976125,-0.0026613758559138694,0.002837490450780737,-0.02248721446127122,-0.00892608100980027,0.03270479919003865,0.009227423439062804,0.005215269907054987,-0.1449347255340167,-0.2709128355587943,-0.03892165797792804,0.008404840331419665,-0.0005939860022691488,0.02193048555787167,-0.16861083335173702
10.0,1.0,0.06838472805299933,0.05117299640231954,-0.02072618323463024,-0.024511078288114038,0.00819713334962571,0.041207741125821144,-0.025967716124552957,-0.0167693410926443,-0.0207068537997578,-0.005799958486527424,-0.010377424455692412,0.00018963693895241948,-0.05704798712521483,-0.01761408092253472,-0.012152563119053026,0.0009440559390636268,-0.0037782112142769808,-0.0024950716762939533,0.031049128244632622,0.023273361484584677,-0.07005011587847527,0.11325123196945323,-0.003156425848191236,-0.01978398871699793,-0.0003942013479773782,-0.015469180289569867,0.1231149446265717
11.0,1.0,0.0938558727265278,0.05752127868955736,-0.011258422928367994,-0.01856562025213626,0.010871998969703707,0.06706559260248533,-0.02114119408717444,0.0061210401856149396,0.0024929110082917982,-0.004663852201902521,-0.007110577666518318,0.020595541588414378,-0.028813651432816025,-0.015741338419855682,-0.013699111122963355,0.008935125110098167,0.006488161269219831,0.04416783430426923,0.04002115313066429,0.03419204592078141,-0.0634391548951611,0.12625871223535975,-0.001040625630337617,-0.0008394537249565306,-0.0005864882347928854,0.028340004103549647,0.14070378128212518
