feature_name,feature_importance,rank
ela_distr.number_of_peaks,0.0839086745465029,1
disp.ratio_median_02,0.0620764450776764,2
pca.expl_var.cov_init,0.0545866636402712,3
ela_distr.skewness,0.0419810844412826,4
ela_meta.lin_simple.coef.max_by_min,0.0394761063516359,5
nbc.nb_fitness.cor,0.035178992037219,6
ela_meta.quad_simple.cond,0.0330672447335314,7
ela_level.lda_qda_25,0.0322118458772164,8
ela_meta.quad_w_interact.adj_r2,0.0317046410678621,9
ela_level.mmce_qda_10,0.0315911666491469,10
ela_level.lda_qda_50,0.0308161782848619,11
pca.expl_var_PC1.cor_x,0.0210020358787402,12
ic.eps.ratio,0.0197267426630322,13
ela_level.qda_mda_25,0.0109866493658207,14
ela_meta.lin_simple.adj_r2,0.0106950030988527,15
ela_meta.lin_simple.intercept,0.0095897278006506,16
ela_level.lda_qda_10,0.0091648703493958,17
nbc.nn_nb.cor,0.0061929272854912,18
ela_level.qda_mda_50,0.005030506224022,19
ela_level.mmce_mda_50,0.004289149396633,20
pca.expl_var.cor_init,0.0039031756926995,21
ela_level.lda_mda_10,0.0038354853447284,22
ela_level.lda_mda_50,0.0026272325108541,23
ela_level.mmce_lda_25,0.0024060775258248,24
ela_level.lda_mda_25,0.0021925677475592,25
ela_level.mmce_lda_50,7.955903405116894e-05,26
ela_level.mmce_lda_10,3.0441508959533348e-05,27
