f_id,i_id,disp.ratio_median_02,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ela_meta.quad_simple.cond,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_x
1.0,1.0,0.03696831202045602,0.020726858985493472,0.0789483110589782,-0.0029154958440430253,0.03329142202297226,0.003387126421890837,-0.031662975908223034,0.08944720942938893,0.030173932689021004,-0.009588354334501567,0.017989595246725085,-0.004727107969393002,0.1366458217172217,0.13867957852086024,0.0004563284799282212,-0.00789808870150934,0.11308165404126985,-0.07966543470101228,0.7477086757637026,0.03596740995000108,0.7628016706688922,-0.020454725833100172,0.005586099517045876,0.011948445142770315,0.04594404888399266,0.0023984957623036265
2.0,1.0,1.0870519510094476,0.03835492821757339,0.08128586567098102,0.01668576779158467,0.046040305721658396,-0.0033870387009155697,-0.020406812816113683,-0.0151233976649922,-0.015789528058186376,-0.001595193373494726,-0.014124560347326004,-0.004443076121694186,-0.02698846630125043,0.002931619602635448,0.04407202819233462,-0.002472305582994097,0.07163057262202184,0.014729011555239868,0.9800408974137015,0.022735694825453984,1.1207195945484147,-0.05506667995646704,0.046316632552122844,0.015809296634020163,0.048160615469065485,0.021956050584596667
3.0,1.0,0.01101234262234032,-0.01115068162327722,0.03453853115783428,-0.0351460204170827,-0.00469121629756439,0.009216426972738157,0.003738604467924277,-0.018519765515079348,0.07704088189160027,0.08891574375938388,-0.007014977879545121,0.00768569017676246,0.13922721592379814,-0.011941379909486719,-0.005497461100372048,0.030145012769105216,-0.0073339826823018515,0.02530813283462608,0.23380408436087224,0.03941419353614525,0.46271937691406667,0.054237513735404315,-0.012751254989025821,-0.0025484353973625356,0.06409702502520591,-0.010754008348057939
4.0,1.0,-0.11023200796687206,0.004483597094884409,0.06157123402016274,-0.031327647765871325,-0.01010113141385508,-0.00392638243757765,-0.023396779661078965,-0.022761662221621248,-0.032651493145498936,-0.02488175928635867,-0.02053445725850909,-0.01729632479821888,-0.04602523332855079,-0.014070696641230198,-0.004150221045866486,-0.013652474506218122,0.0070150175432698875,0.007370782085738571,0.04136383583756001,0.026776551224257244,-0.27811991939884656,-0.040937383886275956,-0.009090853190822552,-0.001217650395040881,0.06365647055344434,-0.023718207978129263
5.0,1.0,-0.02534610289050327,0.030265035445283542,0.04005428926684264,0.04003119499514714,0.002055496991307792,0.010967963770751711,-0.006529604464975865,0.0008618594589459606,-0.01411268965702983,-0.000929844419835715,-0.0009420520043648572,0.00432158676830643,-0.019820022028973833,-0.011018235154150841,-0.002569042494456601,-0.006384154813143918,0.004361885041841439,-0.00238539186505124,-0.5140275678985626,0.01663493786833672,-0.43115413775996275,0.0014073585658646993,0.016178524216185035,-0.0013443403343099299,-0.15196790090242893,-0.03693145599389797
6.0,1.0,-0.06135728406751374,-0.03787098770852696,0.03459553909519269,0.04163399685934948,0.0021619132297910023,0.013787393088106212,-0.012407968826483517,-0.00702449769374826,-0.019946062574938205,-0.005976242055833962,8.349388481305314e-05,0.02050468457517667,-0.03079645466588718,-0.011591166342009226,-0.0013488269810183438,-0.01373277003336175,0.0012771939312636155,-0.0033501916170538006,-0.498634854110279,0.01250925338113417,-0.4329607761223529,-0.05408143485764866,0.002373385955049565,-0.0014410575888450326,-0.147754849531725,-0.04337980074210937
7.0,1.0,-0.20654310870285503,-0.041563622887771164,0.04108849940229534,-0.06462970166230107,-0.009864249961729138,-0.004362683654331821,-0.014120972231198386,-0.02763850457099407,-0.029877104995909957,-0.00634385810685475,-0.01930996504630564,-0.03234852406689787,-0.00016141592036930804,-0.008128709432403491,-0.01991457125430615,0.0032154269221783063,0.012650515092556129,-0.0166417908207608,-0.5534307282974174,0.012994591065721543,-0.2672354821382159,-0.04214602734904699,-0.009978006201943227,0.01100490880790262,-0.10838789221394346,-0.036217074806681494
8.0,1.0,-0.06997600485430469,-0.03760531099529277,0.034928211790432886,0.013796079483957035,-0.0036069784004640194,0.014708866438125115,0.003049031420774862,0.007596187762008832,-0.0126614116529475,0.00026512991147121753,-0.01395075199117992,-0.0038156656111772193,-0.010716131201897997,-0.0003180043418042288,0.006755973322723374,0.003664233066814189,0.06641595174943826,0.07277297072624467,-0.4669754471881046,0.04768914936106528,-0.44109746737127953,-0.03912914006445913,0.015299453505317405,0.004968846460588268,-0.1402805475780435,-0.03753810714307175
9.0,1.0,-0.0812716633418225,0.049433551433880896,0.039800609746350274,-0.053432173995551474,-0.00012553180578222812,0.008120468381562902,-0.015077951231208923,0.006609036783609925,-0.018097691141612037,-0.015692863454649285,0.0021707831282813395,-0.0012490088332868148,-0.016250795791701324,-0.0006735462161081856,-0.0027079585650285638,-0.01618292647555954,0.010144321820932884,0.07781529964786062,-0.4683027590501495,0.05372200967834838,-0.2760664221944196,-0.034484500564637435,0.001937831713696662,-0.0008963762311433761,-0.11267855140653663,0.03313345826281657
10.0,1.0,0.0064866778204184595,0.0010779977991213266,0.06316419748117386,0.0011482354287992412,0.006396918738186612,0.0070160336565721175,0.10204568147731917,-0.0025075695728530305,-0.01265634931952745,-0.020144747795613756,0.0011902527057553603,0.00963139315683969,-0.04683351911645307,-0.0018547884443189011,0.004769740494056228,0.0021072246071617224,-0.00017179366519427764,0.0060502345645638495,0.10631783023036206,0.0395100225508847,-0.09780737790453116,-0.01925007415618772,0.009947185603787356,-0.001091858186861906,0.07572749921419748,-0.046586930173559825
11.0,1.0,0.006791270728041174,0.050918161515248625,0.06593723688129917,0.00680339388745454,0.007656690206811492,0.009881227439974915,0.1074456002285718,-0.002565642887607972,0.022184170755699745,-0.01995535338275371,0.003265261916712359,0.016095294292986194,-0.003924764310990125,0.00021036914726368483,0.004307320518290544,0.019850035940698785,0.019165615585871536,0.01516245011559517,0.12410789276055081,0.040473406227686914,-0.079069711663253,-0.0018147143563300794,0.028998776686895253,0.0003153474306074721,0.08038104575481203,0.04057330066341683
