index,times_better,times_equal,times_worse,mean,median,calibration_method,weights_method,algorithm_name
RF,,,,1.2678045154888886,0.9109551962574913,weighted,perm,DE1
0.9,8.0,17.0,5.0,1.1946672156161895,0.7891481670747361,weighted,perm,DE1
0.7,15.0,5.0,10.0,1.218577547029189,1.0027548562652027,weighted,perm,DE1
0.5,17.0,1.0,12.0,1.1800017410929509,0.9333732281410785,weighted,perm,DE1
