model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
RF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.9,0,0,2,1,5,5,3,1,2,1,1,3,1,4,0,4,2,0,3,2,1,0,0,0,2,0,2,0,4,1
0.7,1,3,3,2,5,5,4,3,5,5,5,5,1,6,1,4,4,2,5,3,4,1,0,2,4,1,6,1,8,1
0.5,3,4,4,3,5,5,8,4,6,5,5,7,4,7,2,5,4,7,7,5,5,2,2,3,10,4,14,1,8,3
